スウェプトオーヴァーボード,エンドスウィープ,フォーティナイナー,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,File,Tom Rolfe
,,,,Continue
,,Broom Dance,Dance Spell,Northern Dancer
,,,,Obeah
,,,Witching Hour,Thinking Cap
,,,,Enchanted Eve
,Sheer Ice,Cutlass,Damascus,Sword Dancer
,,,,Kerala
,,,Aphonia,Dunce
,,,,Gambetta
,,Hey Dolly A.,Ambehaving,Ambiorix
,,,,Dentifrice
,,,Swift Deal,Native Charger
,,,,Miss Barter
ビーラヴリー,ヨハネスブルグ,ヘネシー,Storm Cat,Storm Bird
,,,,Terlingua
,,,Island Kitty,Hawaii
,,,,T. C. Kitten
,,Myth,オジジアン,Damascus
,,,,Gonfalon
,,,Yarn,Mr. Prospector
,,,,Narrate
,Superb in Roses,Giant's Causeway,Storm Cat,Storm Bird
,,,,Terlingua
,,,Mariah's Storm,Rahy
,,,,イメンス
,,Lu Ravi,A.P. Indy,Seattle Slew
,,,,Weekend Surprise
,,,At the Half,Seeking the Gold
,,,,Knitted Gloves
