ダイシンオレンジ,アグネスデジタル,Crafty Prospector,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Real Crafty Lady,In Reality
,,,,Princess Roycraft
,,Chancey Squaw,Chief's Crown,Danzig
,,,,Six Crowns
,,,Allicance,Alleged
,,,,Runaway Bride
,アシヤマダム,ラシアンルーブル,Nijinsky,Northern Dancer
,,,,Flaming Page
,,,Squander,Buckpasser
,,,,Discipline
,,キャットロンシャン,シャトーゲイ,Swaps
,,,,Banquet Bell
,,,メジロヒエイ,ムーティエ
,,,,メジロマジョルカ
ダイシンキャンディ,アグネスタキオン,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,アグネスフローラ,ロイヤルスキー,Raja Baba
,,,,Coz o'Nijinsky
,,,アグネスレディー,リマンド
,,,,イコマエイカン
,フレンドレイ,デインヒル,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Razyana,His Majesty
,,,,Spring Adieu
,,マーチンミユキ,マルゼンスキー,Nijinsky
,,,,シル
,,,ミユキカマダ,ダイアトム
,,,,ヤヨイカマダ
