ディープブリランテ,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,ラヴアンドバブルズ,Loup Sauvage,Riverman,Never Bend
,,,,River Lady
,,,Louveterie,Nureyev
,,,,Lupe
,,バブルドリーム,Akarad,Labus
,,,,Licata
,,,バブルプロスペクター,Miswaki
,,,,バブルカンパニー
バーグドール,サクラバクシンオー,サクラユタカオー,テスコボーイ,Princely Gift
,,,,Suncourt
,,,アンジェリカ,ネヴァービート
,,,,スターハイネス
,,サクラハゴロモ,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,クリアアンバー,Ambiopoise
,,,,One Clear Call
,ラディカルチック,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Santa Roseanna,Caracol,Tanerko
,,,,Crape Band
,,,Santa Vittoria,Ragusa
,,,,Running Blue
