カジノドライヴ,Mineshaft,A.P. Indy,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Weekend Surprise,Secretariat
,,,,Lassie Dear
,,Prospectors Delite,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Up the Flagpole,Hoist the Flag
,,,,The Garden Club
,Better Than Honour,Deputy Minister,Vice Regent,Northern Dancer
,,,,Victoria Regina
,,,Mint Copy,Bunty's Flight
,,,,Shakney
,,Blush With Pride,Blushing Groom,Red God
,,,,Runaway Bride
,,,Best in Show,Traffic Judge
,,,,Stolen Hour
ナムラココロ,サウスヴィグラス,エンドスウィープ,フォーティナイナー,Mr. Prospector
,,,,File
,,,Broom Dance,Dance Spell
,,,,Witching Hour
,,ダーケストスター,Star de Naskra,Naskra
,,,,Candle Star
,,,Minnie Riperton,Cornish Prince
,,,,English Harbor
,ネクストタイム,アフリート,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Polite Lady,Venetian Jester
,,,,Friendly Ways
,,ジャビラバ,Majestic Light,Majestic Prince
,,,,Irradiate
,,,コマーズ,Danzig
,,,,ミドルマーチ
