ベーカバド,Cape Cross,Green Desert,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Foreign Courier,Sir Ivor
,,,,Courtly Dee
,,Park Appeal,Ahonoora,Lorenzaccio
,,,,Helen Nichols
,,,Balidaress,Balidar
,,,,Innocence
,Behkara,Kris,Sharpen Up,エタン
,,,,Rocchetta
,,,Doubly Sure,Reliance
,,,,Soft Angels
,,Behera,Mill Reef,Never Bend
,,,,Milan Mill
,,,Borushka,Bustino
,,,,Valdavia
チュウワビーナス,アグネスタキオン,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,アグネスフローラ,ロイヤルスキー,Raja Baba
,,,,Coz o'Nijinsky
,,,アグネスレディー,リマンド
,,,,イコマエイカン
,ビワビーナス,トニービン,カンパラ,Kalamoun
,,,,State Pension
,,,Severn Bridge,Hornbeam
,,,,Priddy Fair
,,パシフィカス,Northern Dancer,Nearctic
,,,,Natalma
,,,Pacific Princess,Damascus
,,,,Fiji
