トーセンジョーダン,ジャングルポケット,トニービン,カンパラ,Kalamoun
,,,,State Pension
,,,Severn Bridge,Hornbeam
,,,,Priddy Fair
,,ダンスチャーマー,Nureyev,Northern Dancer
,,,,Special
,,,Skillful Joy,Nodouble
,,,,Skillful Miss
,エヴリウィスパー,ノーザンテースト,Northern Dancer,Nearctic
,,,,Natalma
,,,Lady Victoria,Victoria Park
,,,,Lady Angela
,,クラフテイワイフ,Crafty Prospector,Mr. Prospector
,,,,Real Crafty Lady
,,,Wife Mistress,Secretariat
,,,,Political Payoff
ミスティックラヴ,ダンスインザダーク,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ダンシングキイ,Nijinsky,Northern Dancer
,,,,Flaming Page
,,,Key Partner,Key to the Mint
,,,,Native Partner
,カルニオラ,Rainbow Quest,Blushing Groom,Red God
,,,,Runaway Bride
,,,I Will Follow,Herbager
,,,,Where You Lead
,,Carnival Spirit,Kris,Sharpen Up
,,,,Doubly Sure
,,,Fiesta Fun,Welsh Pageant
,,,,Antigua
