ストロングリターン,シンボリクリスエス,Kris S.,Roberto,Hail to Reason
,,,,Bramalea
,,,Sharp Queen,Princequillo
,,,,Bridgework
,,Tee Kay,Gold Meridian,Seattle Slew
,,,,Queen Louie
,,,Tri Argo,Tri Jet
,,,,Hail Proudly
,コートアウト,Smart Strike,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Classy'n Smart,Smarten
,,,,No Class
,,アザール,Nijinsky,Northern Dancer
,,,,Flaming Page
,,,Smart Heiress,Vaguely Noble
,,,,Smartaire
ミスマーマレード,ダンスインザダーク,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ダンシングキイ,Nijinsky,Northern Dancer
,,,,Flaming Page
,,,Key Partner,Key to the Mint
,,,,Native Partner
,バッフドオレンジ,Exclusive Native,Raise a Native,Native Dancer
,,,,Raise You
,,,Exclusive,Shut Out
,,,,Good Example
,,Sally Stark,Graustark,Ribot
,,,,Flower Bowl
,,,Sally Ship,Turn-to
,,,,Nut Brown Maid
