キンシャサノキセキ,フジキセキ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ミルレーサー,Le Fabuleux,Wild Risk
,,,,Anguar
,,,Marston's Mill,In Reality
,,,,Millicent
,ケルトシャーン,Pleasant Colony,His Majesty,Ribot
,,,,Flower Bowl
,,,Sun Colony,Sunrise Flight
,,,,Colonia
,,Featherhill,Lyphard,Northern Dancer
,,,,Goofed
,,,Lady Berry,Violon d'Ingres
,,,,Moss Rose
リネンパズル,パラダイスクリーク,Irish River,Riverman,Never Bend
,,,,River Lady
,,,Irish Star,Klairon
,,,,Botany Bay
,,North Of Eden,Northfields,Northern Dancer
,,,,Little Hut
,,,ツリーオブノレッジ,Sassafras
,,,,Sensibility
,アルテミスターキン,ジョリーズヘイロー,Halo,Hail to Reason
,,,,Cosmah
,,,Jolie Jolie,Sir Ivor
,,,,Who's to Know
,,シャコージュノー,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,ダイナアルテミス,ファバージ
,,,,シヤダイターキン
