日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/11/21,高知,曇,8,C3ー16,"

",10,7,7,123.1,9,7,"
石本純也
",56,ダ1400,稍,"

**

",1:36.2,2.1,"

**

",7-7-7-8,0.0-41.6,42.2,411(-1),"

 
","


 
",ピエナパプリカ, 
2021/11/06,高知,曇,11,ファイナルレース,"

",12,3,3,21.8,9,10,"
濱尚美
",52,ダ1300,稍,"

**

",1:28.7,2.4,"

**

",11-11-11-9,0.0-41.1,41.1,412(+4),"

 
","


 
",ラブリーマカロン, 
2021/10/23,高知,晴,1,C3ー17,"

",9,7,7,54.4,6,8,"
濱尚美
",52,ダ1400,稍,"

**

",1:36.1,1.1,"

**

",8-8-8-7,0.0-42.5,42.1,408(+3),"

 
","


 
",リターンオブクイン, 
2021/10/09,高知,晴,1,C3ー17,"

",9,5,5,67.3,7,5,"
濱尚美
",52,ダ1300,良,"

**

",1:27.7,0.8,"

**

",7-7-7-6,0.0-39.9,39.9,405(-2),"

 
","


 
",ロードバイファル,5.0
2021/09/20,高知,曇,9,C3ー14,"

",10,3,3,18.8,5,6,"
濱尚美
",52,ダ1300,重,"

**

",1:25.7,2.2,"

**

",7-6-6-5,0.0-38.0,39.5,407(+4),"

 
","


 
",エッセンス, 
2021/09/04,高知,晴,12,ファイナルレース,"

",11,2,2,18.9,8,3,"
濱尚美
",52,ダ1300,良,"

**

",1:28.2,1.0,"

**

",4-3-3-3,0.0-42.2,42.7,403(-3),"

 
","


 
",レペット,10.0
2021/08/22,高知,曇,6,C3ー16,"

",12,7,10,45.1,6,4,"
濱尚美
",52,ダ1300,不,"

**

",1:25.3,1.4,"

**

",8-7-6-4,0.0-38.5,38.8,406(+2),"

 
","


 
",プラチナヴォイス,7.5
2021/08/01,高知,晴,8,猫のガッチン追悼特別,"

",8,1,1,80.0,5,7,"
濱尚美
",52,ダ1300,良,"

**

",1:29.1,4.3,"

**

",5-5-5-6,0.0-39.7,43.0,404(+3),"

 
","


 
",アイラグピース, 
2021/07/18,高知,曇,8,C3ー16,"

",12,8,12,79.4,7,7,"
濱尚美
",52,ダ800,不,"

**

",0:51.2,1.9,"

**

",8-6,0.0-36.6,37.8,401(+3),"

 
","


 
",トーセンポエム, 
2021/07/04,高知,曇,5,おニュイ祝2周年特別,"

",11,7,9,149.3,7,7,"
濱尚美
",52,ダ1300,重,"

**

",1:27.6,2.4,"

**

",9-8-8-7,0.0-39.6,40.3,398(+2),"

 
","


 
",ミッキーフォンテン, 
2021/06/20,高知,曇,6,C3ー17,"

",11,1,1,45.0,5,7,"
濱尚美
",52,ダ1300,不,"

**

",1:27.6,2.6,"

**

",7-6-7-7,0.0-39.9,41.5,396(0),"

 
","


 
",エンパワード, 
2021/05/30,高知,晴,6,C3ー18,"

",9,8,9,18.8,4,5,"
濱尚美
",52,ダ1400,重,"

**

",1:34.9,2.3,"

**

",4-4-4-4,0.0-40.6,42.2,396(+2),"

 
","


 
",ミヤジシルフィード,5.0
2021/05/16,高知,曇,7,C3ー19,"

",11,6,7,105.9,8,8,"
石本純也
",56,ダ1300,不,"

**

",1:26.4,3.5,"

**

",10-10-10-8,0.0-38.3,40.8,394(-2),"

 
","


 
",ジョルジュサンク, 
2021/05/03,高知,晴,6,C3ー20,"

",10,2,2,193.9,10,10,"
石本純也
",56,ダ1300,重,"

**

",1:29.0,4.2,"

**

",9-9-10-10,0.0-39.9,42.3,396(+1),"

 
","


 
",スズカディープ, 
2021/03/31,高知,晴,1,C3ー12,"

",12,7,10,102.6,6,5,"
濱尚美
",52,ダ1400,重,"

**

",1:34.9,2.3,"

**

",4-3-4-4,0.0-38.3,40.0,395(-5),"

 
","


 
",プリメラクラセ,5.0
2021/03/17,高知,晴,1,C3ー10,"

",10,6,6,8.5,4,6,"
木村直輝
",56,ダ1400,重,"

**

",1:38.1,1.2,"

**

",5-5-5-5,0.0-41.6,42.4,400(-2),"

 
","


 
",シマナ, 
2021/03/10,高知,晴,1,C3ー11,"

",9,2,2,32.7,7,6,"
木村直輝
",56,ダ1300,重,"

**

",1:30.5,3.3,"

**

",7-7-7-6,0.0-40.8,42.8,402(0),"

 
","


 
",デルマアメジスト, 
2021/02/23,高知,晴,11,ファイナルレース,"

",12,2,2,16.0,7,12,"
石本純也
",56,ダ1300,稍,"

**

",1:30.3,3.5,"

**

",11-11-11-12,0.0-41.2,42.2,402(-3),"

 
","


 
",ブルーベルファイト, 
2021/02/17,高知,曇,1,C3ー13,"

",9,2,2,3.0,2,3,"
葛山晃平
",56,ダ1400,不,"

**

",1:36.5,1.4,"

**

",3-2-2-2,0.0-41.6,42.9,405(-1),"

 
","


 
",マンドゥ,10.0
2021/02/09,高知,晴,11,ファイナルレース,"

",12,1,1,26.8,9,10,"
石本純也
",56,ダ1300,稍,"

**

",1:30.0,2.0,"

**

",10-10-11-12,0.0-41.9,42.1,406(0),"

 
","


 
",ルートサブロク, 
2021/01/26,高知,雨,11,ファイナルレース,"

",12,4,4,7.1,3,6,"
石本純也
",56,ダ1300,不,"

**

",1:26.9,0.8,"

**

",8-8-8-6,0.0-40.9,40.4,406(-5),"

 
","


 
",フレアリボン, 
2021/01/12,高知,曇,7,はりまや橋特別,"

",10,8,10,4.5,2,3,"
石本純也
",56,ダ1600,重,"

**

",1:50.1,0.2,"

**

",4-4-4-5,0.0-42.8,42.2,411(0),"

 
","


 
",ジュビラント,10.0
2021/01/01,高知,晴,1,C3ー20,"

",11,7,8,153.5,8,8,"
石本純也
",56,ダ1300,重,"

**

",1:27.5,1.9,"

**

",9-9-9-8,0.0-40.3,40.6,411(-4),"

 
","


 
",テトラクォーク, 
2020/12/19,高知,晴,12,ファイナルレース,"

",12,6,8,15.8,8,6,"
石本純也
",56,ダ1400,良,"

**

",1:37.1,1.4,"

**

",6-7-7-6,0.0-42.3,42.8,415(+8),"

 
","


 
",ソンリッサ, 
2020/12/06,高知,晴,4,C3ー20,"

",10,4,4,56.7,7,6,"
石本純也
",56,ダ1300,稍,"

**

",1:29.0,2.7,"

**

",7-7-7-5,0.0-41.0,42.0,407(-2),"

 
","


 
",マイネルチェスト, 
2020/11/23,高知,晴,4,C3ー20,"

",10,8,10,78.9,8,7,"
石本純也
",56,ダ1400,不,"

**

",1:35.7,1.9,"

**

",8-7-7-9,0.0-41.4,41.8,409(-4),"

 
","


 
",クレアトゥール, 
2020/11/07,高知,雨,12,ファイナルレース,"

",12,8,11,23.4,10,12,"
石本純也
",56,ダ1300,不,"

**

",1:28.9,3.3,"

**

",5-6-8-12,0.0-40.9,43.4,413(+5),"

 
","


 
",ゴーアブロード, 
2020/10/25,高知,晴,3,陽香莉出産特別,"

",11,1,1,42.1,5,5,"
石本純也
",56,ダ1400,不,"

**

",1:34.3,1.9,"

**

",6-6-6-5,0.0-40.5,41.6,408(-3),"

 
","


 
",ナムラルイ,4.0
2020/10/11,高知,晴,5,C3ー23,"

",11,2,2,42.6,4,6,"
石本純也
",56,ダ1300,不,"

**

",1:28.4,2.9,"

**

",6-5-5-6,0.0-40.0,42.3,411(0),"

 
","


 
",ネオアマゾネス, 
2020/09/21,高知,晴,12,ファイナルレース,"

",12,8,12,8.0,4,8,"
石本純也
",56,ダ1400,重,"

**

",1:34.9,1.6,"

**

",9-9-9-10,0.0-42.0,41.9,411(+4),"

 
","


 
",リーヴスカーズ, 
2020/09/12,高知,曇,1,C3イ,"

",11,6,7,5.6,2,3,"
石本純也
",56,ダ1300,不,"

**

",1:27.2,0.3,"

**

",10-9-8-3,0.0-41.5,39.7,407(-1),"

 
","


 
",ルートサブロク,3.2
2020/09/05,高知,晴,12,ファイナルレース,"

",12,4,4,15.3,10,2,"
石本純也
",56,ダ1300,不,"

**

",1:27.8,0.5,"

**

",7-7-8-7,0.0-41.3,40.8,408(-1),"

 
","


 
",サンタラハシー,14.0
2020/08/22,高知,曇,12,ファイナルレース,"

",12,8,11,19.4,11,4,"
石本純也
",56,ダ1400,良,"

**

",1:36.0,0.4,"

**

",10-10-9-4,0.0-42.6,41.8,409(+7),"

 
","


 
",レイカサンライズ,6.0
2020/08/08,高知,晴,2,3歳ー4,"

",12,6,8,229.1,10,4,"
石本純也
",56,ダ1300,良,"

**

",1:29.1,1.3,"

**

",11-10-9-6,0.0-41.5,40.9,402(+1),"

 
","


 
",アキノヒーロー,6.0
2020/07/19,高知,曇,5,祝武将様生誕記念特別,"

",11,6,6,81.5,8,10,"
石本純也
",56,ダ800,稍,"

**

",0:52.2,1.8,"

**

",11-10,0.0-37.4,36.9,401(-1),"

 
","


 
",エルニーニョ, 
2020/07/04,高知,曇,12,ファイナルレース,"

",12,8,11,30.7,11,4,"
石本純也
",56,ダ1300,不,"

**

",1:26.3,1.6,"

**

",11-11-11-9,0.0-39.8,39.5,402(+2),"

 
","


 
",ビービージャッカル,6.0
2020/06/20,高知,晴,1,3歳ー6,"

",11,8,11,30.8,8,7,"
石本純也
",56,ダ1400,不,"

**

",1:34.4,4.1,"

**

",9-9-10-9,0.0-39.3,41.5,400(+5),"

 
","


 
",カイザークリスエス, 
