日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/11/16,大井,晴,8,スレッジ・ハンマー賞,"

",14,5,7,31.6,10,8,"
張田昂
",56,ダ1600,良,"

**

",1:44.9,1.3,"

**

",8-9-9-9,39.1-39.1,39.6,478(-4),"

 
","


 
",ダイレクトフライト, 
2021/11/02,大井,晴,8,マタドール賞,"

",13,4,4,35.7,11,12,"
酒井忍
",56,ダ1200,重,"

**

",1:15.4,1.2,"

**

",12-12,35.5-38.7,38.0,482(-2),"

 
","


 
",サツキブライド, 
2021/10/06,大井,曇,9,2夜連続生配信!ガチ,"

",13,6,10,14.9,6,7,"
張田昂
",56,ダ1200,稍,"

**

",1:14.5,0.9,"

**

",10-11,35.2-38.4,37.8,484(+8),"

 
","


 
",シャープスティーン, 
2021/09/19,大井,晴,9,目黒区賞,"

",12,2,2,15.7,7,4,"
張田昂
",56,ダ1200,重,"

**

",1:14.1,1.1,"

**

",11-12,35.4-37.6,37.6,476(-4),"

 
","


 
",ウィンウッド,18.0
2021/09/07,大井,曇,8,1997地方競馬間場,"

",10,7,8,14.8,7,7,"
張田昂
",56,ダ1400,重,"

**

",1:29.4,1.1,"

**

",7-8-8,36.7-39.4,39.2,480(+2),"

 
","


 
",フォルテファム, 
2021/08/16,大井,曇,8,C1七　八九,"

",13,5,6,28.3,7,4,"
張田昂
",56,ダ1400,不,"

**

",1:28.8,1.8,"

**

",7-5-5,36.3-38.4,39.2,478(-3),"

 
","


 
",ラヴィッシュ,18.0
2021/08/03,大井,晴,8,C1七　八,"

",13,6,9,16.5,7,8,"
張田昂
",56,ダ1600,稍,"

**

",1:44.0,2.4,"

**

",9-9-9-9,37.7-38.8,40.7,481(0),"

 
","


 
",トーセンヴァレリ, 
2021/07/13,大井,曇,8,C1八　九十,"

",12,1,1,20.2,7,4,"
張田昂
",56,ダ1400,重,"

**

",1:28.3,0.2,"

**

",10-7-6,36.8-39.1,38.8,481(+1),"

 
","


 
",セルゲイ,18.0
2021/06/30,大井,曇,7,C1四　五六,"

",11,2,2,26.7,6,7,"
本田正重
",56,ダ1600,重,"

**

",1:43.8,1.7,"

**

",8-8-8-9,37.8-40.0,40.0,480(-3),"

 
","


 
",ボルンカズマ, 
2021/06/10,大井,晴,7,C1四　五,"

",14,2,2,27.0,9,11,"
藤本現暉
",56,ダ1600,良,"

**

",1:43.6,1.1,"

**

",11-12-11-12,36.6-40.7,40.6,483(+3),"

 
","


 
",ジョセフテルミー, 
2021/05/21,大井,曇,12,しし座特別競走,"

",15,1,1,41.6,10,7,"
本田正重
",56,ダ1700,不,"

**

",1:50.5,1.6,"

**

",11-10-10-10,31.3-40.4,40.3,480(-11),"

 
","


 
",ジョブックビザーレ, 
2021/02/18,大井,晴,8,C1四　五,"

",13,6,9,29.4,7,9,"
笹川翼
",56,ダ1600,稍,"

**

",1:43.7,1.9,"

**

",11-11-12-12,36.3-39.3,40.3,491(-5),"

 
","


 
",トップロイヤル, 
2021/01/20,大井,晴,8,C1四　五,"

",13,8,14,5.9,3,11,"
繁田健一
",56,ダ1600,良,"

**

",1:44.9,1.9,"

**

",8-8-8-11,37.1-41.1,42.1,496(-6),"

 
","


 
",リングアベル, 
2020/12/29,大井,曇,8,SEGAスターホース,"

",13,2,2,2.4,1,3,"
繁田健一
",56,ダ1600,良,"

**

",1:43.9,0.2,"

**

",11-10-10-10,37.3-40.8,40.3,502(+3),"

 
","


 
",ノアキセキ,30.0
2020/12/08,大井,曇,7,C1九　十,"

",14,8,14,7.6,3,2,"
繁田健一
",56,ダ1600,良,"

**

",1:42.6,0.0,"

**

",13-11-9-5,37.1-39.7,39.0,499(-6),"

 
","


 
",ベルゲンハーバー,48.0
2020/11/20,大井,曇,10,ガッチリポイント貯ま,"

",15,3,4,41.3,10,5,"
繁田健一
",56,ダ1800,良,"

**

",1:56.3,0.7,"

**

",14-14-15-14,37.2-39.6,38.8,505(+23),"

 
","


 
",ゲンキチボン,26.0
2020/09/05,2札幌7,晴,3,3歳未勝利,"

",14,6,9,24.7,9,13,"
丹内祐次
",56,ダ1700,良,"

**

",1:48.8,3.0,"

**

",9-9-12-12,30.7-37.0,38.9,482(0),"

","



",アルヴェント, 
2020/08/29,2札幌5,曇,4,3歳未勝利,"

",14,5,8,13.8,5,5,"
丹内祐次
",56,ダ1700,良,"

**

",1:48.0,0.7,"

**

",14-14-13-12,30.3-39.1,38.1,482(+2),"

","



",リアルシング,25.5
2020/08/15,2札幌1,晴,3,3歳未勝利,"

",14,4,6,15.0,6,4,"
丹内祐次
",56,ダ1700,不,"

**

",1:45.6,0.7,"

**

",2-2-2-1,29.7-37.7,38.4,480(+4),"

","


 
",ニンギルス,77.0
2020/07/25,1札幌1,曇,4,3歳未勝利,"

",14,4,6,13.9,6,9,"
丹内祐次
",56,ダ1700,良,"

**

",1:47.3,1.0,"

**

",4-3-6-10,30.5-38.2,38.5,476(+2),"

","


 
",エンペラーズパレス, 
2020/06/27,3東京7,晴,6,3歳未勝利,"

",15,2,3,4.8,3,9,"
伊藤工真
",56,ダ1400,稍,"

**

",1:27.1,1.1,"

**

",6-7,35.8-37.4,37.9,474(-2),"

","


 
",シゲルハウメア, 
