日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/10/22,浦和,雨,10,錦秋特別,"

",10,6,6,17.3,6,7,"
赤津和希
",51,ダ800,重,"

**

",0:47.8,0.7,"

**

",3-5,34.6-35.5,36.0,506(+3),"

 
","


 
",グロリアスカメオ, 
2021/09/22,浦和,晴,12,曼珠沙華特別,"

",12,7,10,35.5,9,4,"
赤津和希
",51,ダ1400,良,"

**

",1:29.5,1.1,"

**

",3-4-4-4,36.9-38.4,39.0,503(+5),"

 
","


 
",アンファンドディユ,37.5
2021/09/01,船橋,曇,10,ラストサマースプリン,"

",10,5,5,25.1,4,4,"
菅原涼太
",51,ダ1200,稍,"

**

",1:14.6,2.2,"

**

",1-1-3,36.1-36.3,38.5,498(-2),"

 
","


 
",ハセノエクスプレス,36.0
2021/08/26,浦和,晴,10,夕涼み特別,"

",12,8,11,73.4,9,7,"
菅原涼太
",52,ダ1400,良,"

**

",1:29.7,0.8,"

**

",2-2-2-2,36.9-38.9,39.7,500(+3),"

 
","


 
",レトログラード, 
2021/07/22,浦和,晴,10,海の日特別,"

",9,8,10,12.6,6,8,"
菅原涼太
",51,ダ1400,良,"

**

",1:31.4,3.3,"

**

",2-2-2-6,35.7-39.1,42.3,497(+3),"

 
","


 
",ボルドーリブロン, 
2021/07/08,川崎,雨,7,閃光賞,"

",11,1,1,6.5,3,1,"
菅原涼太
",51,ダ900,重,"

**

",0:54.9,-0.1,"

**

",3-3,28.8-37.8,37.6,494(+7),"

 
","


 
",(ケイゴールド),120.0
2021/06/15,川崎,晴,8,駿逸賞,"

",11,7,8,33.0,9,4,"
木間塚龍
",51,ダ900,良,"

**

",0:54.8,0.7,"

**

",1-3,28.3-37.3,38.0,487(-11),"

 
","


 
",ピュアスマート,18.0
2021/06/02,浦和,曇,9,緑区の鳥シラサギ賞,"

",9,2,2,17.4,3,5,"
古岡勇樹
",51,ダ800,稍,"

**

",0:48.1,0.6,"

**

",4-3,34.7-35.5,35.7,498(+7),"

 
","


 
",シゲルキャリバン,11.0
2021/05/11,浦和,晴,9,バラのまち中央区賞,"

",11,2,2,4.1,2,4,"
古岡勇樹
",51,ダ800,良,"

**

",0:47.8,0.8,"

**

",3-3,34.7-35.0,35.7,491(-3),"

 
","


 
",アメリカズハート,16.5
2021/03/31,浦和,晴,8,幸手のマスコット「さ,"

",11,1,1,2.1,1,5,"
篠谷葵
",52,ダ800,稍,"

**

",0:48.1,1.0,"

**

",4-3,34.4-35.2,35.8,494(-7),"

 
","


 
",ブラックプリンス,11.0
2021/02/24,浦和,晴,8,浦和800ラウンド,"

",11,8,10,2.0,1,10,"
七夕裕次
",51,ダ800,良,"

**

",0:50.5,2.8,"

**

",11-11,35.2-35.7,36.6,501(-3),"

 
","


 
",イクノミライ, 
2020/11/27,浦和,曇,8,特選上州和牛賞,"

",11,8,11,2.6,2,1,"
七夕裕次
",51,ダ800,稍,"

**

",0:47.4,-0.5,"

**

",1-1,34.8-36.2,36.2,504(+9),"

 
","


 
",(チバタリアン),110.0
2020/10/29,船橋,晴,6,C2　選抜馬,"

",11,8,11,3.2,2,1,"
七夕裕次
",51,ダ1000,稍,"

**

",1:01.5,-0.1,"

**

",1-1,35.2-38.2,38.2,495(-7),"

 
","


 
",(エトナ),130.0
2020/09/22,浦和,晴,1,浦和800ラウンド,"

",11,6,7,2.1,2,1,"
篠谷葵
",52,ダ800,良,"

**

",0:47.1,-0.8,"

**

",1-1,34.9-35.2,35.2,502(+10),"

 
","


 
",(シェナホープ),120.0
2020/09/01,川崎,曇,8,合歓木特別,"

",14,3,3,14.5,5,3,"
古岡勇樹
",51,ダ1600,良,"

**

",1:46.6,1.7,"

**

",1-1-1-1,37.9-39.6,41.3,492(+5),"

 
","


 
",エスカレーション,40.0
2020/07/23,浦和,雨,4,特選,"

",12,7,10,7.3,4,5,"
中島良美
",50,ダ1400,不,"

**

",1:31.1,1.4,"

**

",2-2-1-2,36.0-40.5,41.9,487(-9),"

 
","


 
",トーセンレビュー,14.0
2020/07/02,浦和,晴,3,3歳五,"

",12,6,8,7.1,3,3,"
篠谷葵
",51,ダ1400,重,"

**

",1:30.8,0.7,"

**

",1-1-1-1,37.4-39.2,39.9,496(+7),"

 
","


 
",クロスフーガ,26.0
2020/06/15,船橋,晴,4,ローズ賞,"

",11,7,9,17.7,5,5,"
山崎誠士
",54,ダ1200,重,"

**

",1:15.8,1.5,"

**

",1-1-1,35.2-39.1,40.6,489(-7),"

 
","


 
",ジーガーロンシャン,15.0
2020/05/27,浦和,曇,2,3歳六,"

",12,6,8,3.5,1,6,"
森泰斗
",54,ダ1400,稍,"

**

",1:31.7,0.9,"

**

",2-2-2-3,37.7-39.7,40.4,496(-3),"

 
","


 
",グランギフト, 
2020/05/07,船橋,晴,2,3歳六,"

",12,5,6,7.2,3,2,"
森泰斗
",54,ダ1200,稍,"

**

",1:16.7,0.2,"

**

",1-1-1,37.5-39.0,39.2,499(-6),"

 
","


 
",ダバイマリチック,52.0
2020/04/22,浦和,晴,2,3歳七,"

",10,7,8,12.1,4,7,"
福原杏
",53,ダ1400,重,"

**

",1:33.4,2.0,"

**

",2-1-1-2,36.6-41.7,43.7,505(+6),"

 
","


 
",ピノーク, 
