日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2020/12/01,金沢,晴,2,C218,"

",8,1,1,391.2,8,8,"
服部大地
",54,ダ1500,不,"

**

",1:49.6,10.8,"

**

",8-8-8-8,0.0-40.9,43.5,436(+3),"

 
","


 
",ラグローリア, 
2020/11/17,金沢,晴,4,C217,"

",8,7,7,111.9,8,6,"
沖静男
",54,ダ1500,良,"

**

",1:43.2,2.7,"

**

",6-7-8-8,0.0-40.7,41.3,433(-5),"

 
","


 
",ブルベアトーノ, 
2020/11/01,金沢,曇,3,C213,"

",9,5,5,325.5,9,9,"
沖静男
",54,ダ1500,良,"

**

",1:44.1,4.7,"

**

",9-9-9-9,0.0-39.5,42.5,438(0),"

 
","


 
",ホウオウグラス, 
2020/10/18,金沢,曇,5,C212,"

",8,8,9,129.5,8,8,"
沖静男
",54,ダ1500,良,"

**

",1:45.1,5.1,"

**

",8-8-8-8,0.0-40.0,41.8,438(+1),"

 
","


 
",グロースザゴールド, 
2020/10/04,金沢,曇,3,C212,"

",9,6,6,113.2,8,9,"
沖静男
",54,ダ1500,良,"

**

",1:43.6,5.2,"

**

",9-9-9-9,0.0-38.7,42.1,437(+2),"

 
","


 
",トレボウソレイユ, 
2020/09/20,金沢,晴,2,C212,"

",9,5,5,184.9,8,8,"
沖静男
",54,ダ1400,稍,"

**

",1:36.0,2.9,"

**

",8-8-8-9,0.0-41.1,40.7,435(+1),"

 
","


 
",パープルブルーメン, 
2020/09/08,金沢,晴,4,3歳B　5,"

",8,2,2,124.7,7,7,"
沖静男
",54,ダ1400,良,"

**

",1:36.4,3.9,"

**

",8-8-8-8,0.0-40.3,41.4,434(+1),"

 
","


 
",ハイコロラトゥーラ, 
2020/08/25,金沢,晴,4,3歳B　6,"

",10,4,4,234.6,10,9,"
沖静男
",54,ダ1400,良,"

**

",1:34.8,3.1,"

**

",8-9-9-9,0.0-39.7,40.8,433(+2),"

 
","


 
",ワイルドピット, 
2020/08/11,金沢,晴,3,3歳B　6,"

",10,3,3,119.7,10,9,"
服部大地
",54,ダ1400,良,"

**

",1:36.7,4.6,"

**

",9-9-9-10,0.0-40.9,41.8,431(+3),"

 
","


 
",ワールドウィスラー, 
2020/07/26,金沢,曇,3,3歳B　5,"

",10,4,4,198.6,10,9,"
沖静男
",54,ダ1400,重,"

**

",1:33.7,1.3,"

**

",4-5-7-6,0.0-39.2,39.9,428(-1),"

 
","


 
",ヴォレクィーン, 
2020/07/12,金沢,曇,4,3歳B　4,"

",10,7,8,158.3,9,7,"
沖静男
",54,ダ1500,不,"

**

",1:43.4,4.2,"

**

",7-8-8-7,0.0-40.9,42.0,429(+4),"

 
","


 
",ジニービーチ, 
2020/06/28,金沢,曇,5,3歳B　4,"

",9,7,7,105.6,7,7,"
沖静男
",54,ダ1400,不,"

**

",1:37.1,4.3,"

**

",6-7-7-7,0.0-40.0,42.5,425(+2),"

 
","


 
",コンディトラム, 
2020/06/14,金沢,雨,6,ルビー賞,"

",10,1,1,45.3,8,10,"
沖静男
",54,ダ1400,不,"

**

",1:38.0,5.9,"

**

",10-10-10-10,0.0-39.9,42.9,423(-5),"

 
","


 
",ショウイモン, 
2020/05/31,金沢,曇,2,3歳B　4,"

",8,1,1,43.0,6,8,"
沖静男
",54,ダ1400,良,"

**

",1:38.8,3.7,"

**

",6-6-8-8,0.0-41.4,42.9,428(+1),"

 
","


 
",ダイユウライラック, 
2020/05/19,金沢,晴,4,3歳B　4,"

",9,8,9,98.5,7,3,"
沖静男
",54,ダ1400,良,"

**

",1:36.4,1.3,"

**

",4-4-4-3,0.0-41.1,41.4,427(+2),"

 
","


 
",ヒロノモンスター,3.7
2020/05/05,金沢,晴,6,3歳B　3,"

",9,8,9,75.7,6,6,"
沖静男
",54,ダ1500,良,"

**

",1:46.1,3.8,"

**

",4-5-6-6,0.0-41.1,43.8,425(+4),"

 
","


 
",スターズウィッシュ, 
2020/04/19,金沢,曇,5,3歳B　3,"

",8,1,1,55.9,7,8,"
沖静男
",54,ダ1500,不,"

**

",1:46.8,6.3,"

**

",8-8-8-8,0.0-40.3,44.4,421(-11),"

 
","


 
",タイムイズナカヤマ, 
2020/04/05,金沢,曇,4,3歳B　2,"

",9,6,6,315.7,9,6,"
沖静男
",54,ダ1400,稍,"

**

",1:38.4,3.5,"

**

",6-6-5-5,0.0-40.4,42.7,432(+5),"

 
","


 
",タイムカプセル, 
2020/03/22,金沢,曇,5,フリージア賞,"

",7,2,2,65.7,7,7,"
沖静男
",54,ダ1500,稍,"

**

",1:45.5,2.9,"

**

",3-3-5-5,0.0-41.5,43.6,427(-8),"

 
","


 
",ヴァンタンジェンヌ, 
2020/03/15,金沢,曇,7,芝桜特別,"

",9,2,2,78.5,8,9,"
沖静男
",54,ダ1500,稍,"

**

",1:48.0,7.2,"

**

",7-8-9-9,0.0-39.9,46.1,435(+1),"

 
","


 
",ハクサンブレーヴ, 
2019/12/24,金沢,曇,5,ノースポール賞,"

",8,6,6,52.8,7,7,"
沖静男
",54,ダ1400,不,"

**

",1:37.0,2.3,"

**

",7-7-7-7,0.0-40.6,41.5,434(+1),"

 
","


 
",ロートヴァイス, 
2019/12/08,金沢,曇,6,プリムラ賞,"

",7,7,7,178.1,7,3,"
寺地誠一
",54,ダ1500,不,"

**

",1:42.1,1.7,"

**

",6-6-6-5,0.0-40.8,41.6,433(+1),"

 
","


 
",オーミルシア,5.4
2019/11/24,金沢,曇,4,寒椿賞,"

",8,5,5,23.4,6,8,"
沖静男
",54,ダ1500,稍,"

**

",1:45.7,5.5,"

**

",8-8-8-8,0.0-41.5,42.3,432(-4),"

 
","


 
",ハクサンハート, 
2019/11/10,金沢,晴,3,2歳4,"

",8,5,5,73.5,6,2,"
沖静男
",54,ダ1400,良,"

**

",1:37.4,0.7,"

**

",7-6-4-3,0.0-41.9,41.6,436(0),"

 
","


 
",ボールドデムーロ,10.3
