日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/11/16,園田,晴,8,C2一,"

",10,7,7,27.7,7,8,"
杉浦健太
",54,ダ1400,良,"

**

",1:34.0,2.0,"

**

",8-8-8-9,0.0-40.4,41.6,467(-1),"

 
","


 
",レッドレジェーラ, 
2021/10/28,園田,晴,6,C2二,"

",9,6,6,14.0,4,5,"
松木大地
",54,ダ1400,稍,"

**

",1:35.0,0.7,"

**

",3-3-4-4,0.0-40.0,40.5,468(+3),"

 
","


 
",エスポワールミノル,6.0
2021/10/06,園田,曇,9,C2一,"

",10,7,8,5.1,3,5,"
佐々木世
",51,ダ1400,良,"

**

",1:33.6,0.6,"

**

",3-3-3-3,0.0-40.1,40.4,465(-4),"

 
","


 
",ミッキーウィン,6.0
2021/09/15,園田,晴,12,C2一,"

",10,1,1,4.3,2,2,"
吉村智洋
",54,ダ1400,稍,"

**

",1:32.2,0.4,"

**

",3-3-3-2,0.0-40.0,40.1,469(+1),"

 
","


 
",ドライブラン,24.0
2021/08/19,園田,雨,10,C2一,"

",10,8,10,4.7,2,3,"
吉村智洋
",54,ダ1400,不,"

**

",1:32.4,0.9,"

**

",2-2-2-2,0.0-38.8,39.5,468(0),"

 
","


 
",トウケイメニモミヨ,15.0
2021/04/29,園田,雨,8,C1,"

",9,6,6,7.3,4,9,"
吉村智洋
",54,ダ1230,不,"

**

",1:24.2,3.7,"

**

",7-7-5-6,0.0-39.9,43.0,468(+8),"

 
","


 
",ダウンタウンスピカ, 
2021/03/31,姫路,晴,12,ハナニラ賞C1,"

",12,7,10,4.5,3,6,"
吉村智洋
",54,ダ1500,稍,"

**

",1:40.1,0.4,"

**

",3-3-3-2,0.0-38.9,39.1,460(+6),"

 
","


 
",シャープレシオ, 
2021/03/10,姫路,晴,8,C2一,"

",12,8,11,1.8,1,2,"
吉村智洋
",55,ダ1400,良,"

**

",1:32.9,0.4,"

**

",2-2-2-2,0.0-39.0,39.3,454(-3),"

 
","


 
",ラベンデュラン,14.0
2021/02/04,姫路,晴,5,C2二,"

",10,6,6,7.7,3,1,"
田野豊三
",54,ダ1400,良,"

**

",1:32.7,-0.8,"

**

",1-1-1-1,0.0-39.0,39.0,457(0),"

 
","


 
",(ドライブラン),50.0
2020/12/28,園田,晴,5,C2二,"

",10,1,1,2.0,1,4,"
杉浦健太
",54,ダ1400,稍,"

**

",1:34.4,0.8,"

**

",7-7-3-2,0.0-40.9,41.2,457(+5),"

 
","


 
",メイショウホルス,5.0
2020/08/08,1札幌5,晴,9,北辰特別(1勝クラス),"

",9,4,4,36.2,8,9,"
団野大成
",52,芝1800,良,"

**

",1:50.6,3.1,"

**

",1-2-4-8,35.7-35.9,38.7,452(+4),"

","


 
",アラスカ, 
2020/07/12,2函館4,曇,4,3歳未勝利,"

",16,8,16,9.0,5,9,"
丹内祐次
",54,芝1200,良,"

**

",1:10.1,0.4,"

**

",8-7,33.8-35.9,35.6,448(+4),"

","


 
",エアリーフローラ, 
2020/06/27,1函館5,曇,4,3歳未勝利,"

",16,4,8,6.8,2,3,"
横山武史
",54,芝1200,稍,"

**

",1:09.9,0.9,"

**

",3-3,34.0-35.0,35.6,444(-8),"

","


 
",メイショウミモザ,130.0
2020/06/13,1函館1,晴,1,3歳未勝利,"

",16,3,6,9.1,5,5,"
横山武史
",54,芝1200,良,"

**

",1:09.4,0.5,"

**

",6-10,33.7-35.2,35.2,452(+2),"

","


 
",メサテソーロ,51.0
2020/04/12,3中山6,曇,5,3歳未勝利,"

",16,7,13,14.6,6,8,"
津村明秀
",54,芝1600,稍,"

**

",1:36.9,0.7,"

**

",8-12-9,36.3-35.5,35.2,450(-4),"

","



",アポロヴィクトリア, 
2020/03/14,2中山5,雨,5,3歳未勝利,"

",16,6,11,4.7,2,4,"
津村明秀
",54,芝1600,稍,"

**

",1:38.7,0.6,"

**

",6-7-6,36.2-37.5,37.4,454(+12),"

","


 
",チャロアイト,77.0
2020/01/12,1中山4,曇,2,3歳未勝利,"

",15,2,4,19.7,8,12,"
ミナリク
",54,ダ1800,良,"

**

",2:00.1,3.5,"

**

",4-3-3-5,37.7-40.1,43.4,442(-8),"

","


 
",ニーズヘッグ, 
2019/12/07,5中山3,雨,3,2歳未勝利,"

",16,7,13,9.0,4,6,"
津村明秀
",54,芝1800,稍,"

**

",1:50.7,0.8,"

**

",10-7-6-7,37.1-35.9,36.1,450(-6),"

","



",デジマノハナ, 
2019/11/16,5東京5,晴,5,2歳新馬,"

",17,4,8,9.0,3,4,"
津村明秀
",54,芝1600,良,"

**

",1:34.4,1.1,"

**

",8-6,35.3-34.3,34.8,456(0),"

","


 
",ルーツドール,110.0
