日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2020/07/19,盛岡,晴,1,3歳C1二組,"

",9,7,8,67.0,7,8,"
木村暁
",54,ダ1400,重,"

**

",1:30.2,3.2,"

**

",7-8,0.0-38.4,39.5,422(-8),"

 
","


 
",チャンチキ, 
2020/06/21,水沢,晴,4,3歳C2一組,"

",10,3,3,167.2,9,8,"
木村暁
",54,ダ1300,良,"

**

",1:28.9,2.9,"

**

",1-1-3-6,0.0-41.6,44.5,430(+11),"

 
","


 
",シルバーウェーブ, 
2020/05/24,盛岡,晴,1,3歳C1一組,"

",11,1,1,204.5,10,9,"
木村暁
",54,ダ1400,稍,"

**

",1:31.7,3.9,"

**

",6-10,0.0-38.1,41.0,419(-6),"

 
","


 
",エコロウィング, 
2020/05/10,水沢,曇,1,3歳C1一組,"

",9,5,5,114.6,7,6,"
木村暁
",54,ダ1400,良,"

**

",1:37.4,3.6,"

**

",8-8-8-6,0.0-40.4,42.8,425(+8),"

 
","


 
",トミケンアラバール, 
2020/04/21,水沢,曇,8,3歳B2二組,"

",11,8,10,93.3,10,10,"
木村暁
",54,ダ1400,不,"

**

",1:33.5,3.0,"

**

",3-3-7-9,0.0-40.4,42.6,417(-1),"

 
","


 
",モズタンポポ, 
2020/04/12,水沢,晴,7,3歳C1一組,"

",12,7,9,26.1,8,11,"
木村暁
",54,ダ1400,良,"

**

",1:35.9,1.2,"

**

",1-1-1-2,0.0-41.8,43.0,418(+4),"

 
","


 
",ウルフバート, 
2020/03/08,佐賀,晴,6,3歳ー3組,"

",9,4,4,50.6,7,7,"
長田進仁
",54,ダ1300,不,"

**

",1:26.0,2.6,"

**

",6-5-7-6,0.0-38.4,40.0,414(0),"

 
","


 
",ジェイケイワールド, 
2020/02/23,佐賀,晴,9,プリムラ賞,"

",10,7,7,109.8,10,10,"
長田進仁
",54,ダ1300,重,"

**

",1:28.2,3.8,"

**

",1-2-4-8,0.0-39.7,43.2,414(-5),"

 
","


 
",コウキトウライ, 
2020/02/09,佐賀,曇,12,ウインタースター特選,"

",10,7,7,156.8,10,10,"
長田進仁
",54,ダ1750,良,"

**

",2:00.5,4.4,"

**

",9-10-10-10,0.0-40.6,42.9,419(+1),"

 
","


 
",オドルキツネ, 
2020/01/19,佐賀,曇,9,ホワイトスター特選,"

",11,7,9,314.1,11,9,"
長田進仁
",54,ダ1400,稍,"

**

",1:32.8,3.0,"

**

",6-6-9-9,0.0-39.2,41.0,418(+2),"

 
","


 
",キタカラキタムスメ, 
2020/01/03,佐賀,曇,10,初夢特選,"

",10,7,8,257.5,10,9,"
長田進仁
",54,ダ1750,稍,"

**

",2:00.5,5.0,"

**

",3-3-6-8,0.0-39.4,43.9,416(+6),"

 
","


 
",イケノアスリート, 
2019/12/10,園田,晴,3,2歳未勝利一,"

",12,1,1,196.5,11,12,"
竹村達也
",54,ダ1400,良,"

**

",1:35.3,2.8,"

**

",6-5-10-11,0.0-41.0,42.9,410(-4),"

 
","


 
",ネイチャーアモーレ, 
2019/11/27,園田,曇,2,2歳未勝利,"

",11,8,11,99.1,10,8,"
大柿一真
",54,ダ1400,良,"

**

",1:34.6,1.7,"

**

",3-3-4-6,0.0-41.2,42.5,414(-8),"

 
","


 
",タイセイブーティー, 
2019/10/31,船橋,晴,2,2歳四,"

",8,6,6,146.9,8,8,"
山中悠希
",54,ダ1200,重,"

**

",1:19.9,2.4,"

**

",2-2-6,37.1-40.4,42.4,422(-2),"

 
","


 
",レオズアズライト, 
2019/09/24,船橋,曇,4,2歳三,"

",12,2,2,68.1,11,11,"
福原杏
",51,ダ1200,稍,"

**

",1:20.0,2.9,"

**

",8-9-10,37.3-39.8,41.8,424(+9),"

 
","


 
",ダブルウーマン, 
2019/08/14,大井,晴,3,2歳　75万円,"

",11,6,7,47.2,10,10,"
福原杏
",51,ダ1400,重,"

**

",1:34.0,3.9,"

**

",2-2-3,37.6-39.4,43.3,415(-5),"

 
","


 
",エヌワイキティ, 
2019/08/07,船橋,晴,4,2歳二,"

",9,5,5,60.9,7,8,"
福原杏
",51,ダ1200,良,"

**

",1:18.7,3.5,"

**

",8-8-7,35.7-39.5,40.9,420(-2),"

 
","


 
",ノラ, 
2019/08/01,大井,晴,4,フレッシュスター特別,"

",11,3,3,94.5,7,9,"
福原杏
",51,ダ1200,良,"

**

",1:18.3,2.3,"

**

",6-7,36.0-40.0,41.0,422(-4),"

 
","


 
",ポピュラーソング, 
2019/07/16,船橋,小雨,5,2歳二,"

",8,1,1,15.6,5,8,"
岡部誠
",54,ダ1200,不,"

**

",1:21.6,3.2,"

**

",1-1-1,37.1-41.3,44.5,426(+6),"

 
","


 
",ユウゾラ, 
2019/07/09,大井,曇,3,2歳　70万円,"

",10,7,7,14.3,5,3,"
岡村健司
",54,ダ1400,重,"

**

",1:32.9,2.1,"

**

",1-1-1,37.3-40.8,42.9,420(-4),"

 
","


 
",デイブレイク,52.5
2019/06/21,船橋,晴,6,ライラックデビュー,"

",6,5,5,3.9,3,6,"
岡村健司
",54,ダ1000,良,"

**

",1:06.8,5.8,"

**

",2-3,35.0-37.8,43.2,424(0),"

 
","


 
",スティローザ, 
2019/05/17,川崎,晴,3,スパーキングデビュー,"

",6,2,2, , ,取,"
和田譲治
",54,ダ900,良,"

**

", , ,"

**

", ,29.9-37.1, ,計不,"

 
","


 
",ヴァケーション, 
