日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2020/08/11,門別,晴,9,鳳仙花特別,"

",7,3,3,9.8,5,7,"
桑村真明
",54,ダ1000,稍,"

**

",1:03.3,2.4,"

**

",3-4,0.0-37.5,39.8,506(+4),"

 
","


 
",スノープリンセス, 
2020/07/30,門別,晴,10,優駿の里安平町アサヒ,"

",8,8,8,8.6,4,7,"
阿部龍
",54,ダ1200,良,"

**

",1:17.0,1.0,"

**

",1-1,0.0-40.5,41.5,502(+2),"

 
","


 
",クモキリ, 
2020/07/14,門別,曇,8,キングサリ特別,"

",11,4,4,2.5,1,3,"
石川倭
",54,ダ1000,稍,"

**

",1:02.3,0.8,"

**

",4-4,0.0-37.7,37.8,500(+12),"

 
","


 
",アヴェントゥリスト,6.8
2020/06/25,門別,雨,9,3歳以上C4ー4,"

",12,3,3,3.6,2,1,"
石川倭
",54,ダ1000,稍,"

**

",1:02.0,-0.5,"

**

",1-1,0.0-38.3,38.3,488(-22),"

 
","


 
",(ロバート),30.0
2020/05/20,笠松,晴,10,蘇水峡特別,"

",9,6,6,173.5,9,9,"
佐藤友則
",54,ダ1400,良,"

**

",1:30.5,1.2,"

**

",4-3-3,0.0-38.6,39.5,510(-8),"

 
","


 
",ミドゥス, 
2020/05/07,笠松,晴,11,鵜飼特別,"

",9,2,2,148.5,9,9,"
佐藤友則
",54,ダ1400,良,"

**

",1:35.3,7.7,"

**

",2-6-8,0.0-38.4,45.9,518(-10),"

 
","


 
",ドラゴンウォリアー, 
2020/04/29,笠松,晴,11,ふじの花特別,"

",9,8,9,40.0,6,9,"
吉井友彦
",54,ダ1600,良,"

**

",1:47.1,5.5,"

**

",7-8-9,0.0-38.7,42.5,528(+42),"

 
","


 
",ダルマワンサ, 
2019/10/17,園田,曇,11,兵庫若駒賞(G),"

",12,5,5,28.1,5,11,"
赤岡修次
",54,ダ1400,良,"

**

",1:34.2,3.9,"

**

",3-3-5-8,0.0-40.4,43.7,486(-3),"

 
","


 
",エキサイター, 
2019/09/26,園田,晴,11,園田プリンセスC(G),"

",12,1,1,7.8,3,12,"
吉村智洋
",54,ダ1400,良,"

**

",1:35.8,5.6,"

**

",7-7-8-10,0.0-39.8,44.8,489(-2),"

 
","


 
",スティローザ, 
2019/08/14,園田,晴,3,初出走二,"

",7,7,7,1.2,1,1,"
吉村智洋
",54,ダ820,良,"

**

",0:50.5,-1.7,"

**

",1-1,0.0-36.3,36.3,491(0),"

 
","


 
",(ダイナレーヴ),150.0
