日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/11/18,園田,曇,1,C3四,"

",10,5,5,84.9,10,5,"
井上幹太
",56,ダ1400,良,"

**

",1:35.0,0.9,"

**

",8-8-9-10,0.0-41.4,41.3,446(-4),"

 
","


 
",ジュンヴァンクール,5.0
2021/11/03,園田,晴,1,C3二,"

",12,2,2,175.7,11,6,"
木本直
",55,ダ1400,良,"

**

",1:36.5,2.1,"

**

",7-7-10-8,0.0-38.9,40.1,450(+1),"

 
","


 
",メンフィス, 
2021/10/21,園田,曇,4,C3一,"

",12,7,10,502.1,12,12,"
井上幹太
",56,ダ1400,良,"

**

",1:36.5,3.3,"

**

",11-11-12-12,0.0-40.5,42.7,449(+2),"

 
","


 
",ハローチュース, 
2021/10/08,園田,晴,2,C3二,"

",10,8,9,69.8,8,6,"
井上幹太
",56,ダ1400,良,"

**

",1:35.5,1.4,"

**

",8-8-6-6,0.0-40.3,41.1,447(+2),"

 
","


 
",ミヤマガール, 
2021/09/22,園田,曇,8,ヤングジョッキーズT,"

",12,4,4,82.1,11,12,"
松本大輝
",56,ダ1400,良,"

**

",1:36.0,2.1,"

**

",10-10-11-12,0.0-40.6,41.4,445(-5),"

 
","


 
",ピエナシニスター, 
2021/09/09,園田,曇,3,C3一,"

",10,7,7,143.4,10,7,"
井上幹太
",56,ダ1400,重,"

**

",1:33.8,2.4,"

**

",9-9-9-8,0.0-38.3,40.0,450(-3),"

 
","


 
",クツワノオジョウ, 
2021/08/18,園田,雨,6,C2三,"

",10,6,6,112.8,10,7,"
井上幹太
",56,ダ1400,不,"

**

",1:35.6,2.5,"

**

",9-9-7-7,0.0-41.2,42.6,453(+8),"

 
","


 
",ビーポーレン, 
2021/07/22,園田,晴,7,C2三,"

",10,6,6,126.4,10,9,"
井上幹太
",56,ダ1400,良,"

**

",1:34.3,3.3,"

**

",10-9-9-9,0.0-39.1,41.5,445(-1),"

 
","


 
",ナッチャンカット, 
2021/07/07,園田,雨,7,C2三,"

",10,8,10,54.9,10,9,"
井上幹太
",56,ダ1400,不,"

**

",1:35.0,3.1,"

**

",6-6-8-8,0.0-40.4,42.7,446(+2),"

 
","


 
",フェイトフル, 
2021/06/23,園田,晴,6,C2三,"

",10,3,3,39.5,9,8,"
井上幹太
",56,ダ1400,良,"

**

",1:36.0,2.2,"

**

",6-6-6-7,0.0-39.5,41.1,444(-10),"

 
","


 
",ヨウウッドテール, 
2021/06/04,園田,雨,4,C3二,"

",10,3,3,52.2,9,1,"
井上幹太
",56,ダ1400,不,"

**

",1:34.0,0.0,"

**

",6-6-2-2,0.0-41.3,41.0,454(+4),"

 
","


 
",(ジュンサロマ),50.0
2021/05/20,園田,雨,1,C3三,"

",10,2,2,22.4,8,9,"
井上幹太
",56,ダ1400,重,"

**

",1:39.2,3.9,"

**

",5-4-6-7,0.0-41.7,45.1,450(-3),"

 
","


 
",ツインフルムーン, 
2021/05/03,園田,晴,7,C3一,"

",10,7,7,33.5,8,2,"
井上幹太
",56,ダ1400,稍,"

**

",1:35.3,0.6,"

**

",6-6-6-5,0.0-40.5,40.6,453(-2),"

 
","


 
",エメラルドブルー,20.0
2021/04/21,園田,晴,4,C3二,"

",10,7,8,54.7,9,3,"
井上幹太
",56,ダ1400,良,"

**

",1:35.0,0.6,"

**

",7-8-4-3,0.0-41.5,41.3,455(+7),"

 
","


 
",チェリーガイア,12.5
2021/04/06,姫路,晴,4,C3二,"

",9,3,3,25.9,8,9,"
井上幹太
",56,ダ1400,稍,"

**

",1:35.6,1.3,"

**

",7-7-7-7,0.0-40.2,40.5,448(-5),"

 
","


 
",メイショウルチル, 
2021/03/31,姫路,晴,2,C3二,"

",10,7,7,47.4,6,5,"
井上幹太
",56,ダ1400,稍,"

**

",1:35.0,1.8,"

**

",7-7-5-5,0.0-39.2,40.1,453(-5),"

 
","


 
",ミンミンセレーナ,2.8
2021/03/17,姫路,晴,4,C3二,"

",10,1,1,43.4,9,9,"
井上幹太
",56,ダ1400,良,"

**

",1:35.2,1.2,"

**

",6-7-7-6,0.0-39.2,39.6,458(+3),"

 
","


 
",コアヴィクトリー, 
2021/03/02,姫路,曇,5,C3一,"

",10,5,5,49.3,8,4,"
井上幹太
",56,ダ1400,不,"

**

",1:32.8,1.3,"

**

",6-6-5-4,0.0-38.0,38.6,455(+3),"

 
","


 
",ヒロシゲウェーブ,3.5
2021/02/16,姫路,晴,4,C3二,"

",10,3,3,17.0,4,3,"
井上幹太
",56,ダ1400,重,"

**

",1:36.0,0.5,"

**

",5-5-6-3,0.0-40.1,40.1,452(-6),"

 
","


 
",エイシンホクサイ,4.9
2021/02/04,姫路,曇,2,C3一,"

",10,7,8,54.6,8,7,"
井上幹太
",56,ダ1400,良,"

**

",1:35.0,1.3,"

**

",9-9-7-7,0.0-39.2,39.8,458(+4),"

 
","


 
",キクノヴィゴ, 
2021/01/19,姫路,晴,4,C3一,"

",10,2,2,61.9,8,7,"
井上幹太
",56,ダ1400,良,"

**

",1:34.9,0.9,"

**

",8-8-8-7,0.0-38.5,38.4,454(-6),"

 
","


 
",マルキーズ, 
2021/01/03,園田,晴,5,C2三,"

",8,4,4,49.9,8,8,"
井上幹太
",56,ダ1400,良,"

**

",1:35.5,1.2,"

**

",8-8-8-7,0.0-41.0,40.9,460(+6),"

 
","


 
",スカイノブランチ, 
2020/12/22,園田,晴,3,C2三,"

",10,7,7,18.7,6,9,"
松木大地
",56,ダ1400,良,"

**

",1:36.3,0.8,"

**

",9-8-9-9,0.0-40.5,40.3,454(0),"

 
","


 
",フロムミートゥユー, 
2020/12/01,園田,晴,8,C1二,"

",11,1,1,350.1,9,8,"
井上幹太
",56,ダ1400,良,"

**

",1:33.7,2.6,"

**

",10-10-11-10,0.0-39.3,39.7,454(0),"

 
","


 
",ウインジョイフル, 
2020/11/17,園田,晴,6,C2三,"

",10,8,10,52.7,9,9,"
井上幹太
",56,ダ1400,良,"

**

",1:34.6,1.3,"

**

",6-6-6-8,0.0-40.1,40.8,454(-5),"

 
","


 
",クリノイナヅマオー, 
