日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/11/16,大井,晴,10,霜月賞競走,"

",16,4,8,169.5,14,14,"
東原悠善
",57,ダ1800,良,"

**

",2:00.4,5.4,"

**

",7-8-8-13,37.6-40.3,44.7,510(-4),"

 
","


 
",ピンフドラサン, 
2021/11/01,大井,曇,10,秋晴賞競走,"

",16,4,8,240.4,14,13,"
東原悠善
",56,ダ1800,重,"

**

",1:57.9,2.9,"

**

",6-6-6-8,38.5-39.7,42.0,514(0),"

 
","


 
",ベイズンストリート, 
2021/10/08,大井,晴,12,今年の冬もメガイルミ,"

",16,1,1,128.5,14,7,"
東原悠善
",56,ダ1600,良,"

**

",1:42.1,1.5,"

**

",11-11-12-9,35.8-40.0,40.7,514(-3),"

 
","


 
",セパヌイール, 
2021/09/21,大井,晴,12,紫苑賞競走,"

",15,4,6,131.2,13,10,"
東原悠善
",56,ダ1600,良,"

**

",1:43.2,1.8,"

**

",7-6-7-8,37.9-39.5,40.6,517(-5),"

 
","


 
",スズノチェルシー, 
2021/09/06,大井,曇,11,1991水上バス・ト,"

",16,4,8,62.5,12,15,"
東原悠善
",56,ダ1800,重,"

**

",1:59.4,4.7,"

**

",8-8-9-10,38.4-39.1,42.7,522(+26),"

 
","


 
",ノートウォージー, 
2021/07/11,1福島4,小雨,1,障害3歳以上未勝利,"

",13,5,7,32.6,8,11,"
大江原圭
",60,障2750,稍,"


 
",3:10.5,8.7,"


 
",8-8-10-12,108.0-39.6,13.9,496(-8),"

","


 
",ブルーガーディアン, 
2021/06/19,3阪神1,雨,1,障害3歳以上未勝利,"

",12,3,3,63.9,10,7,"
大江原圭
",60,障2970,重,"


 
",3:27.1,3.7,"


 
",4-3-5-5,106.0-39.2,13.9,504(-18),"

","


 
",チェーロ, 
2021/02/20,1東京7,晴,8,4歳以上2勝クラス,"

",16,6,11,167.4,15,13,"
野中悠太
",56,ダ2100,良,"

**

",2:14.1,2.1,"

**

",1-1-1-2,30.7-38.2,40.3,522(-2),"

","


 
",モルタル, 
2021/01/30,1東京1,晴,8,4歳以上2勝クラス,"

",15,5,9,73.8,13,12,"
野中悠太
",56,ダ2100,重,"

**

",2:12.0,1.8,"

**

",1-1-1-1,30.9-37.1,38.9,524(+2),"

","


 
",ギガバッケン, 
2021/01/11,1中山4,曇,9,成田特別(2勝クラス),"

",16,2,4,37.8,11,16,"
秋山稔樹
",54,ダ2400,良,"

**

",2:40.3,2.8,"

**

",5-5-13-15,37.4-39.8,41.7,522(+10),"

","


 
",エコロドリーム, 
