日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2020/05/04,金沢,曇,8,天音ちゃんお誕生日お,"

",8,5,5,18.0,6,4,"
青柳正義
",56,ダ1500,良,"

**

",1:41.5,0.6,"

**

",6-5-4-4,0.0-41.2,40.9,444(-2),"

 
","


 
",シニョーラ,3.3
2020/04/08,園田,晴,2,3歳C2,"

",12,8,11,32.4,8,8,"
廣瀬航
",55,ダ1400,良,"

**

",1:33.8,1.4,"

**

",12-12-10-10,0.0-41.2,40.1,446(+5),"

 
","


 
",フローラルオーク, 
2020/03/19,園田,晴,2,3歳C2,"

",12,1,1,40.5,10,2,"
廣瀬航
",55,ダ1400,稍,"

**

",1:33.2,1.0,"

**

",11-11-9-8,0.0-39.6,39.1,441(-14),"

 
","


 
",フォンテーヌ,11.2
2020/02/27,園田,曇,7,3歳C1一,"

",11,6,6,166.2,11,7,"
廣瀬航
",55,ダ1400,重,"

**

",1:33.1,2.9,"

**

",11-11-10-9,0.0-38.3,39.4,455(+22),"

 
","


 
",ユウキラフェール, 
2020/01/30,姫路,晴,7,3歳C1一,"

",11,5,5,211.9,10,10,"
大山真吾
",55,ダ1400,稍,"

**

",1:36.6,3.3,"

**

",11-11-11-10,0.0-38.8,40.1,433(-2),"

 
","


 
",ブラッドクロス, 
2020/01/08,園田,曇,2,3歳未勝利,"

",12,7,10,20.6,7,11,"
松木大地
",55,ダ1400,不,"

**

",1:37.1,7.2,"

**

",12-12-12-12,0.0-38.1,41.8,435(+4),"

 
","


 
",タートルブライアン, 
2019/12/26,園田,雨,3,2歳未勝利一,"

",10,7,7,30.1,6,7,"
川原正一
",55,ダ1400,重,"

**

",1:35.1,2.3,"

**

",8-8-9-9,0.0-39.7,40.7,431(+6),"

 
","


 
",トライバルキング, 
2019/12/10,園田,晴,3,2歳未勝利一,"

",12,4,4,36.0,10,5,"
廣瀬航
",55,ダ1400,良,"

**

",1:33.5,1.0,"

**

",9-9-8-6,0.0-41.0,40.6,425(-6),"

 
","


 
",ネイチャーアモーレ,6.4
2019/11/20,園田,晴,2,2歳未勝利,"

",12,8,12,3.2,1,9,"
吉村智洋
",55,ダ1700,良,"

**

",1:57.4,1.8,"

**

",2-2-1-2,0.0-40.4,42.2,431(-6),"

 
","


 
",コエミ, 
2019/10/30,園田,晴,3,2歳未勝利一,"

",12,8,12,6.9,4,5,"
廣瀬航
",55,ダ1230,稍,"

**

",1:21.8,1.1,"

**

",10-10-10-8,0.0-40.8,40.1,437(+7),"

 
","


 
",ムツミ,6.4
2019/10/10,園田,晴,2,2歳未勝利,"

",12,1,1,8.8,3,3,"
小谷周平
",55,ダ1400,良,"

**

",1:34.4,2.2,"

**

",9-9-4-5,0.0-40.3,41.4,430(-3),"

 
","


 
",エイユーキャッスル,9.8
2019/09/26,園田,晴,2,2歳未勝利,"

",11,5,5,3.0,2,4,"
小谷周平
",55,ダ1400,良,"

**

",1:34.0,1.3,"

**

",11-11-5-4,0.0-40.6,40.5,433(+9),"

 
","


 
",ドントルックバック,7.0
2019/09/05,門別,晴,2,2歳未勝利(未勝利),"

",10,1,1,15.8,5,4,"
五十嵐冬
",54,ダ1200,良,"

**

",1:16.0,1.2,"

**

",6-5,0.0-39.5,38.8,424(+4),"

 
","


 
",カラースキーム,5.0
2019/08/20,門別,曇,1,2歳未勝利(未勝利),"

",11,5,5,13.0,4,3,"
五十嵐冬
",54,ダ1000,稍,"

**

",1:02.9,1.4,"

**

",7-7,0.0-37.7,37.8,420(-2),"

 
","


 
",アイズオンユー,7.5
2019/08/08,門別,曇,1,ひだかうまキッズ探検(未勝利),"

",12,5,6,8.1,5,3,"
服部茂史
",54,ダ1000,良,"

**

",1:03.1,1.2,"

**

",7-7,0.0-37.9,38.3,422(0),"

 
","


 
",ユーフェミア,7.5
2019/07/24,門別,曇,6,JRA認定フレッシュ(新馬),"

",10,2,2,5.2,2,6,"
五十嵐冬
",54,ダ1000,稍,"

**

",1:02.9,1.6,"

**

",7-7,0.0-37.9,37.8,422(0),"

 
","


 
",ティーズリープ, 
2019/07/10,門別,曇,5,JRA認定フレッシュ(新馬),"

",7,1,1, , ,取,"
宮崎光行
",54,ダ1000,良,"

**

", , ,"

**

", ,0.0-38.5, ,計不,"

 
","


 
",エイシンタンチョウ, 
