日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/11/02,大井,晴,8,マタドール賞,"

",13,2,2,94.3,12,13,"
今野忠成
",56,ダ1200,重,"

**

",1:17.5,3.3,"

**

",6-9,35.5-38.7,41.1,450(+1),"

 
","


 
",サツキブライド, 
2021/10/07,大井,曇,8,マティーニ賞,"

",14,3,4,207.7,14,14,"
今野忠成
",56,ダ1200,良,"

**

",1:15.3,2.7,"

**

",5-5,35.1-37.5,39.6,449(0),"

 
","


 
",キョウワセイヴァー, 
2021/09/20,大井,晴,6,都電とバラの街あらか,"

",8,2,2,25.0,5,8,"
今野忠成
",56,ダ1200,稍,"

**

",1:14.4,1.9,"

**

",8-7,35.5-37.0,37.8,449(-2),"

 
","


 
",ブラックアバンティ, 
2021/09/09,大井,曇,9,2017ララベルJB,"

",13,8,12,91.9,13,6,"
今野忠成
",56,ダ1200,不,"

**

",1:14.6,0.5,"

**

",3-3,35.6-38.5,39.0,451(+5),"

 
","


 
",ヴァンルーチェ, 
2021/08/18,大井,晴,9,オリオンビール賞,"

",14,6,9,70.0,12,11,"
今野忠成
",56,ダ1200,不,"

**

",1:15.9,2.5,"

**

",10-9,35.2-38.2,39.9,446(-4),"

 
","


 
",アウトスタンド, 
2021/08/05,大井,晴,9,C1五　六,"

",10,8,10,59.5,10,10,"
高橋昭平
",56,ダ1200,良,"

**

",1:16.5,3.0,"

**

",7-10,35.0-38.5,40.7,450(+4),"

 
","


 
",キョウエイソフィア, 
2021/07/14,大井,曇,9,ただいま放送中!楽天,"

",12,2,2,90.2,12,8,"
高橋昭平
",56,ダ1200,稍,"

**

",1:14.2,1.3,"

**

",3-3,35.2-37.7,38.6,446(-2),"

 
","


 
",アーネストロング, 
2021/07/02,大井,雨,9,C1二　三,"

",16,6,12,60.5,13,14,"
高橋昭平
",56,ダ1200,不,"

**

",1:15.6,2.5,"

**

",12-12,35.6-37.5,39.0,448(+2),"

 
","


 
",ラテリシウス, 
2021/06/11,大井,晴,8,C1一　二三,"

",12,7,10,25.4,7,9,"
高橋昭平
",56,ダ1200,良,"

**

",1:15.4,1.8,"

**

",3-3,36.3-37.3,39.1,446(-4),"

 
","


 
",マクトゥーブ, 
2021/05/21,大井,曇,8,C1二　三,"

",14,7,11,55.0,10,13,"
本橋孝太
",56,ダ1200,不,"

**

",1:15.7,2.3,"

**

",14-14,35.3-38.1,37.8,450(0),"

 
","


 
",キングオブヘヴン, 
