日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2020/07/22,名古屋,晴,2,名古屋モーニングフィ,"

",11,3,3,186.4,10,11,"
丸野勝虎
",54,ダ1400,不,"

**

",1:36.0,3.9,"

**

",11-11-11,0.0-41.0,42.0,427(+1),"

 
","


 
",ブレットゥ, 
2020/06/24,名古屋,曇,3,3歳4組,"

",9,6,6,246.4,8,8,"
丸野勝虎
",54,ダ1400,良,"

**

",1:34.4,3.8,"

**

",7-7-8,0.0-39.7,41.5,426(-2),"

 
","


 
",フルートフル, 
2020/06/10,名古屋,曇,2,3歳3組,"

",9,5,5,76.3,8,8,"
宮下瞳
",52,ダ1400,良,"

**

",1:34.5,4.5,"

**

",5-5-6,0.0-38.7,42.2,428(+5),"

 
","


 
",オウサムミニスター, 
2020/05/27,名古屋,晴,2,3歳4組,"

",9,6,6,126.8,8,5,"
宮下瞳
",52,ダ1400,稍,"

**

",1:32.8,0.4,"

**

",8-8-7,0.0-42.7,41.5,423(+1),"

 
","


 
",シャイニーステラ,2.9
2020/05/13,名古屋,晴,2,3歳3組,"

",8,8,8,49.7,8,8,"
丸野勝虎
",54,ダ1400,良,"

**

",1:34.1,2.8,"

**

",8-8-8,0.0-40.6,40.7,422(0),"

 
","


 
",トーホウオリヴィエ, 
2020/05/04,名古屋,曇,1,3歳3組,"

",8,7,7,46.7,7,7,"
細川智史
",51,ダ1400,稍,"

**

",1:32.9,3.3,"

**

",7-8-8,0.0-39.2,40.8,422(+2),"

 
","


 
",タイニーパワー, 
2020/04/22,名古屋,晴,2,3歳2組,"

",10,7,7,96.5,9,8,"
丸野勝虎
",54,ダ1400,重,"

**

",1:34.0,2.4,"

**

",7-8-10,0.0-40.3,41.4,420(+1),"

 
","


 
",マイネルアルファー, 
2020/03/26,名古屋,晴,10,ドリーム戦,"

",8,6,6,60.0,6,7,"
丸野勝虎
",54,ダ1400,良,"

**

",1:33.4,2.3,"

**

",6-7-8,0.0-38.1,39.6,419(-1),"

 
","


 
",クロワ, 
2020/03/11,名古屋,晴,3,3歳2組,"

",9,1,1,39.4,5,8,"
丸野勝虎
",54,ダ1400,不,"

**

",1:35.0,3.9,"

**

",8-9-9,0.0-39.3,41.5,420(0),"

 
","


 
",ナムラマホーホ, 
2020/02/26,名古屋,晴,1,3歳3組,"

",8,1,1,17.5,5,3,"
丸野勝虎
",54,ダ1400,稍,"

**

",1:32.6,1.1,"

**

",7-6-3,0.0-41.1,41.0,420(0),"

 
","


 
",ファルコンフィート,5.4
2020/02/12,名古屋,晴,2,3歳3組,"

",9,4,4,70.0,9,3,"
水野翔
",54,ダ1400,良,"

**

",1:32.3,0.9,"

**

",7-7-7,0.0-39.3,39.3,420(+1),"

 
","


 
",ダイユウニシキ,5.4
2020/01/28,名古屋,曇,6,ドリーム戦,"

",9,7,7,35.0,5,6,"
村上弘樹
",54,ダ1600,稍,"

**

",1:48.2,2.3,"

**

",7-6-6,0.0-39.3,40.7,419(+9),"

 
","


 
",ノビルメンテ, 
2020/01/15,名古屋,晴,7,上ちゃん&よっぴー結,"

",8,1,1,7.3,2,4,"
丸野勝虎
",54,ダ1400,稍,"

**

",1:33.5,3.3,"

**

",8-8-8,0.0-40.3,41.2,410(-5),"

 
","


 
",マイネルドゥマン,3.4
2019/12/19,名古屋,晴,2,2歳2組,"

",7,6,6,4.6,2,2,"
丸野勝虎
",54,ダ1400,稍,"

**

",1:33.5,0.0,"

**

",4-4-3,0.0-41.5,40.8,415(-5),"

 
","


 
",ミサキシャンティ,13.7
2019/12/13,名古屋,晴,2,2歳牝馬,"

",10,5,5,10.1,5,1,"
丸野勝虎
",54,ダ1400,良,"

**

",1:33.6,-0.6,"

**

",5-4-4,0.0-40.7,40.0,420(-8),"

 
","


 
",(エイシンハマナス),46.0
2019/11/29,名古屋,晴,1,2歳4組,"

",8,1,1,3.1,2,3,"
丸野勝虎
",54,ダ800,良,"

**

",0:51.8,0.3,"

**

",5,0.0-37.2,37.4,428(+16),"

 
","


 
",ファルコンフィート,7.4
2019/10/29,門別,曇,3,2歳未勝利(未勝利),"

",10,1,1,152.8,9,10,"
松井伸也
",54,ダ1000,良,"

**

",1:04.6,1.9,"

**

",5-5,0.0-38.4,39.7,412(-8),"

 
","


 
",レッツシンク, 
2019/10/17,門別,晴,1,2歳牝馬未勝利(未勝利),"

",8,8,8,81.4,7,3,"
松井伸也
",54,ダ1000,稍,"

**

",1:04.4,1.7,"

**

",6-5,0.0-37.9,38.5,420(+14),"

 
","


 
",アンズビジン,7.5
2019/08/20,門別,曇,2,2歳未勝利(未勝利),"

",11,7,9,326.7,9,7,"
松井伸也
",54,ダ1000,稍,"

**

",1:04.3,1.4,"

**

",9-9,0.0-39.2,39.1,406(-4),"

 
","


 
",ソングウィズローズ, 
2019/08/08,門別,曇,3,JRA認定フレッシュ(新馬),"

",10,7,7,76.8,10,10,"
松井伸也
",54,ダ1000,良,"

**

",1:05.6,3.4,"

**

",9-10,0.0-38.0,40.0,410(0),"

 
","


 
",ディスタイム, 
