日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/08/03,大井,晴,6,C2五　六七,"

",13,5,7,111.9,10,12,"
西啓太
",56,ダ1400,稍,"

**

",1:30.8,4.6,"

**

",3-2-3,36.1-37.6,42.0,491(-4),"

 
","


 
",ラヴィッシュ, 
2021/07/02,大井,雨,6,C2二　三四,"

",10,5,5,11.5,6,7,"
西啓太
",56,ダ1400,不,"

**

",1:30.0,2.3,"

**

",10-10-10,37.3-37.7,39.3,495(+4),"

 
","


 
",ゲンキチヤマト, 
2021/05/17,大井,曇,9,C1　C2,"

",14,4,6,19.6,7,13,"
森泰斗
",55,ダ1200,良,"

**

",1:15.8,2.1,"

**

",7-6,35.3-38.4,40.0,491(-8),"

 
","


 
",ウインコンツェルト, 
2020/12/29,大井,曇,5,ハツシバオー賞,"

",14,8,14,34.1,9,1,"
服部茂史
",56,ダ1200,良,"

**

",1:14.9,-0.2,"

**

",2-1,35.8-39.1,39.1,499(+11),"

 
","


 
",(ナイスブロンディ),100.0
2020/08/20,大井,晴,2,3歳　295万,"

",15,2,4, , ,取,"
藤田凌
",56,ダ1200,良,"

**

", , ,"

**

", ,35.7-38.0, ,計不,"

 
","


 
",タイムアーツ, 
2020/07/31,大井,曇,2,3歳　400万,"

",11,1,1,154.9,8,8,"
楢崎功祐
",56,ダ1400,稍,"

**

",1:29.6,1.6,"

**

",6-9-10,36.7-38.8,39.8,488(0),"

 
","


 
",サルヴ, 
2020/07/09,大井,曇,2,3歳　295万,"

",13,4,4,35.3,9,11,"
本田正重
",56,ダ1200,重,"

**

",1:16.1,1.6,"

**

",4-4,36.3-38.2,39.6,488(-3),"

 
","


 
",サルヴ, 
2020/04/10,大井,晴,2,3歳　280万,"

",14,8,13,319.9,13,9,"
藤田凌
",56,ダ1400,良,"

**

",1:31.4,3.3,"

**

",14-14-10,37.3-38.2,40.2,491(+3),"

 
","


 
",ロイヤルペガサス, 
2020/02/07,大井,曇,1,3歳　280万,"

",12,8,12,22.3,8,8,"
藤田凌
",55,ダ1200,良,"

**

",1:16.3,1.7,"

**

",5-5,35.9-38.7,39.9,488(+2),"

 
","


 
",ノーブルノヴァ, 
2019/12/26,大井,曇,6,2歳　新馬(新馬),"

",9,8,9,1.6,1,1,"
森泰斗
",55,ダ1200,重,"

**

",1:16.6,-0.7,"

**

",1-1,37.6-39.0,39.0,486(0),"

 
","


 
",(ブローニュ),290.0
2019/05/20,大井,曇,4,2歳　新馬(新馬),"

",4,5,5, , ,取,"
森泰斗
",54,ダ1200,良,"

**

", , ,"

**

", ,39.0-39.3, ,計不,"

 
","


 
",カミノアカネ, 
