日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/05/05,船橋,曇,2,C3二　三,"

",12,2,2,49.3,8,10,"
山中悠希
",56,ダ1500,稍,"

**

",1:41.4,3.4,"

**

",12-12-12-12,33.1-39.3,41.0,489(-4),"

 
","


 
",ポロス, 
2021/04/22,川崎,晴,5,C3四　五六,"

",12,5,6,8.1,3,7,"
山中悠希
",56,ダ1400,良,"

**

",1:33.6,1.3,"

**

",8-10-9-10,37.1-42.5,41.8,493(-4),"

 
","


 
",ストロングガルム, 
2021/04/07,船橋,晴,3,C3二　三,"

",12,1,1,13.4,6,8,"
山中悠希
",56,ダ1500,稍,"

**

",1:38.7,2.0,"

**

",5-6-6-7,32.0-39.2,40.7,497(-2),"

 
","


 
",ポロス, 
2021/03/17,船橋,晴,5,C3五　六,"

",12,7,9,14.0,5,4,"
山中悠希
",56,ダ1500,良,"

**

",1:39.6,0.5,"

**

",10-9-7-7,33.4-40.3,39.7,499(0),"

 
","


 
",ラリュール,12.0
2021/02/10,船橋,晴,4,C3五　六,"

",11,2,2,6.8,3,3,"
山中悠希
",56.5,ダ1500,良,"

**

",1:39.7,0.8,"

**

",6-6-6-6,33.4-39.2,39.5,499(0),"

 
","


 
",モエレレジェンド,20.0
2021/01/12,船橋,小雨,3,C3八　九,"

",12,3,3,95.9,8,3,"
山中悠希
",56.5,ダ1500,良,"

**

",1:38.1,1.7,"

**

",3-4-3-3,32.0-38.8,40.0,499(+6),"

 
","


 
",フルミント,20.0
2020/12/01,船橋,晴,2,3歳三　四,"

",12,7,9,91.7,8,8,"
山中悠希
",56,ダ1200,良,"

**

",1:16.9,2.8,"

**

",4-6-8,36.6-37.5,39.1,493(+10),"

 
","


 
",ビービーファブル, 
2020/10/28,船橋,曇,1,3歳四　五,"

",12,8,11,107.4,9,5,"
田中力
",56,ダ1200,稍,"

**

",1:18.0,2.5,"

**

",8-9-8,36.4-39.1,40.0,483(-4),"

 
","


 
",ロマンスピネル,11.0
2020/07/24,園田,曇,1,C3四,"

",10,8,9,9.2,5,10,"
松木大地
",55,ダ1400,良,"

**

",1:37.8,2.9,"

**

",3-4-5-7,0.0-41.3,43.9,487(+7),"

 
","


 
",ヨコハマダンディー, 
2020/07/08,園田,曇,3,C3四,"

",9,7,7,9.5,7,8,"
井上幹太
",55,ダ1400,不,"

**

",1:35.6,3.4,"

**

",7-7-8-8,0.0-39.6,41.8,480(-11),"

 
","


 
",マイネルシャテール, 
2020/05/21,園田,曇,3,3歳C2一,"

",12,2,2,6.5,4,3,"
井上幹太
",55,ダ1400,稍,"

**

",1:35.7,0.5,"

**

",5-5-6-4,0.0-41.1,41.1,491(0),"

 
","


 
",ニコラスタッカート,5.6
2020/05/06,園田,曇,8,3歳C1二,"

",11,8,11,10.3,6,7,"
井上幹太
",55,ダ1400,良,"

**

",1:36.6,2.7,"

**

",8-8-9-9,0.0-41.6,43.4,491(-6),"

 
","


 
",ナムラブラボー, 
2020/04/21,園田,晴,9,3歳C1一,"

",9,6,6,11.5,5,9,"
井上幹太
",55,ダ1400,重,"

**

",1:34.2,1.7,"

**

",5-6-7-8,0.0-40.0,41.0,497(+7),"

 
","


 
",フォンテーヌ, 
2020/03/26,園田,晴,9,3歳C1,"

",11,6,7,15.2,5,4,"
井上幹太
",55,ダ1400,良,"

**

",1:32.6,1.5,"

**

",2-2-2-3,0.0-38.8,40.2,490(+6),"

 
","


 
",ヴィクトリアグラス,6.0
2020/03/07,佐賀,雨,6,3歳ー4組,"

",9,6,6,2.3,1,1,"
山口勲
",56,ダ1400,良,"

**

",1:32.2,-0.2,"

**

",2-2-2-2,0.0-39.0,38.8,484(-1),"

 
","


 
",(シスコキッド),25.0
2020/02/22,佐賀,晴,5,3歳ー5組,"

",9,3,3,4.0,2,3,"
田中純
",56,ダ1400,不,"

**

",1:32.2,0.9,"

**

",9-6-5-4,0.0-39.6,40.0,485(+4),"

 
","


 
",キョウワビースト,2.5
2020/02/08,佐賀,晴,11,マーガレット賞,"

",10,4,4,2.8,2,3,"
松井伸也
",56,ダ1400,良,"

**

",1:32.2,0.3,"

**

",9-9-8-5,0.0-40.3,39.0,481(-14),"

 
","


 
",テイエムマルジュウ,2.5
2020/02/02,佐賀,曇,6,3歳ー6組,"

",10,3,3,4.2,2,1,"
松井伸也
",56,ダ1400,重,"

**

",1:32.2,-0.2,"

**

",3-2-2-2,0.0-40.0,39.9,495(+21),"

 
","


 
",(グートエーデル),25.0
2019/07/31,門別,曇,6,JRA認定フレッシュ(新馬),"

",8,4,4,10.4,5,5,"
松井伸也
",54,ダ1200,良,"

**

",1:16.7,1.9,"

**

",7-6,0.0-39.4,39.9,474(0),"

 
","


 
",リュウノゾロ,7.5
