日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2020/11/04,門別,曇,9,SPAT4のお得なポ,"

",11,8,11,156.3,10,8,"
小野楓馬
",56,ダ1200,重,"

**

",1:16.4,2.0,"

**

",6-5,0.0-38.6,39.5,462(+6),"

 
","


 
",オメガレイスター, 
2020/10/21,門別,曇,6,3歳以上C4ー2,"

",11,4,4,311.2,10,11,"
桑村真明
",56,ダ1200,稍,"

**

",1:18.4,3.4,"

**

",6-6,0.0-39.4,41.6,456(+10),"

 
","


 
",タイキスピネル, 
2020/10/07,門別,晴,6,3歳以上C3ー4C4,"

",11,6,7,73.7,10,8,"
桑村真明
",56,ダ1000,重,"

**

",1:02.3,0.7,"

**

",6-5,0.0-37.7,37.8,446(+2),"

 
","


 
",ニシノコードブルー, 
2020/09/24,門別,晴,7,日高町健康まつり賞,"

",9,5,5,28.1,4,9,"
桑村真明
",56,ダ1200,稍,"

**

",1:18.8,4.4,"

**

",5-5,0.0-37.5,40.8,444(-2),"

 
","


 
",アマービレ, 
2020/09/09,門別,晴,6,3歳以上C4ー2,"

",7,7,7,3.4,2,4,"
桑村真明
",56,ダ1000,稍,"

**

",1:03.0,1.1,"

**

",2-2,0.0-38.1,39.0,446(+2),"

 
","


 
",ロブソンテソーロ,4.2
2020/08/27,門別,晴,8,3歳以上C4ー2,"

",9,5,5,27.8,5,6,"
桑村真明
",56,ダ1200,良,"

**

",1:18.1,2.0,"

**

",2-4,0.0-39.5,41.3,444(0),"

 
","


 
",ミルクティーカラー, 
2020/08/12,門別,晴,7,3歳以上C4ー2,"

",9,1,1,23.8,6,6,"
桑村真明
",56,ダ1200,良,"

**

",1:16.3,1.2,"

**

",2-2,0.0-39.1,40.0,444(-2),"

 
","


 
",ツウカイヴィータ, 
2020/07/30,門別,晴,7,安平町「馬歯酒」賞,"

",12,4,4,27.1,6,2,"
桑村真明
",56,ダ1000,良,"

**

",1:03.1,0.2,"

**

",4-3,0.0-39.0,38.7,446(-2),"

 
","


 
",ジニアテソーロ,8.4
2020/07/16,門別,曇,8,3歳以上C4ー3,"

",12,6,7,92.9,9,6,"
桑村真明
",56,ダ1000,稍,"

**

",1:03.2,1.0,"

**

",8-8,0.0-38.9,38.5,448(+4),"

 
","


 
",キンランドンス, 
2020/07/02,門別,雨,3,チロロ岳賞,"

",10,5,5,51.6,9,7,"
石川倭
",56,ダ1000,不,"

**

",1:03.0,1.5,"

**

",10-9,0.0-37.7,37.6,444(+2),"

 
","


 
",カガジャドール, 
