日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/10/19,浦和,曇,9,小春特別,"

",12,5,5,11.6,4,5,"
左海誠二
",56,ダ1400,重,"

**

",1:30.4,0.6,"

**

",2-2-1-1,37.4-39.2,39.8,453(-3),"

 
","


 
",ティーポンド,25.0
2021/09/22,浦和,晴,12,曼珠沙華特別,"

",12,7,9,7.1,3,6,"
左海誠二
",56,ダ1400,良,"

**

",1:29.7,1.3,"

**

",6-7-8-6,36.9-38.4,38.7,456(+2),"

 
","


 
",アンファンドディユ, 
2021/05/08,2新潟1,晴,9,4歳以上1勝クラス,"

",15,5,8,16.5,7,14,"
津村明秀
",57,ダ1200,良,"

**

",1:13.2,1.8,"

**

",7-7,34.2-37.2,38.5,454(+10),"

","


 
",ジャックオレンジ, 
2020/09/05,2札幌7,晴,6,3歳以上1勝クラス,"

",12,6,8,44.9,10,6,"
団野大成
",54,ダ1000,良,"

**

",0:59.5,0.9,"

**

",1-2,35.1-34.9,35.8,444(0),"

","


 
",パイプライン, 
2020/08/22,2札幌3,晴,8,3歳以上1勝クラス,"

",12,8,12,15.0,5,4,"
団野大成
",53,ダ1000,良,"

**

",0:59.6,0.6,"

**

",4-4,34.5-36.0,36.1,444(+4),"

","


 
",キラットダイヤ,110.0
2020/08/08,1札幌5,晴,7,3歳以上1勝クラス,"

",12,6,7,8.9,4,7,"
団野大成
",53,ダ1000,良,"

**

",0:59.8,0.8,"

**

",6-6,34.6-36.0,36.1,440(-6),"

","



",サザンレインボー, 
2020/07/25,1札幌1,晴,7,3歳以上1勝クラス,"

",12,7,9,7.5,3,5,"
団野大成
",53,ダ1000,良,"

**

",0:59.0,0.8,"

**

",7-5,34.9-34.9,35.2,446(+6),"

","


 
",メイショウヒバリ,76.0
2020/01/19,1中山7,晴,4,3歳1勝クラス,"

",16,7,14,13.2,5,5,"
津村明秀
",56,ダ1200,稍,"

**

",1:12.1,0.4,"

**

",8-8,34.0-37.7,37.3,440(-2),"

","


 
",トウカイエトワール,73.0
2019/12/22,5中山8,曇,1,2歳未勝利,"

",15,5,8,1.7,1,1,"
津村明秀
",55,ダ1200,良,"

**

",1:12.5,-0.8,"

**

",6-6,34.2-38.3,37.5,442(+4),"

","


 
",(バーグマン),500.0
2019/12/01,5中山2,曇,1,2歳未勝利,"

",16,4,7,4.9,3,2,"
津村明秀
",55,ダ1200,良,"

**

",1:12.6,0.1,"

**

",2-2,34.7-37.8,37.8,438(0),"

","


 
",バウンティハンター,200.0
2019/11/10,3福島4,晴,1,2歳未勝利,"

",16,6,11,63.0,11,2,"
団野大成
",52,ダ1150,良,"

**

",1:10.1,0.0,"

**

",7-5,31.8-38.3,37.8,438(+2),"

","


 
",コトブキレイア,200.0
2019/09/29,4中山9,曇,3,2歳未勝利,"

",16,3,5,18.9,5,15,"
福永祐一
",54,芝1600,良,"

**

",1:36.9,1.9,"

**

",4-6-4,35.8-35.0,36.5,436(+8),"

","


 
",ジュエルタワー, 
2019/09/08,4中山2,曇,5,2歳新馬,"

",14,8,13,83.1,11,4,"
津村明秀
",54,芝1600,良,"

**

",1:36.2,0.6,"

**

",2-1-1,35.1-35.2,35.8,428(0),"

","


 
",シャインガーネット,110.0
