日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/11/16,大井,晴,12,シトリン賞競走,"

",16,1,2,4.8,2,1,"
真島大輔
",56,ダ1400,良,"

**

",1:27.0,-0.5,"

**

",1-1-1,36.9-37.8,37.8,447(-4),"

 
","


 
",(セレーネカグラ),270.0
2021/10/31,大井,曇,10,サンタアニタウィーク,"

",14,2,2,3.5,2,2,"
真島大輔
",56,ダ1600,重,"

**

",1:42.5,0.0,"

**

",4-4-4-3,37.8-40.0,39.7,451(-3),"

 
","


 
",アバグネイル,108.0
2021/10/08,大井,晴,12,今年の冬もメガイルミ,"

",16,4,7,8.0,4,5,"
真島大輔
",56,ダ1600,良,"

**

",1:41.2,0.6,"

**

",8-7-4-4,35.8-40.0,40.4,454(+12),"

 
","


 
",セパヌイール,27.0
2021/06/08,大井,晴,12,ムーンストーン賞競走,"

",14,3,4,5.1,2,1,"
真島大輔
",56,ダ1600,稍,"

**

",1:41.4,-0.8,"

**

",1-1-1-1,37.6-39.6,39.6,442(0),"

 
","


 
",(セパヌイール),270.0
2021/05/19,大井,曇,12,薫風賞競走,"

",16,1,2,5.0,4,5,"
真島大輔
",56,ダ1600,重,"

**

",1:42.0,0.5,"

**

",4-4-5-4,37.6-39.0,39.3,442(0),"

 
","


 
",マイネルティプトン,27.0
2021/04/26,大井,晴,10,トーラス賞競走,"

",16,2,3,9.4,5,3,"
真島大輔
",56,ダ1600,良,"

**

",1:41.7,0.1,"

**

",11-8-5-5,37.4-39.1,38.9,442(+1),"

 
","


 
",マイネルティプトン,67.5
2021/03/24,大井,晴,10,桜坂賞競走,"

",12,6,7,9.9,3,1,"
真島大輔
",56,ダ1600,稍,"

**

",1:42.1,0.0,"

**

",3-3-2-2,38.4-38.8,38.8,441(-6),"

 
","


 
",(プリヒストリー),300.0
2021/03/12,大井,曇,5,C1一　二三,"

",13,8,12,3.7,3,3,"
真島大輔
",56,ダ1600,良,"

**

",1:42.6,0.1,"

**

",2-2-2-1,37.7-39.6,39.7,447(+1),"

 
","


 
",ヒトメボレ,30.0
2021/02/19,大井,晴,8,C1一　二三,"

",14,2,2,4.8,1,4,"
達城龍次
",56,ダ1400,良,"

**

",1:28.1,0.8,"

**

",1-1-1,37.4-37.5,38.3,446(-3),"

 
","


 
",ガイストフォル,18.0
2021/01/22,大井,晴,8,C1一　二三,"

",14,2,2,42.8,8,4,"
達城龍次
",56,ダ1400,良,"

**

",1:28.1,0.6,"

**

",1-1-1,37.4-38.0,38.6,449(+7),"

 
","


 
",バトルバーリライ,18.0
