日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/11/19,大井,晴,9,シュラとニコのしな水,"

",8,1,1,3.9,2,4,"
和田譲治
",54,ダ1000,良,"

**

",1:00.4,0.4,"

**

",3-3,35.4-36.8,36.8,489(+6),"

 
","


 
",ラッキーカイザー,36.0
2021/11/02,大井,晴,10,アメリカンアンバサダ,"

",12,5,6,7.2,3,10,"
和田譲治
",55,ダ1000,重,"

**

",1:01.1,0.6,"

**

",8-8,35.3-37.4,37.1,483(+1),"

 
","


 
",ラッキーカイザー, 
2021/07/15,大井,晴,10,マーメイド賞競走,"

",12,3,3,3.7,1,6,"
和田譲治
",55,ダ1000,稍,"

**

",1:00.2,0.9,"

**

",5-7,35.1-36.2,36.7,482(+9),"

 
","


 
",シャインカメリア, 
2021/06/16,川崎,曇,10,一騎当千賞,"

",11,8,11,17.9,7,4,"
和田譲治
",55,ダ900,不,"

**

",0:54.9,1.9,"

**

",4-5,28.4-36.0,37.2,473(-1),"

 
","


 
",コウギョウブライト,40.5
2021/05/25,川崎,晴,11,スパーキングスプリン,"

",8,8,9,9.3,4,8,"
和田譲治
",53,ダ900,稍,"

**

",0:54.0,1.0,"

**

",7-8,27.9-36.5,36.3,474(-6),"

 
","


 
",レベルフォー, 
2021/04/27,大井,晴,10,ケンタウルス賞競走,"

",12,1,1,7.1,4,1,"
和田譲治
",55,ダ1000,良,"

**

",0:59.6,0.0,"

**

",8-7,35.3-36.3,35.7,480(+3),"

 
","


 
",(アスールプラージャ),260.0
2021/03/25,大井,雨,12,わかば賞競走,"

",10,2,2,15.0,4,4,"
和田譲治
",54,ダ1200,稍,"

**

",1:13.4,0.6,"

**

",2-2,36.2-36.6,37.1,477(-7),"

 
","


 
",ショコラティエール,51.0
2021/01/22,大井,晴,12,ガーネット賞競走,"

",15,7,13,42.5,9,13,"
和田譲治
",53,ダ1200,良,"

**

",1:14.2,1.3,"

**

",10-12,35.0-37.9,38.0,484(-2),"

 
","


 
",ビヨンドボーダーズ, 
2020/12/24,大井,曇,7,カプリコーン賞競走,"

",11,4,4,4.7,4,1,"
和田譲治
",53,ダ1000,良,"

**

",1:00.5,-0.2,"

**

",5-5,35.5-37.3,36.7,486(0),"

 
","


 
",(デスパシート),320.0
2020/12/07,大井,晴,10,オリオン座特別競走,"

",11,1,1,1.8,1,1,"
和田譲治
",55,ダ1000,良,"

**

",1:00.7,0.0,"

**

",5-4,35.8-37.3,37.1,486(+3),"

 
","


 
",(ラッシュウィン),260.0
2020/11/06,大井,曇,7,C1一　二三,"

",14,4,6,14.9,5,7,"
和田譲治
",54,ダ1400,良,"

**

",1:28.2,1.3,"

**

",2-2-1,36.4-38.3,39.6,483(-7),"

 
","


 
",カーテンジュエル, 
2020/10/09,大井,雨,10,ガンガンポイント貯ま,"

",12,5,5,9.7,3,2,"
和田譲治
",54,ダ1200,不,"

**

",1:14.1,0.8,"

**

",2-2,35.6-37.7,38.4,490(+11),"

 
","


 
",アスールプラージャ,48.0
2020/09/25,大井,曇,7,楽天競馬でポイントホ,"

",16,7,13,26.9,5,4,"
和田譲治
",53,ダ1200,重,"

**

",1:14.4,0.6,"

**

",5-3,35.6-38.2,38.2,479(+7),"

 
","


 
",フォルトゥーレ,18.0
2020/05/02,大井,晴,3,3歳　365万,"

",11,3,3,6.1,2,8,"
森泰斗
",54,ダ1200,良,"

**

",1:13.8,0.9,"

**

",8-8,34.4-38.5,37.9,472(-2),"

 
","


 
",ドーロカグラ, 
2020/04/10,大井,晴,7,マーガレット特別競走,"

",14,7,12,4.1,3,5,"
矢野貴之
",54,ダ1200,良,"

**

",1:14.6,0.8,"

**

",1-1,35.1-38.7,39.5,474(0),"

 
","


 
",ファルコンビーク,35.0
2020/03/19,大井,晴,12,アザレア特別競走,"

",14,7,11,4.6,2,3,"
矢野貴之
",54,ダ1200,良,"

**

",1:14.4,0.1,"

**

",1-1,35.6-38.7,38.8,474(-1),"

 
","


 
",ザントブリッツ,75.0
2020/02/19,浦和,晴,11,ユングフラウ賞(G),"

",12,8,11,106.9,10,9,"
藤本現暉
",54,ダ1400,良,"

**

",1:30.7,2.5,"

**

",10-12-12-11,36.0-39.5,39.7,475(-6),"

 
","


 
",レイチェルウーズ, 
2020/01/24,大井,曇,1,3歳　240万,"

",13,8,13,5.7,2,2,"
吉原寛人
",54,ダ1400,重,"

**

",1:27.5,0.1,"

**

",1-1-1,36.0-39.6,39.7,481(+1),"

 
","


 
",メモリースタッグ,68.0
2019/12/31,大井,晴,10,東京2歳優駿牝馬競走(G),"

",16,1,2,355.6,15,11,"
有年淳
",54,ダ1600,稍,"

**

",1:47.9,4.4,"

**

",5-6-8-10,36.4-42.2,45.2,480(-3),"

 
","


 
",レイチェルウーズ, 
2019/12/06,大井,曇,7,ひばり特別競走,"

",16,5,9,15.2,6,10,"
有年淳
",54,ダ1600,重,"

**

",1:46.2,2.0,"

**

",2-2-2-2,37.4-40.8,42.8,483(-2),"

 
","


 
",ヘブンリーキス, 
2019/11/15,大井,晴,3,2歳　特選,"

",16,4,8,4.8,2,4,"
有年淳
",54,ダ1600,良,"

**

",1:45.8,1.1,"

**

",2-2-2-2,37.8-40.5,41.6,485(-2),"

 
","


 
",ピュアオーシャン,34.5
2019/10/15,大井,曇,6,はくたか特別競走,"

",9,5,5,4.8,3,3,"
有年淳
",54,ダ1400,重,"

**

",1:29.5,0.9,"

**

",1-1-1,36.7-39.5,40.4,487(-1),"

 
","


 
",ワイルドホース,75.0
2019/08/25,大井,晴,4,2歳　新馬(新馬),"

",7,7,7,2.2,1,1,"
有年淳
",54,ダ1600,良,"

**

",1:45.5,-2.5,"

**

",1-1-1-1,38.8-40.7,40.7,488(0),"

 
","


 
",(ムゲンミライ),290.0
