日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/10/04,大井,晴,6,C211　1213,"

",13,1,1,39.1,11,9,"
臼井健太
",54,ダ1400,重,"

**

",1:29.6,1.0,"

**

",1-1-1,36.8-39.4,40.4,474(+1),"

 
","


 
",ニシノカタパルト, 
2021/09/18,大井,曇,7,池月・磨墨賞,"

",12,5,5,268.9,12,8,"
臼井健太
",54,ダ1200,不,"

**

",1:15.5,1.3,"

**

",1-2,36.1-38.1,39.4,473(-1),"

 
","


 
",プライムライン, 
2021/09/06,大井,曇,7,1989ファンファー,"

",10,2,2,112.8,9,10,"
菅原涼太
",51,ダ1200,重,"

**

",1:17.2,2.4,"

**

",7-7,35.2-39.6,41.2,474(+4),"

 
","


 
",シオラパルク, 
2021/08/02,大井,曇,7,C2八　九十,"

",12,5,5,17.8,8,12,"
菅原涼太
",51,ダ1200,稍,"

**

",1:16.2,3.1,"

**

",9-9,35.6-37.5,39.8,470(0),"

 
","


 
",エスペランスノヴァ, 
2021/07/12,大井,曇,8,C2八　九十,"

",14,5,7,18.9,7,12,"
仲原大生
",53,ダ1400,重,"

**

",1:31.5,4.2,"

**

",1-4-4,36.0-39.0,42.7,470(-1),"

 
","


 
",ライモンド, 
2021/04/14,大井,曇,6,C2六　七,"

",16,5,9,22.3,5,12,"
左海誠二
",54,ダ1200,不,"

**

",1:15.5,1.0,"

**

",3-4,35.0-39.5,40.2,471(-5),"

 
","


 
",コーゲンゲッカ, 
2021/03/25,大井,雨,9,C2四　五,"

",15,7,13,27.5,9,8,"
左海誠二
",54,ダ1200,稍,"

**

",1:14.9,1.0,"

**

",1-1,35.8-38.1,39.1,476(-4),"

 
","


 
",グローバリズム, 
2021/03/11,大井,晴,6,C2四　五,"

",12,8,12,78.5,10,8,"
左海誠二
",54,ダ1600,稍,"

**

",1:44.5,1.7,"

**

",1-1-1-1,38.2-39.8,41.5,480(0),"

 
","


 
",ダイレクトフライト, 
2021/02/19,大井,晴,5,C2三　四五,"

",14,1,1,31.8,7,11,"
川島正太
",54,ダ1400,稍,"

**

",1:30.9,2.6,"

**

",4-6-7,37.5-38.2,40.0,480(+1),"

 
","


 
",ボーフム, 
2021/01/21,大井,晴,5,C2五　六,"

",14,3,4,98.1,12,11,"
川島正太
",54,ダ1600,良,"

**

",1:45.4,1.7,"

**

",1-1-1-1,37.6-41.5,43.2,479(-8),"

 
","


 
",ブラックサラディン, 
2020/12/31,大井,晴,3,3歳　200万,"

",14,8,14,32.9,6,1,"
川島正太
",54,ダ1600,良,"

**

",1:45.2,-0.2,"

**

",1-1-1-1,38.4-40.2,40.2,487(-5),"

 
","


 
",(ツキニカリ),140.0
2020/12/10,大井,曇,1,3歳　200万,"

",13,4,5,14.0,6,7,"
川島正太
",54,ダ1600,良,"

**

",1:45.5,1.5,"

**

",2-2-5-6,37.9-40.5,41.3,492(-1),"

 
","


 
",スピッツェンバーグ, 
2020/11/20,大井,曇,2,3歳　200万,"

",16,6,11,10.1,3,7,"
藤田凌
",54,ダ1200,良,"

**

",1:16.2,2.0,"

**

",5-6,36.7-37.5,38.9,493(-5),"

 
","


 
",ストロマンテ, 
2020/11/06,大井,曇,2,3歳　200万,"

",14,8,14,19.2,5,5,"
藤田凌
",54,ダ1200,良,"

**

",1:15.3,1.4,"

**

",5-5,35.3-38.6,39.4,498(+2),"

 
","


 
",ホトダニー,14.0
2020/10/06,大井,曇,2,3歳　140万,"

",16,6,11,2.6,2,3,"
森泰斗
",54,ダ1200,良,"

**

",1:15.5,0.9,"

**

",3-3,36.4-38.2,39.0,496(0),"

 
","


 
",ユメミルユメコ,35.0
2020/09/09,大井,晴,2,3歳　180万,"

",14,5,7,8.1,3,7,"
森泰斗
",54,ダ1200,稍,"

**

",1:15.4,1.9,"

**

",3-3,35.0-38.5,40.3,496(-8),"

 
","


 
",プーラン, 
2020/08/16,大井,晴,2,3歳　90万円,"

",14,3,4,1.3,1,2,"
森泰斗
",54,ダ1200,良,"

**

",1:14.8,1.7,"

**

",1-1,35.4-37.7,39.4,504(+1),"

 
","


 
",エスプリバナナ,64.0
2020/07/28,大井,曇,2,3歳　70万円,"

",14,4,6,6.3,2,2,"
森泰斗
",54,ダ1200,稍,"

**

",1:14.7,0.0,"

**

",1-1,35.6-39.1,39.1,503(0),"

 
","


 
",アシンメトリー,64.0
