日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/01/01,川崎,晴,11,迎春賞,"

",12,5,6,371.3,12,9,"
酒井忍
",54,ダ1400,良,"

**

",1:32.7,2.0,"

**

",11-11-11-10,38.8-39.9,40.1,450(+2),"

 
","


 
",ラストブラッサム, 
2020/12/14,川崎,曇,8,C1七　八,"

",12,5,6,131.1,11,9,"
酒井忍
",54,ダ1400,良,"

**

",1:33.4,2.7,"

**

",9-9-9-9,38.9-39.9,41.5,448(+23),"

 
","


 
",シークザトゥルース, 
2020/08/25,川崎, ,8,ペリドットフラワー賞,"

",0,6,7, , ,,"
町田直希
",55,ダ1400,,"


 
", , ,"


 
", , , ,計不,"

 
","


 
", , 
2020/08/11,川崎,晴,8,メリッサ賞,"

",14,4,6,138.5,12,13,"
酒井忍
",54,ダ2000,良,"

**

",2:16.6,2.6,"

**

",7-7-12-11,39.8-40.8,42.2,425(+4),"

 
","


 
",シャークヴィーナス, 
2020/07/14,川崎,曇,8,ルビーフラワー賞,"

",12,4,4,43.4,9,10,"
酒井忍
",55,ダ1400,不,"

**

",1:34.2,2.7,"

**

",10-11-11-11,39.6-39.6,40.4,421(-7),"

 
","


 
",デルタ, 
2020/06/29,浦和,晴,3,特選,"

",11,8,11,3.4,2,9,"
酒井忍
",54,ダ1500,重,"

**

",1:40.9,2.7,"

**

",6-6-6-6,31.8-39.8,41.5,428(-2),"

 
","


 
",フリーホースカップ, 
2020/06/08,川崎,晴,3,イージス特別,"

",11,4,4,3.9,2,1,"
酒井忍
",54,ダ1500,稍,"

**

",1:37.5,-0.3,"

**

",9-9-6-1,29.0-42.1,41.0,430(0),"

 
","


 
",(サッポロアンジュ),180.0
2020/05/12,川崎,晴,2,ホオジロ特別,"

",13,7,10,7.1,4,2,"
酒井忍
",54,ダ1500,稍,"

**

",1:38.2,0.1,"

**

",8-8-5-3,30.2-40.8,40.3,430(+1),"

 
","


 
",エイコーレイワ,64.0
2020/04/13,川崎,雨,1,つくし特別,"

",12,3,3,20.1,7,3,"
酒井忍
",54,ダ1400,不,"

**

",1:32.9,0.6,"

**

",11-11-11-11,39.2-40.8,40.0,429(-8),"

 
","


 
",ナリケイ,40.0
2020/03/02,川崎,雨,7,マジェスティ賞,"

",14,5,7,85.5,12,7,"
中越琉世
",53,ダ1500,重,"

**

",1:40.1,0.7,"

**

",6-6-4-6,29.1-43.5,43.3,437(-2),"

 
","


 
",センシャ, 
2020/02/17,浦和,曇,1,3歳四,"

",12,5,5,62.0,10,6,"
中越琉世
",53,ダ1400,稍,"

**

",1:32.2,1.6,"

**

",11-11-9-9,37.9-39.3,39.5,439(+10),"

 
","


 
",ソングウィズローズ, 
2019/10/22,川崎,曇,1,2歳3,"

",11,5,5,95.1,8,3,"
酒井忍
",54,ダ1400,不,"

**

",1:34.5,0.8,"

**

",5-5-5-4,39.1-42.1,41.9,429(+4),"

 
","


 
",イクノミライ,37.5
2019/09/05,川崎,曇,2,2歳4,"

",10,4,4,10.0,6,7,"
今野忠成
",54,ダ1400,重,"

**

",1:35.5,2.3,"

**

",6-7-7-7,39.6-41.1,42.6,425(-3),"

 
","


 
",シャークヴィーナス, 
2019/08/22,川崎,曇,3,2歳3,"

",10,4,4,16.2,5,7,"
藤江渉
",54,ダ1400,良,"

**

",1:34.8,1.2,"

**

",7-8-8-8,39.3-41.6,41.2,428(-1),"

 
","


 
",フェアウェザー, 
2019/07/22,川崎,曇,2,2歳3,"

",8,7,7,4.8,3,2,"
藤江渉
",54,ダ1400,稍,"

**

",1:36.0,0.5,"

**

",4-4-3-2,39.5-42.6,42.9,429(+7),"

 
","


 
",マキシマムラン,57.0
2019/07/05,川崎,曇,4,スパーキングデビュー,"

",7,2,2,20.1,5,4,"
藤江渉
",54,ダ900,重,"

**

",0:57.8,2.2,"

**

",3-3,30.2-37.7,39.4,422(0),"

 
","


 
",ルイドフィーネ,40.5
