日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2020/02/13,園田,晴,7,3歳B二,"

",11,6,6,159.5,11,9,"
廣瀬航
",54,ダ1400,重,"

**

",1:32.9,2.5,"

**

",9-9-9-10,0.0-39.8,41.0,406(+2),"

 
","


 
",ブラッドクロス, 
2020/01/30,姫路,晴,7,3歳C1一,"

",11,4,4,142.1,8,8,"
廣瀬航
",54,ダ1400,稍,"

**

",1:35.5,2.2,"

**

",7-8-8-8,0.0-38.8,40.1,404(+1),"

 
","


 
",ブラッドクロス, 
2020/01/09,園田,曇,8,3歳,"

",12,5,6,181.0,10,12,"
廣瀬航
",54,ダ1700,不,"

**

",1:57.9,5.5,"

**

",11-11-12-12,0.0-38.0,41.1,403(0),"

 
","


 
",マジカルフェイス, 
2019/12/30,園田,雨,4,2歳,"

",12,6,7,184.5,12,7,"
杉浦健太
",54,ダ1400,不,"

**

",1:31.8,3.1,"

**

",8-8-9-9,0.0-39.4,40.3,403(0),"

 
","


 
",カトゥール, 
2019/12/13,園田,晴,2,2歳200万円以下二,"

",10,6,6,18.6,6,7,"
廣瀬航
",54,ダ1230,良,"

**

",1:23.6,2.4,"

**

",8-8-9-7,0.0-39.3,40.9,403(+5),"

 
","


 
",ヘヴンリージェガー, 
2019/11/13,園田,晴,2,2歳未勝利二,"

",9,6,6,102.3,8,1,"
廣瀬航
",54,ダ1230,良,"

**

",1:22.0,0.0,"

**

",6-6-6-6,0.0-41.0,40.4,398(+1),"

 
","


 
",(グレイトボルケーノ),60.0
2019/11/01,園田,晴,2,2歳150万円以下,"

",7,5,5,19.0,5,5,"
廣瀬航
",54,ダ1400,良,"

**

",1:33.7,2.7,"

**

",7-7-7-7,0.0-38.9,40.6,397(-6),"

 
","


 
",コスモピオニール,6.4
2019/10/25,園田,曇,2,2歳未勝利,"

",11,1,1,53.4,7,6,"
廣瀬航
",54,ダ1400,不,"

**

",1:32.4,2.5,"

**

",9-9-9-8,0.0-39.7,40.3,403(-11),"

 
","


 
",ビッグベン, 
2019/09/26,門別,晴,2,2歳牝馬未勝利(未勝利),"

",12,2,2,332.4,12,6,"
馬渕繁治
",54,ダ1000,重,"

**

",1:03.0,1.4,"

**

",10-8,0.0-37.7,37.8,414(+2),"

 
","


 
",ウォールフラワー, 
2019/09/12,門別,晴,1,ホクレンSS賞(未勝利),"

",8,5,5,68.3,8,6,"
馬渕繁治
",54,ダ1000,重,"

**

",1:04.5,1.7,"

**

",7-6,0.0-37.8,38.6,412(+6),"

 
","


 
",ボーイッシュガール, 
2019/08/14,門別,曇,3,2歳未勝利(未勝利),"

",11,3,3,255.7,11,10,"
馬渕繁治
",54,ダ1200,稍,"

**

",1:18.3,2.9,"

**

",8-9,0.0-39.3,41.1,406(-4),"

 
","


 
",プロフーモ, 
2019/07/31,門別,曇,4,2歳未勝利(未勝利),"

",11,8,11,123.3,9,7,"
馬渕繁治
",54,ダ1000,良,"

**

",1:04.1,2.5,"

**

",10-8,0.0-37.7,38.2,410(+6),"

 
","


 
",ケリー, 
2019/07/03,門別,晴,1,関西出身司で賞(未勝利),"

",11,5,5, , ,取,"
馬渕繁治
",54,ダ1000,重,"

**

", , ,"

**

", ,0.0-38.3, ,計不,"

 
","


 
",クラファイン, 
2019/06/19,門別,晴,2,2歳未勝利(未勝利),"

",14,6,9,112.1,10,9,"
黒澤愛斗
",54,ダ1200,良,"

**

",1:18.2,1.9,"

**

",12-10,0.0-39.5,39.8,404(-4),"

 
","


 
",バットウタイ, 
2019/06/06,門別,曇,2,JRA認定アタックチ(未勝利),"

",10,7,9,217.3,10,10,"
小林靖幸
",54,ダ1700,稍,"

**

",2:01.4,6.2,"

**

",4-4-5-7,0.0-40.5,46.1,408(-2),"

 
","


 
",シルバーサークル, 
2019/05/21,門別,雨,2,JRA認定アタックチ(未勝利),"

",8,2,2,106.4,8,8,"
亀井洋司
",54,ダ1200,不,"

**

",1:18.1,2.8,"

**

",8-7,0.0-38.5,40.3,410(0),"

 
","


 
",ティーズダンク, 
2019/05/02,門別,雨,6,JRA認定フレッシュ(新馬),"

",9,1,1,69.4,9,8,"
亀井洋司
",54,ダ1000,稍,"

**

",1:05.1,3.3,"

**

",8-8,0.0-37.9,39.8,410(0),"

 
","


 
",スパイスワールド, 
