日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2020/07/28,大井,曇,2,3歳　70万円,"

",14,8,14,198.2,13,14,"
臼井健太
",54,ダ1200,稍,"

**

",1:24.2,9.5,"

**

",14-14,35.6-39.1,44.0,310(-5),"

 
","


 
",アシンメトリー, 
2020/06/23,大井,曇,1,3歳　60万円,"

",12,7,11,108.8,10,12,"
松崎正泰
",54,ダ1600,不,"

**

",1:56.3,11.9,"

**

",12-12-12-12,37.3-41.3,47.3,315(-2),"

 
","


 
",プレザンス, 
2020/04/06,大井,晴,2,3歳　未受賞,"

",12,5,6,356.6,12,12,"
小林拓未
",54,ダ1200,良,"

**

",1:23.0,7.3,"

**

",11-11,37.5-38.2,42.9,317(-2),"

 
","


 
",カズノマンゲツ, 
2020/02/24,大井,晴,1,3歳　30万円,"

",12,5,6,196.4,12,12,"
櫻井光輔
",53,ダ1200,良,"

**

",1:23.4,6.6,"

**

",12-12,37.1-39.7,42.4,319(-1),"

 
","


 
",クールソックス, 
2020/01/20,大井,晴,2,3歳　30万円,"

",16,7,14,282.4,14,16,"
櫻井光輔
",53,ダ1600,重,"

**

",1:55.2,10.7,"

**

",16-16-16-16,38.4-40.8,44.1,320(+2),"

 
","


 
",アレッタ, 
2019/12/26,大井,曇,2,2歳　未受賞,"

",12,6,8,265.1,12,12,"
櫻井光輔
",53,ダ1200,重,"

**

",1:22.9,6.0,"

**

",12-12,37.1-39.8,42.6,318(+3),"

 
","


 
",サワセンミラクル, 
2019/11/12,大井,晴,2,2歳　40万円,"

",13,1,1,148.3,13,13,"
櫻井光輔
",53,ダ1200,稍,"

**

",1:24.9,7.9,"

**

",13-13,36.4-40.6,44.0,315(-7),"

 
","


 
",トラビエーソ, 
2019/09/17,大井,晴,2,未受賞,"

",7,1,1,84.4,7,7,"
松崎正泰
",54,ダ1200,不,"

**

",1:26.1,9.7,"

**

",7-7,36.6-39.8,47.3,322(+6),"

 
","


 
",サブノスカイ, 
2019/07/30,大井,晴,4,2歳　45万円,"

",13,8,13,174.0,12,13,"
松崎正泰
",54,ダ1200,稍,"

**

",1:24.2,8.3,"

**

",13-13,36.1-39.8,43.8,316(0),"

 
","


 
",ムサシネイビー, 
2019/06/27,大井,曇,3,2歳　50万,"

",12,7,9,100.3,9,12,"
松崎正泰
",54,ダ1200,稍,"

**

",1:26.4,8.8,"

**

",12-12,37.2-40.4,44.2,316(+1),"

 
","


 
",フェリスウイング, 
2019/06/07,大井,雨,4,2歳　新馬(新馬),"

",11,1,1,42.8,6,11,"
松崎正泰
",54,ダ1000,良,"

**

",1:10.1,8.5,"

**

",11-11,36.5-37.6,43.3,315(0),"

 
","


 
",センターガーネット, 
