日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2019/11/06,門別,曇,1,2歳未勝利(未勝利),"

",11,5,5,831.2,10,11,"
馬渕繁治
",54,ダ1000,良,"

**

",1:07.2,4.6,"

**

",11-11,0.0-38.1,40.7,428(-10),"

 
","


 
",エランヴィタール, 
2019/10/29,門別,曇,2,2歳未勝利(未勝利),"

",11,7,9,639.3,11,11,"
小林靖幸
",54,ダ1000,良,"

**

",1:07.5,3.5,"

**

",9-11,0.0-40.1,41.3,438(0),"

 
","


 
",アカフジ, 
2019/10/22,門別,曇,1,2歳未勝利(未勝利),"

",9,2,2,690.1,9,8,"
小林靖幸
",54,ダ1000,良,"

**

",1:07.0,4.7,"

**

",7-9,0.0-38.1,41.3,438(+4),"

 
","


 
",グランギフト, 
2019/10/08,門別,雨,2,2歳未勝利(未勝利),"

",11,3,3,464.7,11,11,"
小林靖幸
",54,ダ1000,不,"

**

",1:06.7,5.2,"

**

",11-11,0.0-37.8,40.8,434(+2),"

 
","


 
",キタノコマチ, 
2019/09/24,門別,晴,1,2歳未勝利(未勝利),"

",11,4,4,331.1,10,11,"
小林靖幸
",54,ダ1000,重,"

**

",1:05.6,4.9,"

**

",10-11,0.0-36.9,39.7,432(+2),"

 
","


 
",オーシャンスカイ, 
2019/09/10,門別,晴,2,2歳未勝利(未勝利),"

",11,8,11,722.1,11,11,"
小林靖幸
",54,ダ1000,良,"

**

",1:08.0,5.2,"

**

",10-11,0.0-38.3,41.9,430(+6),"

 
","


 
",ヘヴンリージェガー, 
2019/08/20,門別,曇,1,2歳未勝利(未勝利),"

",11,8,11,312.7,11,11,"
小林靖幸
",54,ダ1000,稍,"

**

",1:07.1,5.6,"

**

",9-10,0.0-37.7,41.3,424(+2),"

 
","


 
",アイズオンユー, 
2019/08/08,門別,曇,2,2歳未勝利(未勝利),"

",12,5,6,197.2,12,12,"
小林靖幸
",54,ダ1000,良,"

**

",1:08.1,5.2,"

**

",10-10,0.0-39.1,41.5,422(-10),"

 
","


 
",リバイブ, 
2019/07/24,門別,曇,3,2歳未勝利(未勝利),"

",12,7,9,310.6,12,12,"
小林靖幸
",54,ダ1000,稍,"

**

",1:08.6,6.2,"

**

",10-12,0.0-38.4,43.3,432(+6),"

 
","


 
",パノラミック, 
2019/06/25,門別,晴,1,2歳牝馬未勝利(未勝利),"

",11,1,1,256.6,11,11,"
小林靖幸
",54,ダ1000,良,"

**

",1:09.0,7.0,"

**

",10-11,0.0-38.1,43.0,426(+12),"

 
","


 
",キタカラキタムスメ, 
2019/05/30,門別,晴,7,JRA認定アタックチ(未勝利),"

",9,2,2,32.2,5,9,"
井上俊彦
",54,ダ1000,良,"

**

",1:08.5,6.5,"

**

",8-8,0.0-37.8,42.2,414(+8),"

 
","


 
",スティールペガサス, 
2019/05/09,門別,晴,5,JRA認定フレッシュ(新馬),"

",8,3,3,42.9,7,8,"
服部茂史
",54,ダ1200,稍,"

**

",1:25.8,9.4,"

**

",7-8,0.0-39.4,47.2,406(0),"

 
","


 
",バブルガムダンサー, 
