日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/11/17,大井,晴,1,C3三,"

",13,4,5,58.2,11,5,"
吉井章
",56,ダ1200,良,"

**

",1:16.3,1.5,"

**

",5-5,36.9-37.9,39.2,491(+1),"

 
","


 
",アルマザッハーク,8.0
2021/11/03,大井,晴,1,C3三　四,"

",11,6,7,13.2,5,9,"
藤田凌
",56,ダ1600,重,"

**

",1:47.1,2.6,"

**

",2-2-2-2,37.8-41.3,43.7,490(+1),"

 
","


 
",ヤマトディオーサ, 
2021/10/05,大井,晴,2,C3三　四五,"

",13,4,4,9.2,4,11,"
吉井章
",56,ダ1400,重,"

**

",1:30.7,2.3,"

**

",4-4-6,37.2-38.7,40.6,489(-2),"

 
","


 
",フォガラ, 
2021/08/17,大井,曇,1,C3五　六,"

",12,4,4,13.4,6,9,"
吉井章
",56,ダ1600,重,"

**

",1:46.4,1.2,"

**

",8-8-8-7,37.9-42.4,42.5,491(+1),"

 
","


 
",シップレックビーチ, 
2021/08/02,大井,雨,3,C3七　八,"

",12,6,7,7.6,3,2,"
吉井章
",56,ダ1600,良,"

**

",1:45.0,0.1,"

**

",1-1-1-1,39.4-40.4,40.5,490(+2),"

 
","


 
",ララサンパティック,32.0
2021/07/13,大井,曇,6,C3六　七,"

",15,2,2,98.4,13,11,"
吉井章
",56,ダ1200,重,"

**

",1:15.5,1.4,"

**

",9-8,35.2-38.9,39.3,488(-5),"

 
","


 
",フォレストプリンス, 
2021/06/30,大井,曇,4,C3一　二,"

",14,3,3,65.3,11,11,"
吉井章
",56,ダ1200,重,"

**

",1:16.0,2.7,"

**

",10-9,35.9-37.4,38.6,493(+3),"

 
","


 
",コスモマギカ, 
2021/06/08,大井,晴,6,C3三　四五,"

",12,7,9,34.1,6,8,"
吉井章
",56,ダ1400,重,"

**

",1:30.7,1.0,"

**

",11-11-10,37.4-40.0,39.6,490(0),"

 
","


 
",ジューンソリドール, 
2021/05/20,大井,曇,5,C3一　二三,"

",16,1,2,172.5,13,7,"
吉井章
",56,ダ1200,重,"

**

",1:15.8,1.3,"

**

",8-8,35.6-38.9,39.1,490(-3),"

 
","


 
",ファーストペガサス, 
2021/04/30,大井,晴,4,C3一　二三,"

",10,4,4,51.7,9,8,"
川島正太
",56,ダ1600,重,"

**

",1:46.5,3.0,"

**

",9-9-8-8,38.1-40.0,42.1,493(0),"

 
","


 
",ポシーブレ, 
2021/04/16,大井,曇,6,C3一　二,"

",16,4,8,91.7,12,11,"
川島正太
",56,ダ1200,稍,"

**

",1:15.7,1.3,"

**

",11-9,35.8-38.6,39.0,493(+5),"

 
","


 
",ロジタイム, 
2021/03/25,大井,曇,7,C3三　四五,"

",16,6,11,56.4,10,8,"
吉井章
",56,ダ1200,稍,"

**

",1:15.9,1.0,"

**

",8-8,36.8-38.1,38.4,488(+4),"

 
","


 
",サンワラワラ, 
2021/02/19,大井,晴,2,C3一　二三,"

",14,8,13,57.1,10,13,"
矢野貴之
",56,ダ1400,稍,"

**

",1:30.9,2.8,"

**

",4-6-8,37.2-38.2,40.7,484(+3),"

 
","


 
",メッサーマイスター, 
2021/01/20,大井,晴,3,C3三　四,"

",14,2,2,45.1,10,10,"
吉原寛人
",56,ダ1600,良,"

**

",1:45.7,2.3,"

**

",4-4-6-6,38.8-39.5,41.2,481(-4),"

 
","


 
",プロミストスマイル, 
2020/08/18,大井,晴,1,3歳　220万,"

",13,7,10,2.9,1,10,"
矢野貴之
",56,ダ1600,良,"

**

",1:46.2,2.4,"

**

",9-8-6-6,39.1-39.9,41.9,485(-1),"

 
","


 
",ユーアーマイソウル, 
2020/07/07,大井,曇,1,3歳　220万,"

",9,8,10, , ,除,"
矢野貴之
",56,ダ1600,不,"

**

", , ,"

**

", ,39.8-38.8, ,481(-5),"

 
","


 
",ホウオウシーダー, 
2020/06/02,大井,曇,1,3歳　130万,"

",13,1,1,5.5,2,2,"
矢野貴之
",56,ダ1400,良,"

**

",1:29.6,0.3,"

**

",4-4-4,37.6-38.7,38.8,486(+9),"

 
","


 
",ブルベアナノ,64.0
2020/02/04,大井,曇,2,3歳　130万,"

",13,8,12,3.6,2,6,"
本橋孝太
",56,ダ1400,良,"

**

",1:32.0,1.4,"

**

",7-4-5,36.8-41.3,41.9,477(-9),"

 
","


 
",バイパーゼロ, 
2019/12/26,大井,曇,6,2歳　新馬(新馬),"

",9,3,3,2.5,2,2,"
矢野貴之
",55,ダ1200,重,"

**

",1:17.3,0.7,"

**

",5-4,37.6-39.0,39.0,486(0),"

 
","


 
",シングンポラリス,116.0
