日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/11/12,佐賀,曇,10,ほとめきナイター賞,"

",12,8,12,16.0,5,4,"
倉富隆一
",56,ダ1400,重,"

**

",1:31.4,2.6,"

**

",5-5-4-6,0.0-37.7,39.5,508(+5),"

 
","


 
",モンスタープリンス,2.7
2021/10/31,佐賀,晴,6,ほとめきナイター賞,"

",10,4,4,20.6,6,7,"
倉富隆一
",56,ダ1400,良,"

**

",1:32.4,1.4,"

**

",8-8-9-9,0.0-39.0,38.9,503(+5),"

 
","


 
",テイエムオペラッコ, 
2021/10/23,佐賀,晴,7,うまかつ.net賞,"

",11,7,8,12.7,6,1,"
倉富隆一
",56,ダ1300,良,"

**

",1:24.5,0.0,"

**

",5-4-3-3,0.0-38.1,38.0,498(-6),"

 
","


 
",(キクノキング),34.0
2021/10/10,佐賀,曇,9,初雁月賞,"

",11,3,3,12.9,6,4,"
倉富隆一
",56,ダ1400,良,"

**

",1:31.4,0.9,"

**

",4-2-3-4,0.0-39.3,39.9,504(+11),"

 
","


 
",テイエムオペラッコ,2.7
2021/09/11,佐賀,曇,8,爽秋賞,"

",11,8,11,11.4,5,2,"
倉富隆一
",56,ダ1400,良,"

**

",1:31.2,0.9,"

**

",5-6-7-4,0.0-38.7,39.0,493(-2),"

 
","


 
",トーセントルネード,10.2
2021/08/27,佐賀,晴,10,SAGAイブニング賞,"

",9,4,4,13.4,5,6,"
倉富隆一
",56,ダ1300,重,"

**

",1:24.9,1.2,"

**

",9-9-8-6,0.0-39.3,39.2,495(+1),"

 
","


 
",エイシンゴーレム, 
2021/08/07,佐賀,曇,8,うまかつ.net賞,"

",12,1,1,11.8,6,7,"
倉富隆一
",56,ダ1400,良,"

**

",1:33.6,1.6,"

**

",9-10-12-12,0.0-40.8,40.6,494(-1),"

 
","


 
",グリトニル, 
2021/07/10,佐賀,曇,5,うまかつ.net賞,"

",9,1,1,4.8,2,3,"
倉富隆一
",56,ダ1400,不,"

**

",1:32.0,0.3,"

**

",8-6-6-5,0.0-39.3,38.8,495(-7),"

 
","


 
",クラウンエンジニア,5.4
2021/06/25,佐賀,晴,7,C1ー5組,"

",10,7,8,3.5,2,2,"
倉富隆一
",56,ダ1400,良,"

**

",1:32.6,0.8,"

**

",7-7-6-4,0.0-39.3,38.8,502(-4),"

 
","


 
",ゴーンホーム,10.2
2021/06/05,佐賀,曇,8,松風月賞,"

",9,6,6,3.5,2,1,"
倉富隆一
",56,ダ1400,不,"

**

",1:31.1,-0.1,"

**

",6-6-6-6,0.0-39.6,38.7,506(+1),"

 
","


 
",(リッカロッキー),34.0
2021/05/23,佐賀,晴,6,菖蒲月賞,"

",12,1,1,4.3,2,2,"
倉富隆一
",56,ダ1400,稍,"

**

",1:32.1,0.5,"

**

",8-8-8-8,0.0-40.0,39.3,505(+3),"

 
","


 
",アイドンノー,10.2
2021/05/09,佐賀,晴,3,C2ー5組,"

",12,3,3,4.0,3,1,"
倉富隆一
",56,ダ1300,良,"

**

",1:25.5,-0.1,"

**

",5-4-3-3,0.0-39.2,38.9,502(-1),"

 
","


 
",(マロンスライム),32.0
2021/04/23,佐賀,曇,2,C2ー14組,"

",10,6,6,3.9,2,1,"
倉富隆一
",56,ダ1300,良,"

**

",1:26.7,-0.2,"

**

",3-4-3-1,0.0-40.0,39.9,503(+6),"

 
","


 
",(サクラジマテソーロ),30.0
2021/04/03,佐賀,曇,2,C2ー18組,"

",9,8,8,11.5,4,2,"
倉富隆一
",56,ダ1400,良,"

**

",1:31.4,0.1,"

**

",5-4-4-3,0.0-39.3,38.6,497(+2),"

 
","


 
",デイアフターデイ,9.0
2021/03/21,佐賀,曇,2,C2ー19組,"

",7,6,6,18.5,4,3,"
倉富隆一
",56,ダ1400,不,"

**

",1:31.7,0.8,"

**

",6-6-7-4,0.0-39.6,38.8,495(-2),"

 
","


 
",ヴィヴィアナガール,4.3
2021/03/07,佐賀,曇,2,C2ー18組,"

",10,7,7,22.9,8,5,"
倉富隆一
",56,ダ1300,重,"

**

",1:26.0,0.9,"

**

",5-6-7-7,0.0-39.0,38.7,497(+1),"

 
","


 
",カミノメグミ,1.6
2021/02/21,佐賀,晴,3,C2ー18組,"

",11,3,3,89.7,8,11,"
倉富隆一
",56,ダ1400,重,"

**

",1:34.5,3.5,"

**

",11-11-11-11,0.0-38.8,40.6,496(-3),"

 
","


 
",クラウンリシャール, 
2020/12/20,佐賀,曇,2,C2ー16組,"

",10,7,7,13.8,4,7,"
倉富隆一
",56,ダ1300,良,"

**

",1:27.1,1.1,"

**

",7-6-6-3,0.0-38.2,38.8,499(-2),"

 
","


 
",シゲルケレス, 
2020/12/06,佐賀,晴,3,C2ー16組,"

",10,6,6,8.4,4,4,"
倉富隆一
",56,ダ1300,良,"

**

",1:26.7,0.5,"

**

",10-10-9-8,0.0-40.4,38.8,501(-1),"

 
","


 
",ラストヘビー,2.2
2020/11/22,佐賀,曇,8,今日は馬型イルミネー,"

",11,4,4,24.0,4,6,"
倉富隆一
",56,ダ1400,重,"

**

",1:33.7,2.4,"

**

",11-11-11-9,0.0-40.6,39.5,502(-2),"

 
","


 
",アイヴィーサ, 
2020/11/08,佐賀,晴,3,ほとめきナイター最終,"

",9,8,10,6.3,2,5,"
倉富隆一
",56,ダ1300,良,"

**

",1:25.6,1.3,"

**

",4-4-6-3,0.0-39.1,40.2,504(+1),"

 
","


 
",カシノアンバー,1.6
2020/10/24,佐賀,晴,5,C2ー19組,"

",10,3,3,22.9,5,6,"
倉富隆一
",56,ダ1400,重,"

**

",1:31.8,3.0,"

**

",6-6-6-6,0.0-38.1,39.6,503(+2),"

 
","


 
",ミツルザビクトリー, 
2020/10/03,佐賀,晴,8,C2ー24組,"

",12,5,5,2.3,1,1,"
倉富隆一
",56,ダ1300,良,"

**

",1:25.0,-0.3,"

**

",5-4-3-1,0.0-39.3,39.2,501(+2),"

 
","


 
",(プリティアイドル),27.0
2020/09/26,佐賀,晴,1,3歳ー9組,"

",12,7,9,1.6,1,2,"
倉富隆一
",56,ダ1400,不,"

**

",1:33.7,0.9,"

**

",5-7-7-4,0.0-40.8,40.5,499(-3),"

 
","


 
",メイショウココロネ,8.1
