日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2020/12/09,園田,晴,9,C1,"

",12,7,10,15.4,7,3,"
笹田知宏
",56,ダ1400,良,"

**

",1:32.6,0.1,"

**

",11-11-10-5,0.0-40.2,39.4,434(-3),"

 
","


 
",メイショウニタボウ,9.1
2020/11/19,園田,晴,8,C2一,"

",10,3,3,15.5,4,1,"
笹田知宏
",56,ダ1400,良,"

**

",1:31.5,0.0,"

**

",7-7-7-7,0.0-39.9,39.0,437(+7),"

 
","


 
",(メイショウバイラン),50.0
2020/11/04,園田,晴,9,C2一,"

",10,8,9,20.4,7,5,"
鴨宮祥行
",56,ダ1400,稍,"

**

",1:31.1,0.3,"

**

",9-9-8-8,0.0-40.0,39.2,430(-2),"

 
","


 
",ヘーゼル,4.0
2020/10/14,園田,晴,8,C2一,"

",10,7,8,14.7,4,5,"
笹田知宏
",56,ダ1400,良,"

**

",1:34.0,1.0,"

**

",8-8-6-5,0.0-40.1,40.2,432(-3),"

 
","


 
",ノーフェイク,4.0
2020/10/02,園田,晴,9,C2一,"

",10,8,10,12.2,5,4,"
笹田知宏
",57,ダ1400,良,"

**

",1:33.2,0.8,"

**

",7-7-7-7,0.0-40.1,40.1,435(+2),"

 
","


 
",テンペスタージ,5.0
2020/09/09,園田,雨,7,C2三,"

",10,5,5,5.6,4,1,"
笹田知宏
",55,ダ1400,稍,"

**

",1:33.4,0.0,"

**

",6-6-5-4,0.0-41.2,40.3,433(+5),"

 
","


 
",(マルキーズ),32.0
2020/08/26,園田,晴,6,C3一,"

",10,1,1,3.5,3,1,"
笹田知宏
",55,ダ1400,良,"

**

",1:32.4,-0.2,"

**

",6-6-5-5,0.0-40.9,40.1,428(-5),"

 
","


 
",(ルミノール),35.0
2020/08/14,園田,晴,12,C2,"

",12,2,2,19.5,8,7,"
笹田知宏
",55,ダ1700,良,"

**

",1:57.0,1.3,"

**

",8-8-9-9,0.0-40.1,40.1,433(-3),"

 
","


 
",エイシンマゼラン, 
2020/07/30,園田,雨,12,C2,"

",12,6,7,22.2,6,9,"
大山真吾
",55,ダ1230,重,"

**

",1:19.5,0.6,"

**

",11-11-10-10,0.0-39.5,38.4,436(0),"

 
","


 
",スマートメイス, 
2020/07/09,園田,曇,12,C2,"

",12,6,7,4.8,3,3,"
大山真吾
",55,ダ1230,不,"

**

",1:20.0,0.0,"

**

",10-11-8-7,0.0-41.0,38.9,436(+5),"

 
","


 
",トゥールナージュ,7.7
