日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/09/17,川崎,曇,8,かわさきジャズキーア,"

",8,7,7,12.0,4,2,"
川島正太
",56,ダ1500,稍,"

**

",1:36.3,1.8,"

**

",6-5-5-5,30.0-38.8,39.6,451(+3),"

 
","


 
",ヴォーノ,48.0
2021/09/04,船橋,小雨,9,トマト賞,"

",10,4,4,23.6,7,6,"
川島正太
",56,ダ1600,不,"

**

",1:42.0,1.0,"

**

",7-7-9-8,37.5-38.4,38.1,448(-4),"

 
","


 
",カンバンムスメ, 
2021/08/13,船橋,雨,9,木更津賞,"

",14,5,8,21.7,7,4,"
川島正太
",56,ダ1600,重,"

**

",1:42.6,1.0,"

**

",12-12-11-7,37.6-39.0,38.7,452(-3),"

 
","


 
",ブリリアントリリー,22.5
2021/07/20,船橋,晴,8,東金賞,"

",8,2,2,7.1,5,4,"
川島正太
",56,ダ1600,良,"

**

",1:44.1,1.2,"

**

",4-4-4-5,39.1-39.2,39.9,455(+3),"

 
","


 
",アンファンドディユ,22.5
2021/06/25,船橋,曇,8,荷風賞,"

",11,6,6,22.9,6,4,"
川島正太
",56,ダ1600,良,"

**

",1:43.7,0.6,"

**

",5-5-6-5,38.2-39.0,39.2,452(+3),"

 
","


 
",ヨウチャンサア,22.5
2021/06/02,浦和,曇,8,葵月特別,"

",12,3,3,27.9,8,2,"
川島正太
",56,ダ1400,稍,"

**

",1:28.2,0.2,"

**

",9-9-8-6,36.7-38.3,37.3,449(-8),"

 
","


 
",ハーモニーヤマト,56.0
2021/04/21,川崎,晴,7,アフロディーテ賞,"

",12,5,5,20.3,7,4,"
篠谷葵
",55,ダ2000,稍,"

**

",2:13.5,1.6,"

**

",6-7-4-4,38.4-40.5,41.2,457(+2),"

 
","


 
",スウォードキング,19.5
2021/04/08,船橋,曇,10,ダイヤモンド賞,"

",14,3,3,30.5,7,6,"
篠谷葵
",54,ダ1600,良,"

**

",1:43.3,1.6,"

**

",8-7-10-8,36.5-40.1,40.1,455(+3),"

 
","


 
",ケンブリッジイーサ, 
2021/03/17,船橋,晴,9,春雷賞,"

",14,4,6,5.0,2,4,"
篠谷葵
",54,ダ1600,良,"

**

",1:44.4,1.0,"

**

",10-10-8-5,37.7-40.6,39.9,452(+1),"

 
","


 
",サンチャップリン,22.5
2021/02/26,浦和,曇,9,ふじみ野市PR大使「,"

",12,5,6,18.0,7,2,"
篠谷葵
",54,ダ1400,良,"

**

",1:29.5,0.3,"

**

",9-9-6-3,36.8-39.0,38.4,451(-1),"

 
","


 
",ファインアレス,38.5
2021/02/09,船橋,晴,6,C1二　三,"

",9,5,5,54.5,7,5,"
篠谷葵
",54.5,ダ1200,良,"

**

",1:15.9,1.3,"

**

",8-9-9,37.0-37.6,37.8,452(-10),"

 
","


 
",バイカル,12.0
2020/12/13,水沢,晴,8,B2七組,"

",8,8,8,2.0,1,2,"
村上忍
",56,ダ1600,稍,"

**

",1:45.3,0.1,"

**

",3-3-2-2,0.0-40.8,40.7,462(-4),"

 
","


 
",ピエナアルティシア,9.8
2020/12/08,水沢,曇,9,イーストスタッド特別,"

",11,6,7,2.6,2,2,"
村上忍
",56,ダ1600,稍,"

**

",1:45.0,0.2,"

**

",5-5-2-1,0.0-40.5,40.3,466(+8),"

 
","


 
",ノーブルウルフ,8.4
2020/11/23,盛岡,晴,11,社台スタリオンステー,"

",12,7,9,3.3,2,2,"
村上忍
",56,ダ1600,重,"

**

",1:39.1,0.0,"

**

",3-2,0.0-38.7,38.6,458(-5),"

 
","


 
",オーサムパッション,8.4
2020/11/08,盛岡,小雨,12,イーハトーブマイル(G),"

",10,2,2,114.3,9,7,"
坂口裕一
",56,ダ1600,重,"

**

",1:39.0,1.3,"

**

",8-8,0.0-37.4,37.6,463(+2),"

 
","


 
",セシール, 
2020/10/12,盛岡,雨,8,楽天競馬賞,"

",11,4,4,6.3,3,3,"
村上忍
",56,ダ1600,稍,"

**

",1:39.4,1.0,"

**

",7-4,0.0-37.8,37.8,461(0),"

 
","


 
",リュウグウハヤブサ,4.8
2020/09/20,盛岡,晴,10,はまぎく賞,"

",12,6,8,12.1,5,4,"
村上忍
",56,芝1700,良,"

**

",1:48.6,0.9,"

**

",9-8-6-3,0.0-36.8,37.2,461(+5),"

 
","


 
",ムーンライトリバー,15.0
