日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/10/27,門別,曇,7,3歳以上C4ー4,"

",10,6,6,218.4,10,7,"
山本咲希
",54,ダ1000,重,"

**

",1:02.1,1.3,"

**

",2-2,0.0-37.2,38.2,456(-4),"

 
","


 
",ジャグリング, 
2021/10/13,門別,晴,9,美唄産「雪蔵工房」新,"

",12,1,1,29.0,5,12,"
黒澤愛斗
",54,ダ1000,重,"

**

",1:02.8,1.8,"

**

",4-6,0.0-37.2,38.3,460(+2),"

 
","


 
",ゴールデンナイト, 
2021/09/30,門別,雨,6,3歳以上C4ー2,"

",12,6,8,342.8,11,8,"
山本咲希
",54,ダ1000,不,"

**

",1:01.9,1.6,"

**

",4-5,0.0-36.5,37.3,458(-2),"

 
","


 
",トレジャーバローズ, 
2021/09/16,門別,曇,6,3歳以上C4ー2,"

",12,3,3,231.3,10,12,"
山本咲希
",54,ダ1000,良,"

**

",1:04.4,1.3,"

**

",3-3,0.0-39.5,40.2,460(-8),"

 
","


 
",ゴールデンマリア, 
2021/09/02,門別,晴,7,3歳以上C4ー3,"

",12,5,6,187.9,7,12,"
松井伸也
",54,ダ1200,良,"

**

",1:19.5,4.8,"

**

",4-4,0.0-38.7,42.7,468(+14),"

 
","


 
",ゴスホーククレスト, 
2021/07/08,門別,曇,7,3歳以上C4ー3,"

",12,7,9,240.4,12,12,"
松井伸也
",54,ダ1700,重,"

**

",1:54.7,6.8,"

**

",8-8-7-8,0.0-39.3,44.9,454(0),"

 
","


 
",ギャラントマナー, 
2021/06/10,門別,晴,8,3歳以上C4ー3,"

",10,7,7,62.5,8,5,"
服部茂史
",54,ダ1000,良,"

**

",1:04.0,1.4,"

**

",5-7,0.0-38.2,38.7,454(-6),"

 
","


 
",ロックンハニー,2.1
2021/05/26,門別,晴,9,3歳以上C4ー3,"

",8,4,4,44.8,6,5,"
石川倭
",54,ダ1200,良,"

**

",1:16.8,0.8,"

**

",7-6,0.0-39.8,38.9,460(+4),"

 
","


 
",ドドーニサンサン,2.1
2021/05/13,門別,曇,4,3歳以上C4ー3,"

",9,8,9,233.2,9,4,"
山本咲希
",54,ダ1200,良,"

**

",1:17.4,1.6,"

**

",4-4,0.0-39.4,40.2,456(0),"

 
","


 
",スティールフェスタ,4.2
2021/04/29,門別,曇,7,3歳以上C4ー3,"

",10,5,5,69.0,6,10,"
石川倭
",54,ダ1200,良,"

**

",1:19.2,4.2,"

**

",3-4,0.0-38.6,41.9,456(+9),"

 
","


 
",ラストトレビアン, 
2021/03/20,佐賀,雨,8,パンジー賞,"

",11,5,5,10.1,5,8,"
川島拓
",54,ダ1400,重,"

**

",1:33.0,2.3,"

**

",8-8-8-8,0.0-39.7,40.2,447(+3),"

 
","


 
",グリームロータス, 
