日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/11/21,金沢,曇,7,B12,"

",9,6,6,100.2,8,9,"
田知弘久
",54,ダ1500,良,"

**

",1:39.6,2.5,"

**

",4-4-7-9,0.0-40.6,40.2,461(-2),"

 
","


 
",ヴィトラス, 
2021/11/09,金沢,雨,7,B13　特別編成,"

",10,4,4,70.7,10,9,"
田知弘久
",54,ダ1500,不,"

**

",1:38.8,3.2,"

**

",6-6-4-4,0.0-39.0,41.6,463(+1),"

 
","


 
",ウラカワノオト, 
2021/10/26,金沢,晴,8,ネット投票は楽天競馬,"

",9,1,1,223.2,8,9,"
田知弘久
",54,ダ1500,稍,"

**

",1:39.5,3.5,"

**

",3-5-6-8,0.0-37.4,40.1,462(+4),"

 
","


 
",アポロスマイル, 
2021/10/12,金沢,曇,12,楽天競馬はポイント貯,"

",9,5,5,299.3,8,6,"
田知弘久
",54,ダ1500,重,"

**

",1:37.3,1.4,"

**

",6-5-4-4,0.0-38.5,39.4,458(+2),"

 
","


 
",ハナイロコマチ, 
2021/09/28,金沢,曇,9,かっかお誕生日おめで,"

",11,6,7,147.8,9,11,"
兼子千央
",53,ダ1500,稍,"

**

",1:38.9,2.2,"

**

",3-4-6-9,0.0-37.8,39.2,456(-3),"

 
","


 
",マコトガラハッド, 
2021/09/14,金沢,曇,8,ヤングジョッキーズT,"

",10,2,2,124.8,10,6,"
角田大和
",54,ダ1500,良,"

**

",1:38.2,1.7,"

**

",2-1-1-2,0.0-39.5,41.1,459(-3),"

 
","


 
",メイジン, 
2021/08/31,金沢,曇,12,ゆびらぼ協賛岩本先生,"

",10,6,6,10.8,6,7,"
吉原寛人
",54,ダ1500,良,"

**

",1:39.5,2.8,"

**

",3-6-7-6,0.0-39.3,40.8,462(+3),"

 
","


 
",グランジャー, 
2021/06/07,名古屋,晴,6,C4組,"

",10,7,8,11.1,5,8,"
山田祥雄
",54,ダ1400,良,"

**

",1:32.9,1.8,"

**

",3-4-4,0.0-39.8,41.1,459(+4),"

 
","


 
",エルミニョンヌ, 
2021/05/21,名古屋,曇,6,C4組,"

",11,2,2,15.2,5,7,"
友森翔太
",54,ダ1400,不,"

**

",1:31.2,1.5,"

**

",7-7-5,0.0-39.2,39.7,455(-5),"

 
","


 
",アクロスティック, 
2021/05/07,名古屋,曇,5,C5組,"

",10,8,9,84.4,9,3,"
丹羽克輝
",52,ダ1400,重,"

**

",1:31.5,0.1,"

**

",5-3-2,0.0-41.0,40.6,460(-3),"

 
","


 
",ステイタス,5.8
2021/04/23,名古屋,晴,5,C5組,"

",11,8,10,40.3,7,8,"
加藤聡一
",54,ダ1400,良,"

**

",1:32.8,2.3,"

**

",4-4-6,0.0-39.2,40.8,463(+2),"

 
","


 
",ケンシ, 
2021/04/09,名古屋,晴,5,C4組,"

",11,6,6,145.2,10,7,"
宮下瞳
",52,ダ1400,良,"

**

",1:32.0,1.1,"

**

",4-4-6,0.0-39.7,40.5,461(-3),"

 
","


 
",ツールドフォース, 
