日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/10/15,川崎,晴,11,道志川特別,"

",14,7,11,10.9,6,11,"
池谷匠翔
",51,ダ1500,良,"

**

",1:36.8,1.7,"

**

",10-10-12-12,29.7-40.1,40.1,443(+2),"

 
","


 
",ゲイムスター, 
2021/09/16,川崎,晴,9,ポルックス賞,"

",13,2,2,9.7,4,6,"
町田直希
",55,ダ2000,稍,"

**

",2:15.2,1.1,"

**

",7-7-8-7,40.0-40.8,40.9,441(+9),"

 
","


 
",ミスティネイル, 
2021/08/27,川崎,晴,9,法師蝉特別,"

",14,4,6,9.2,5,5,"
町田直希
",54,ダ1500,良,"

**

",1:36.0,0.5,"

**

",9-9-9-7,28.5-40.7,40.0,432(-6),"

 
","


 
",グランギフト,24.0
2021/07/30,川崎,曇,10,三浦で「自然」と「食,"

",14,8,14,6.6,4,7,"
町田直希
",54,ダ1600,稍,"

**

",1:44.8,1.8,"

**

",6-7-6-7,36.9-40.8,41.1,438(+2),"

 
","


 
",バクハツ, 
2021/07/05,川崎,曇,10,さくらんぼ特別,"

",9,6,6,3.9,3,6,"
本橋孝太
",54,ダ1600,不,"

**

",1:45.0,0.3,"

**

",4-3-3-3,38.3-40.7,40.6,436(+5),"

 
","


 
",イデアイホマジョル, 
2021/06/14,川崎,曇,9,カペラ賞,"

",14,4,5,7.0,4,4,"
町田直希
",53,ダ2000,稍,"

**

",2:12.4,0.8,"

**

",4-4-4-4,37.0-39.9,40.2,431(-3),"

 
","


 
",ウインプラウド,40.5
2021/05/24,川崎,曇,11,開成ブルー賞,"

",13,4,6,2.9,2,2,"
町田直希
",54,ダ1600,稍,"

**

",1:43.1,0.1,"

**

",1-1-1-1,37.4-39.6,39.7,434(+2),"

 
","


 
",タイタンブレイン,96.0
2021/04/20,川崎,晴,10,穀雨特別,"

",14,4,5,9.0,3,2,"
町田直希
",54,ダ1600,稍,"

**

",1:43.8,0.4,"

**

",10-12-3-2,37.7-39.1,38.9,432(-8),"

 
","


 
",ビクトリーシューズ,96.0
2020/06/10,川崎,晴,11,関東オークス【指定交(G2),"

",14,1,1,139.3,10,13,"
水野翔
",54,ダ2100,良,"

**

",2:21.0,4.7,"

**

",9-10-12-12,29.9-39.3,42.4,440(-3),"

 
","


 
",レーヌブランシュ, 
2020/05/14,川崎,晴,11,若葉OP(OP),"

",10,3,3,8.6,4,6,"
水野翔
",52,ダ1500,良,"

**

",1:36.8,1.3,"

**

",8-8-7-5,29.8-39.6,39.9,443(+3),"

 
","


 
",スマイルウィ, 
2020/04/28,大井,曇,11,東京プリンセス賞競走(G),"

",16,8,15,56.7,9,11,"
繁田健一
",54,ダ1800,重,"

**

",1:56.8,2.4,"

**

",13-13-11-10,37.4-39.5,40.6,440(-1),"

 
","


 
",アクアリーブル, 
2020/03/25,浦和,晴,11,桜花賞(G),"

",11,8,11,72.5,7,6,"
今野忠成
",54,ダ1600,良,"

**

",1:43.2,2.0,"

**

",11-9-7-6,37.1-38.4,38.6,441(-6),"

 
","


 
",アクアリーブル, 
2019/11/19,川崎,晴,11,ローレル賞(G),"

",14,5,7,4.6,2,3,"
赤岡修次
",54,ダ1600,稍,"

**

",1:43.9,0.5,"

**

",7-7-7-7,37.4-40.2,39.6,447(+3),"

 
","


 
",ブロンディーヴァ,240.0
2019/10/22,川崎,曇,11,鎌倉記念(G),"

",11,6,6,55.3,8,3,"
今野忠成
",54,ダ1500,不,"

**

",1:36.8,0.7,"

**

",5-5-5-4,30.0-40.6,40.1,444(-3),"

 
","


 
",インペリシャブル,300.0
2019/09/04,川崎,曇,6,ラビリンス賞,"

",10,7,8,2.6,1,2,"
吉原寛人
",54,ダ1500,不,"

**

",1:40.3,0.3,"

**

",7-7-8-8,31.3-40.6,40.3,447(0),"

 
","


 
",テイクファイヴ,72.2
2019/08/06,川崎,晴,5,スパーキングデビュー,"

",9,7,7,4.0,2,1,"
赤岡修次
",54,ダ900,良,"

**

",0:54.8,-0.3,"

**

",1-1,29.6-37.5,37.5,447(0),"

 
","


 
",(フェノゴールド),270.0
