日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/11/18,大井,曇,4,C3一　二,"

",14,8,13,74.0,11,7,"
仲原大生
",55,ダ1600,良,"

**

",1:46.3,1.5,"

**

",12-12-12-12,39.1-40.5,41.1,496(-3),"

 
","


 
",マグレ, 
2021/11/05,大井,晴,2,C3一　二,"

",14,1,1,269.5,13,13,"
仲原大生
",55,ダ1200,良,"

**

",1:16.4,1.6,"

**

",13-13,36.6-38.2,38.5,499(+5),"

 
","


 
",ナイスガイラバー, 
2021/10/05,大井,晴,2,C3三　四五,"

",13,6,8,63.4,9,6,"
仲原大生
",55,ダ1400,重,"

**

",1:29.8,1.4,"

**

",12-10-10,37.2-38.7,39.1,494(0),"

 
","


 
",フォガラ, 
2021/09/21,大井,晴,6,中野大好きナカノさん,"

",12,8,12,43.9,7,9,"
仲原大生
",55,ダ1600,稍,"

**

",1:45.5,1.4,"

**

",8-9-9-10,38.5-40.7,40.9,494(+2),"

 
","


 
",ブーケブランシェ, 
2021/09/10,大井,晴,3,2019東京大賞典フ,"

",12,6,7,133.5,11,9,"
千田洋
",56,ダ1600,重,"

**

",1:47.4,4.2,"

**

",12-11-12-12,38.9-39.5,42.2,492(+7),"

 
","


 
",スウィング, 
2021/08/05,大井,晴,7,C3三　四,"

",15,1,1,74.9,12,9,"
菅原涼太
",53,ダ1200,良,"

**

",1:15.5,1.8,"

**

",11-11,35.9-37.8,38.4,485(-5),"

 
","


 
",プロスペロ, 
2021/06/29,大井,曇,9,C2十　1112,"

",11,7,9,41.9,9,11,"
西啓太
",56,ダ1200,重,"

**

",1:16.6,2.4,"

**

",8-8,35.9-38.3,39.4,490(+8),"

 
","


 
",マイネルグローバル, 
2021/05/19,大井,雨,5,C2九　十,"

",12,7,9,39.7,7,12,"
吉井章
",56,ダ1600,重,"

**

",1:46.7,3.9,"

**

",12-12-11-12,38.9-39.0,42.0,482(+3),"

 
","


 
",リュウノブルック, 
2021/04/27,大井,晴,8,C2十　1112,"

",12,7,10,73.3,9,10,"
藤本現暉
",56,ダ1400,良,"

**

",1:30.8,2.4,"

**

",9-9-8,37.5-38.7,39.8,479(+9),"

 
","


 
",レーベンレジェンダ, 
2021/04/13,大井,曇,5,C2十　11,"

",12,1,1,43.1,8,9,"
藤本現暉
",56,ダ1600,良,"

**

",1:45.0,2.1,"

**

",11-10-10-10,38.5-39.4,39.6,470(-2),"

 
","


 
",メジャーセブンス, 
2021/03/23,大井,晴,5,C2八　九十,"

",13,7,10,21.4,6,9,"
石崎駿
",56,ダ1600,重,"

**

",1:45.6,2.3,"

**

",10-10-9-9,38.7-39.6,40.6,472(0),"

 
","


 
",サッキースピネル, 
2021/03/08,大井,雨,4,C212　13,"

",14,7,11,27.8,8,3,"
石崎駿
",56,ダ1600,稍,"

**

",1:43.4,0.9,"

**

",10-8-8-6,38.0-40.0,39.8,472(-2),"

 
","


 
",ボスアンルーリー,25.0
2021/02/15,大井,雨,6,C2十　1112,"

",11,7,11,42.6,8,6,"
石崎駿
",56,ダ1600,不,"

**

",1:44.6,1.0,"

**

",3-3-3-3,37.6-41.0,41.9,474(-8),"

 
","


 
",リーガルレディ, 
2020/12/07,大井,晴,7,C211　12,"

",14,8,14,131.5,12,6,"
石崎駿
",56,ダ1600,良,"

**

",1:44.7,1.4,"

**

",10-8-7-8,37.6-40.5,41.2,482(+3),"

 
","


 
",ブラックサラディン, 
2020/11/16,大井,晴,3,C211　12,"

",14,8,13,30.8,8,11,"
石崎駿
",56,ダ1600,良,"

**

",1:46.1,1.8,"

**

",8-8-8-9,37.7-40.8,42.3,479(+6),"

 
","


 
",サクラパルジファル, 
2020/11/01,大井,曇,4,C211　12,"

",13,5,7,65.8,10,6,"
石崎駿
",56,ダ1600,良,"

**

",1:44.3,0.9,"

**

",6-7-6-5,38.5-39.9,40.2,473(+10),"

 
","


 
",ビーザチェンジ, 
2020/10/09,大井,雨,2,3歳　200万,"

",14,8,13,64.0,10,2,"
石崎駿
",56,ダ1200,不,"

**

",1:16.7,0.0,"

**

",8-6,36.0-40.7,40.0,463(-3),"

 
","


 
",カナデルサン,56.0
2020/04/30,大井,晴,2,3歳　210万,"

",14,5,7,51.3,11,11,"
左海誠二
",56,ダ1200,稍,"

**

",1:16.4,2.5,"

**

",11-11,36.1-37.8,38.2,466(+7),"

 
","


 
",カガヤキスバル, 
2020/04/08,大井,晴,2,3歳　210万,"

",16,2,3,79.6,12,9,"
左海誠二
",56,ダ1200,良,"

**

",1:17.0,1.7,"

**

",14-14,35.8-39.5,38.7,459(-13),"

 
","


 
",ヤマイチクラウン, 
2019/12/04,大井,晴,1,2歳　250万,"

",11,8,11,57.6,10,6,"
和田譲治
",55,ダ1600,重,"

**

",1:47.2,1.9,"

**

",8-8-5-5,39.0-39.9,41.8,472(+5),"

 
","


 
",ケンジン, 
2019/11/14,大井,晴,1,2歳　215万,"

",15,8,14,46.9,9,9,"
左海誠二
",55,ダ1600,良,"

**

",1:47.6,1.9,"

**

",6-5-3-4,37.4-42.6,43.7,467(-3),"

 
","


 
",リバースメルローズ, 
2019/10/17,大井,曇,1,2歳　170万,"

",10,1,1,11.9,6,3,"
左海誠二
",55,ダ1400,重,"

**

",1:31.9,0.8,"

**

",8-4-4,37.4-40.7,40.9,470(-5),"

 
","


 
",サンエイウイング,52.5
2019/10/03,大井,曇,1,2歳　160万,"

",12,6,7,6.0,3,9,"
左海誠二
",54,ダ1400,良,"

**

",1:31.8,1.6,"

**

",11-7-7,36.5-41.0,41.2,475(-5),"

 
","


 
",ボーンブレジーヌ, 
2019/08/25,大井,晴,4,2歳　新馬(新馬),"

",7,3,3,3.6,2,2,"
左海誠二
",54,ダ1600,良,"

**

",1:48.0,2.5,"

**

",5-5-5-6,38.8-40.7,42.2,480(0),"

 
","


 
",チェリーブリーズ,116.0
