日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/11/08,川崎,雨,10,ナナイロひだか記念,"

",13,4,5,12.1,5,1,"
本橋孝太
",55,ダ2000,良,"

**

",2:11.5,-0.1,"

**

",1-1-1-1,38.3-41.2,41.2,458(0),"

 
","


 
",(グレイトムーン),270.0
2021/10/12,川崎,曇,9,連続Webドラマ「移,"

",10,7,8,4.4,2,2,"
本橋孝太
",55,ダ2000,良,"

**

",2:13.9,1.3,"

**

",2-2-2-2,39.9-38.9,40.0,458(-1),"

 
","


 
",ジュウワンマックス,108.0
2021/09/03,船橋,雨,11,十倉特別,"

",11,7,8,14.6,5,9,"
本橋孝太
",55,ダ1600,不,"

**

",1:43.8,3.9,"

**

",1-1-1-5,36.0-38.5,42.4,459(+4),"

 
","


 
",ラブオブマイライフ, 
2021/08/11,船橋,晴,12,ヤマユリ2200,"

",12,6,8,5.9,4,1,"
本橋孝太
",55,ダ2200,稍,"

**

",2:26.0,-0.8,"

**

",2-2-1-1,39.1-39.9,39.9,455(+10),"

 
","


 
",(ビッグバジェット),240.0
2021/07/19,船橋,晴,12,スパイラルカーブ22,"

",10,6,6,8.9,5,4,"
山中悠希
",53,ダ2200,良,"

**

",2:25.5,0.2,"

**

",1-1-1-1,38.8-40.9,41.1,445(+2),"

 
","


 
",ヒルノバーゼル,40.5
2021/03/17,船橋,晴,12,三つ葉のクローバー2,"

",10,5,5,4.5,3,3,"
山崎誠士
",53,ダ2200,良,"

**

",2:25.6,0.9,"

**

",1-1-1-1,38.7-41.4,42.3,443(-4),"

 
","


 
",ヒルノバーゼル,67.5
2021/02/10,船橋,曇,12,春告鳥2200,"

",9,4,4,7.0,4,5,"
岡村健司
",55.5,ダ2200,良,"

**

",2:26.6,0.3,"

**

",2-2-2-1,40.3-40.3,40.6,447(-1),"

 
","


 
",トーセンブレイヴ,24.0
2021/01/14,船橋,晴,12,ロングアンドワインデ,"

",11,7,8,7.3,5,3,"
岡村健司
",53.5,ダ2200,良,"

**

",2:26.3,0.7,"

**

",2-2-2-2,39.2-41.3,41.7,448(0),"

 
","


 
",エニークラップス,67.5
2020/12/28,大井,晴,10,KRAトロフィー競走,"

",16,3,5,22.6,5,5,"
岡村健司
",54,ダ1400,良,"

**

",1:28.8,1.1,"

**

",4-3-4,37.2-37.9,38.7,448(-11),"

 
","


 
",ブラックアロー,30.0
2020/12/02,船橋,雨,12,グレイトフル2200,"

",12,5,6,15.0,6,2,"
岡村健司
",55,ダ2200,稍,"

**

",2:26.0,0.1,"

**

",1-1-1-1,38.8-40.6,40.7,459(+9),"

 
","


 
",セークレートゥム,96.0
2020/10/30,船橋,曇,8,C1二,"

",12,4,4,13.8,6,1,"
岡村健司
",54,ダ1600,良,"

**

",1:44.0,0.0,"

**

",1-1-1-1,37.6-40.9,40.9,450(+8),"

 
","


 
",(ギエムボレロ),150.0
2020/10/01,船橋,晴,10,C1　選抜牝馬,"

",12,8,11,9.8,3,6,"
岡村健司
",53,ダ1500,稍,"

**

",1:36.9,1.1,"

**

",2-2-2-2,30.4-40.1,41.1,442(+5),"

 
","


 
",ヴィアグローリアス, 
2020/09/17,川崎,曇,12,風船葛賞,"

",14,4,6,9.5,4,8,"
岡村健司
",53,ダ1600,稍,"

**

",1:44.8,1.8,"

**

",3-3-3-5,37.1-40.1,41.5,437(-3),"

 
","


 
",ウィズネイチャー, 
2020/06/15,船橋,曇,10,船橋競馬場クリーン大,"

",10,4,4,37.9,9,3,"
岡村健司
",52,ダ1600,重,"

**

",1:43.3,0.3,"

**

",2-2-2-3,37.6-40.1,40.3,440(0),"

 
","


 
",アキロック,60.0
2020/05/08,船橋,晴,4,ハートビートエレガン,"

",6,1,1,85.7,6,2,"
山崎誠士
",54,ダ1500,稍,"

**

",1:37.0,0.2,"

**

",2-2-2-2,31.7-40.0,39.7,440(+9),"

 
","


 
",ノラ,80.0
2020/04/20,浦和,雨,6,若葉特別,"

",11,2,2,25.0,8,10,"
張田昂
",54,ダ1500,不,"

**

",1:41.0,4.5,"

**

",7-7-10-11,30.1-40.9,43.2,431(-17),"

 
","


 
",モリデンスター, 
2020/04/01,船橋,雨,9,ナイスハルター特別,"

",10,3,3,8.7,4,5,"
張田昂
",54,ダ1600,不,"

**

",1:46.0,1.1,"

**

",1-1-1-3,38.4-40.1,41.2,448(+7),"

 
","


 
",タイセイプルミエ,25.0
2020/03/04,川崎,曇,7,マーチフラワー賞,"

",14,3,3,15.0,5,8,"
張田昂
",54,ダ1500,稍,"

**

",1:37.6,2.0,"

**

",2-2-3-6,29.7-39.7,41.7,441(-3),"

 
","


 
",スリーグランド, 
2020/02/11,船橋,晴,9,ハートビート・プリン,"

",8,3,3,38.1,7,7,"
吉原寛人
",54.5,ダ1500,良,"

**

",1:38.9,2.3,"

**

",7-7-8-8,31.5-39.6,40.7,444(+4),"

 
","


 
",ルシーニュ, 
2019/11/20,川崎,晴,9,川崎若駒OP(OP),"

",9,6,6,23.9,6,4,"
山崎誠士
",54,ダ1600,良,"

**

",1:45.0,0.6,"

**

",2-2-2-1,37.8-40.2,40.6,440(0),"

 
","


 
",イッキカセイ,52.5
2019/10/24,川崎,曇,5,ニュージェネレーショ,"

",9,8,8,20.7,5,4,"
山崎誠士
",54,ダ1500,重,"

**

",1:39.6,2.0,"

**

",2-2-2-4,30.0-40.7,42.5,440(0),"

 
","


 
",ゴールドビルダー,45.0
2019/09/25,船橋,晴,8,ハートビートヴィーナ,"

",12,7,10,10.5,5,11,"
山崎誠士
",54,ダ1500,稍,"

**

",1:40.2,2.9,"

**

",3-2-3-4,31.6-40.9,43.2,440(+9),"

 
","


 
",ノラ, 
2019/09/03,川崎,曇,1,2歳3,"

",12,5,6,4.8,4,1,"
山崎誠士
",54,ダ1400,稍,"

**

",1:32.5,0.0,"

**

",2-2-2-1,39.2-41.0,41.0,431(-6),"

 
","


 
",(ミニャルディーズ),150.0
2019/08/10,船橋,晴,6,成婚率55%超×婚活,"

",9,5,5,11.5,6,1,"
山崎誠士
",54,ダ1200,良,"

**

",1:17.2,-0.5,"

**

",2-2-2,36.6-40.6,40.4,437(+13),"

 
","


 
",(ポイントコレクター),150.0
2019/07/17,船橋,晴,4,リアトリスデビュー,"

",9,2,2,18.9,5,6,"
山崎誠士
",54,ダ1000,不,"

**

",1:05.0,3.7,"

**

",7-7,35.1-38.0,40.2,424(0),"

 
","


 
",ゴールドビルダー, 
