日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/11/14,盛岡,曇,9,B1四組,"

",11,8,10,2.7,1,3,"
鈴木祐
",54,ダ1600,重,"

**

",1:40.8,0.2,"

**

",5-4,0.0-39.8,38.8,467(+1),"

 
","


 
",エイシンマエストロ,11.0
2021/10/18,盛岡,曇,11,夢・希望未来へ前進,"

",10,8,9,7.6,6,1,"
鈴木祐
",54,ダ1600,重,"

**

",1:40.5,-0.2,"

**

",6-4,0.0-39.9,39.5,466(-6),"

 
","


 
",(ストロベリーキング),45.0
2021/10/04,盛岡,晴,8,B2一組,"

",11,7,9,5.9,3,5,"
鈴木祐
",54,ダ1800,良,"

**

",1:58.3,2.5,"

**

",10-10-9-8,0.0-38.0,39.2,472(+1),"

 
","


 
",シェイドオヴペイル,2.3
2021/09/21,盛岡,晴,9,B2二組,"

",10,2,2,5.8,4,2,"
阿部英俊
",54,ダ1600,良,"

**

",1:42.3,0.2,"

**

",8-5,0.0-41.0,39.5,471(+4),"

 
","


 
",ミューズ,15.8
2021/08/29,盛岡,晴,11,ペリドット賞,"

",10,8,10,5.8,4,3,"
鈴木祐
",54,ダ1600,重,"

**

",1:41.2,0.6,"

**

",7-7,0.0-38.0,37.8,467(0),"

 
","


 
",サンエイプリンス,7.0
2021/08/17,盛岡,曇,10,C1一組,"

",12,7,9,11.6,4,1,"
鈴木祐
",54,ダ1600,重,"

**

",1:41.6,-0.2,"

**

",5-2,0.0-39.7,39.2,467(-1),"

 
","


 
",(ミューズ),35.0
2021/08/03,盛岡,晴,4,C2二組,"

",8,7,7,4.0,2,1,"
鈴木祐
",54,ダ1400,良,"

**

",1:30.2,-0.6,"

**

",5-4,0.0-37.8,37.1,468(+4),"

 
","


 
",(ボンヌシャンス),27.0
2021/07/20,盛岡,晴,5,ムリファイン賞,"

",11,4,4,9.7,6,5,"
鈴木祐
",54,ダ1400,良,"

**

",1:30.0,0.5,"

**

",11-10,0.0-39.5,38.6,464(-1),"

 
","


 
",フォワードプッシュ,1.4
2021/07/13,盛岡,雨,4,C2二組,"

",8,2,2,6.9,4,3,"
鈴木祐
",54,ダ1400,不,"

**

",1:27.6,0.4,"

**

",6-2,0.0-37.4,37.0,465(+2),"

 
","


 
",エリーズタイフーン,5.4
2021/07/04,盛岡,曇,8,C1四組,"

",11,8,10,13.8,4,6,"
鈴木祐
",54,ダ1400,良,"

**

",1:31.2,0.9,"

**

",5-7,0.0-39.9,40.1,463(+3),"

 
","


 
",ザイオン, 
2021/06/22,水沢,曇,9,C1四組,"

",11,5,5,14.6,8,6,"
菅原辰徳
",54,ダ1600,良,"

**

",1:47.5,0.8,"

**

",10-10-8-9,0.0-39.8,39.5,460(-5),"

 
","


 
",チャンチキ, 
2021/06/06,水沢,晴,9,C1二組,"

",10,2,2,16.6,6,8,"
岩本怜
",54,ダ1600,良,"

**

",1:45.6,1.0,"

**

",4-4-6-8,0.0-40.9,41.4,465(+4),"

 
","


 
",ベルモントナイト, 
2021/05/25,水沢,晴,11,奥州湖賞,"

",10,2,2,6.1,3,6,"
鈴木祐
",54,ダ1600,良,"

**

",1:45.1,1.6,"

**

",5-6-5-7,0.0-41.2,41.2,461(+1),"

 
","


 
",タニオブスカイ, 
2021/05/09,水沢,晴,10,シベリアンアイリス賞,"

",9,7,7,13.6,5,3,"
鈴木祐
",54,ダ1600,良,"

**

",1:46.3,0.0,"

**

",6-7-3-2,0.0-42.4,41.8,460(+4),"

 
","


 
",ロストマン,7.0
2021/04/26,水沢,晴,10,マグオート賞,"

",12,7,10,10.1,5,6,"
高橋悠里
",54,ダ1600,良,"

**

",1:48.6,1.6,"

**

",7-9-8-6,0.0-40.8,41.2,456(+4),"

 
","


 
",ゴチソウサン, 
2021/04/12,水沢,晴,10,オレンジプリンセス賞,"

",9,2,2,19.5,7,5,"
高橋悠里
",54,ダ1600,良,"

**

",1:47.6,0.5,"

**

",7-7-6-5,0.0-40.8,39.9,452(+1),"

 
","


 
",シルバーウェーブ,1.8
2021/03/29,水沢,晴,10,アリエス賞,"

",11,8,11,34.0,8,6,"
高橋悠里
",54,ダ1600,重,"

**

",1:44.3,1.3,"

**

",8-8-6-7,0.0-39.5,39.4,451(+2),"

 
","


 
",エイシンニトロ, 
2021/03/15,水沢,晴,11,C1一組,"

",10,7,8,4.1,2,3,"
鈴木祐
",54,ダ1600,重,"

**

",1:43.6,1.0,"

**

",6-6-5-6,0.0-38.9,38.8,449(-4),"

 
","


 
",シュバリエサージュ,7.0
2021/01/02,水沢,晴,9,B2四組,"

",8,5,5,3.5,2,1,"
鈴木祐
",54,ダ1600,不,"

**

",1:44.2,-0.3,"

**

",3-3-2-1,0.0-38.9,38.7,453(-6),"

 
","


 
",(フローラルティアラ),35.0
2020/12/26,水沢,雪,7,B2四組,"

",12,3,3,10.0,5,4,"
鈴木祐
",54,ダ1600,不,"

**

",1:42.9,0.6,"

**

",10-10-8-5,0.0-38.7,38.5,459(+3),"

 
","


 
",ボーンインメイ,3.5
2020/12/15,水沢, ,7,B2五組,"

",0,3,3, , ,,"
鈴木祐
",54,ダ1600,,"


 
", , ,"


 
", , , ,計不,"

 
","


 
", , 
2020/12/01,水沢,曇,7,B2六組,"

",6,4,4,8.0,3,2,"
鈴木祐
",54,ダ1600,稍,"

**

",1:45.0,0.4,"

**

",6-6-3-3,0.0-39.5,39.4,456(+5),"

 
","


 
",アポロラスベガス,9.8
2020/11/24,盛岡,曇,11,ビッグレッドファーム,"

",10,5,5,26.0,5,5,"
鈴木祐
",54,ダ1600,稍,"

**

",1:40.4,0.8,"

**

",8-8,0.0-37.1,36.9,451(-4),"

 
","


 
",ナムラバンザイ,1.8
2020/11/09,盛岡,曇,11,C1一組,"

",11,8,10,3.7,2,8,"
山本聡哉
",54,ダ1600,稍,"

**

",1:42.5,1.3,"

**

",8-10,0.0-40.5,41.2,455(-3),"

 
","


 
",カガスター, 
