日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2020/12/09,名古屋,晴,1,C19組,"

",10,2,2,121.0,9,8,"
大畑雅章
",54,ダ1400,良,"

**

",1:35.0,1.4,"

**

",6-6-9,0.0-40.9,41.6,394(-2),"

 
","


 
",ファルコンフィート, 
2020/11/24,名古屋,晴,3,C25組,"

",11,8,11,42.4,5,5,"
丸野勝虎
",54,ダ1400,良,"

**

",1:35.7,1.6,"

**

",3-3-5,0.0-40.4,41.5,396(+1),"

 
","


 
",オプティマス,2.4
2020/11/09,名古屋,晴,3,C25組,"

",11,2,2,29.3,7,7,"
丸野勝虎
",54,ダ1400,良,"

**

",1:36.1,1.4,"

**

",5-5-6,0.0-41.4,42.2,395(-5),"

 
","


 
",ナムラリベンジ, 
2020/10/28,名古屋,晴,5,C20組,"

",10,7,7,374.6,10,7,"
丹羽克輝
",54,ダ1400,良,"

**

",1:34.5,2.5,"

**

",3-3-7,0.0-39.8,42.0,400(+2),"

 
","


 
",キラビヤカ, 
2020/10/12,名古屋,晴,6,智也&桃子祝・結婚式,"

",11,4,4,97.4,8,5,"
丸野勝虎
",54,ダ1400,重,"

**

",1:34.5,0.6,"

**

",9-8-8,0.0-41.8,41.0,398(+4),"

 
","


 
",サンライズスマイル,2.4
2020/09/30,名古屋,晴,2,名古屋モーニングフィ,"

",10,4,4,253.1,10,7,"
丸野勝虎
",54,ダ1400,良,"

**

",1:34.3,3.3,"

**

",9-9-8,0.0-40.0,41.3,394(+1),"

 
","


 
",ギンジ, 
2020/09/16,名古屋,曇,1,名古屋モーニングフィ,"

",9,6,6,111.3,8,6,"
丸野勝虎
",54,ダ1400,良,"

**

",1:33.7,1.5,"

**

",8-7-5,0.0-39.6,40.2,393(+3),"

 
","


 
",ウルスラ, 
2020/09/02,名古屋,晴,3,3歳6組,"

",9,1,1,92.7,8,6,"
今井貴大
",54,ダ1400,重,"

**

",1:36.7,3.1,"

**

",8-8-8,0.0-40.9,42.7,390(+2),"

 
","


 
",クリスタルムーヴ, 
2020/08/18,名古屋,晴,1,名古屋モーニングフィ,"

",9,8,8,39.3,7,7,"
今井貴大
",54,ダ1400,良,"

**

",1:35.6,2.3,"

**

",5-5-7,0.0-42.4,43.8,388(0),"

 
","


 
",ファイナルアフェア, 
2020/08/05,名古屋,晴,3,3歳6組,"

",9,6,6,102.0,8,5,"
渡辺竜也
",54,ダ1400,良,"

**

",1:34.6,3.1,"

**

",7-7-7,0.0-40.2,41.7,388(-1),"

 
","


 
",セブンミラクル,2.6
2020/07/23,名古屋,曇,3,3歳6組,"

",12,3,3,221.1,11,7,"
深澤杏花
",50,ダ1400,重,"

**

",1:34.4,3.0,"

**

",12-10-9,0.0-40.2,41.1,389(+4),"

 
","


 
",キタノアティクス, 
2020/07/09,名古屋,雨,4,3歳6組,"

",12,7,9,36.8,7,10,"
深澤杏花
",50,ダ1400,不,"

**

",1:34.4,2.5,"

**

",10-10-11,0.0-40.1,41.0,385(+1),"

 
","


 
",エルヴィラブレイン, 
2020/06/15,笠松,晴,6,サラ系3歳5組,"

",9,6,6,127.5,8,5,"
山下雅之
",54,ダ1400,良,"

**

",1:31.4,0.7,"

**

",9-9-8,0.0-40.9,39.1,384(+2),"

 
","


 
",エイシンアルゴス,1.5
2020/06/03,笠松,晴,7,サラ系3歳4組,"

",10,7,8,188.2,9,7,"
山下雅之
",54,ダ1400,良,"

**

",1:32.6,2.7,"

**

",8-10-10,0.0-38.9,39.4,382(+7),"

 
","


 
",トーセンシュバリエ, 
2020/05/07,笠松,晴,4,サラ系3歳3組,"

",8,5,5,40.1,7,7,"
山下雅之
",54,ダ1400,良,"

**

",1:32.2,1.2,"

**

",7-7-7,0.0-40.3,39.5,375(-1),"

 
","


 
",サノレオン, 
2020/04/02,笠松,晴,6,サラ系3歳2組特選,"

",10,7,7,120.5,9,7,"
山下雅之
",54,ダ1400,重,"

**

",1:31.5,1.3,"

**

",10-10-10,0.0-40.4,39.4,376(-1),"

 
","


 
",ミドゥス, 
2020/03/17,笠松,晴,3,サラ系3歳3組,"

",8,3,3,77.2,7,7,"
山下雅之
",54,ダ1400,稍,"

**

",1:30.9,1.2,"

**

",6-7-7,0.0-38.9,39.2,377(-3),"

 
","


 
",ホウオウシーダー, 
2020/03/04,笠松,雨,6,サラ系3歳3組,"

",9,5,5,168.3,9,4,"
大塚研司
",54,ダ1400,良,"

**

",1:30.9,1.5,"

**

",9-8-8,0.0-38.9,38.8,380(-4),"

 
","


 
",アンコールゲラン,2.1
2020/02/20,笠松,曇,6,サラ系3歳2組特選,"

",9,8,9,124.1,9,9,"
山下雅之
",54,ダ1400,良,"

**

",1:30.6,1.2,"

**

",9-9-9,0.0-40.0,39.2,384(-3),"

 
","


 
",チェリーヒック, 
2020/02/05,笠松,晴,1,サラ系3歳3組,"

",9,3,3,64.4,8,7,"
山下雅之
",54,ダ1400,良,"

**

",1:30.1,1.3,"

**

",8-8-8,0.0-39.4,38.6,387(+1),"

 
","


 
",タッチウェーブ, 
2020/01/23,笠松,雨,7,サラ系3歳2組特選,"

",8,6,6,26.6,5,7,"
山下雅之
",54,ダ1400,不,"

**

",1:30.3,2.5,"

**

",7-8-8,0.0-37.7,37.9,386(-3),"

 
","


 
",ムキズ, 
2020/01/08,笠松,晴,7,若竹賞,"

",7,7,7,35.3,7,6,"
山下雅之
",54,ダ1400,重,"

**

",1:32.2,1.9,"

**

",7-5-6,0.0-39.2,40.9,389(0),"

 
","


 
",ツェレトナー, 
2019/12/30,笠松,雨,1,サラ系2歳3組,"

",9,1,1,12.5,4,5,"
山下雅之
",54,ダ1400,不,"

**

",1:30.2,0.9,"

**

",7-8-8,0.0-39.1,38.3,389(+2),"

 
","


 
",マルヨシズト,2.0
2019/12/05,笠松,晴,10,寒椿賞,"

",8,7,7,5.3,4,8,"
山下雅之
",54,ダ1400,良,"

**

",1:31.2,2.0,"

**

",7-8-8,0.0-39.7,38.6,387(-3),"

 
","


 
",ローズレイジング, 
