日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2020/08/16,佐賀,晴,9,ロータスクラウン賞(G),"

",12,8,12,10.8,3,5,"
山口勲
",54,ダ2000,良,"

**

",2:12.9,1.0,"

**

",2-2-2-3,0.0-41.0,42.0,431(-8),"

 
","


 
",マイネルヘルツアス,12.6
2020/06/27,佐賀,曇,8,開聞岳賞,"

",11,4,4,26.3,7,1,"
倉富隆一
",54,ダ1400,不,"

**

",1:28.7,-0.1,"

**

",5-6-6-3,0.0-38.8,37.6,439(+4),"

 
","


 
",(ショーシンイ),80.0
2020/05/31,佐賀,曇,10,九州ダービー栄城賞(G),"

",12,5,6,44.0,5,11,"
倉富隆一
",54,ダ2000,良,"

**

",2:16.4,5.7,"

**

",8-9-10-10,0.0-40.0,43.5,435(-1),"

 
","


 
",トップレベル, 
2020/05/03,佐賀,雨,11,カーネーション特別,"

",11,7,8,4.2,3,8,"
出水拓人
",54,ダ1400,不,"

**

",1:30.6,1.7,"

**

",5-6-9-9,0.0-38.6,38.7,436(+2),"

 
","


 
",コスモハーキュリー, 
2019/11/24,佐賀,晴,12,JRA認定カペラ賞(G),"

",10,7,7,1.3,1,1,"
山口勲
",54,ダ1800,稍,"

**

",1:58.1,-0.8,"

**

",3-4-3-1,0.0-38.1,37.9,434(-6),"

 
","


 
",(スターオブグリーン),300.0
2019/11/03,佐賀,曇,9,ファンタジアC,"

",10,7,8,1.1,1,1,"
山口勲
",54,ダ1400,良,"

**

",1:29.1,-0.6,"

**

",1-1-1-1,0.0-37.7,37.7,440(+5),"

 
","


 
",(トーセンザゲーム),36.0
2019/10/13,佐賀,晴,10,ホープフルC,"

",11,2,2,4.6,2,1,"
山口勲
",54,ダ1400,良,"

**

",1:29.9,-1.5,"

**

",1-1-1-1,0.0-37.8,37.8,435(+9),"

 
","


 
",(トーセンザゲーム),39.0
2019/08/29,門別,曇,5,2歳3組,"

",8,8,8,5.0,3,3,"
松井伸也
",54,ダ1000,重,"

**

",1:01.2,0.6,"

**

",2-2,0.0-36.9,37.3,426(+2),"

 
","


 
",フロイデプリマ,9.0
2019/08/08,門別,曇,2,2歳未勝利(未勝利),"

",12,2,2,1.5,1,1,"
松井伸也
",54,ダ1000,良,"

**

",1:02.9,-0.6,"

**

",4-5,0.0-39.1,38.7,424(-6),"

 
","


 
",(クラキャノン),50.0
2019/07/25,門別,曇,6,JRA認定アタックチ(未勝利),"

",8,2,2,52.6,6,3,"
松井伸也
",54,ダ1000,良,"

**

",1:01.7,1.3,"

**

",1-2,0.0-36.6,37.9,430(-4),"

 
","


 
",リアリティワード,12.0
2019/07/10,門別,曇,5,JRA認定フレッシュ(新馬),"

",7,5,5,7.7,4,2,"
松井伸也
",54,ダ1000,良,"

**

",1:03.1,0.4,"

**

",1-1,0.0-38.5,38.9,434(0),"

 
","


 
",エイシンタンチョウ,30.0
