日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/11/19,名古屋,晴,2,C7組,"

",10,3,3,34.9,5,9,"
丸野勝虎
",56,ダ1400,良,"

**

",1:34.5,2.1,"

**

",2-2-4,0.0-40.7,42.6,527(+18),"

 
","


 
",タニマサベーカ, 
2021/07/23,名古屋,晴,9,B7組,"

",9,8,9,8.7,5,6,"
村上弘樹
",56,ダ1600,良,"

**

",1:46.9,2.8,"

**

",4-4-3,0.0-40.0,41.4,509(0),"

 
","


 
",キングズジェム, 
2021/07/12,名古屋,雨,9,B7組,"

",9,7,7,6.6,4,9,"
今井貴大
",56,ダ1600,稍,"

**

",1:47.9,4.0,"

**

",2-2-4,0.0-39.3,43.1,509(0),"

 
","


 
",プリンセスダズリン, 
2021/07/02,名古屋,雨,12,煮え渕ポットホール特,"

",10,3,3,7.1,3,5,"
村上弘樹
",56,ダ1600,不,"

**

",1:45.4,1.3,"

**

",4-3-3,0.0-38.7,39.7,509(0),"

 
","


 
",シンティエンディー,3.6
2021/06/18,名古屋,曇,7,C2組,"

",10,8,9,7.6,4,3,"
村上弘樹
",56,ダ1400,重,"

**

",1:31.4,1.2,"

**

",1-1-2,0.0-38.6,39.8,509(+2),"

 
","


 
",トーセンタイミング,5.8
2021/06/07,名古屋,晴,7,C3組,"

",11,7,9,7.2,4,5,"
岡部誠
",56,ダ1400,良,"

**

",1:32.0,2.0,"

**

",2-2-2,0.0-38.7,40.5,507(+4),"

 
","


 
",ビックバレリーナ,2.6
2021/05/21,名古屋,雨,12,羽豆岬特別,"

",11,6,7,20.9,7,7,"
岡部誠
",56,ダ1400,不,"

**

",1:30.6,2.1,"

**

",6-6-7,0.0-37.1,38.3,503(-4),"

 
","


 
",ツェレトナー, 
2021/05/05,名古屋,雨,9,C7組,"

",11,8,11,1.3,1,1,"
岡部誠
",56,ダ1400,重,"

**

",1:31.8,0.0,"

**

",2-2-1,0.0-40.4,40.3,507(+3),"

 
","


 
",(タカノオージャ),32.0
2021/04/23,名古屋,晴,12,犬山城特別,"

",12,8,11,5.1,3,8,"
岡部誠
",56,ダ1400,良,"

**

",1:32.6,2.3,"

**

",2-2-3,0.0-38.0,40.2,504(+6),"

 
","


 
",ビオロンスコッツ, 
2021/04/08,名古屋,晴,4,C12組,"

",11,2,2,1.7,1,1,"
岡部誠
",56,ダ1400,稍,"

**

",1:30.6,-1.5,"

**

",1-1-1,0.0-39.2,39.2,498(+7),"

 
","


 
",(シンゼンビクトリー),32.0
2021/03/26,名古屋,晴,10,伊良湖岬特別,"

",12,5,5,4.0,3,5,"
岡部誠
",56,ダ1600,良,"

**

",1:46.1,1.1,"

**

",2-2-4,0.0-41.0,42.1,491(-4),"

 
","


 
",チビノヴィヴィアン,3.0
2021/03/09,名古屋,曇,5,C19組,"

",10,8,11,1.2,1,1,"
岡部誠
",56,ダ1400,重,"

**

",1:31.7,-1.8,"

**

",1-1-1,0.0-39.2,39.2,495(-4),"

 
","


 
",(アップコマンダー),30.0
2021/01/20,笠松, ,1,サラ系C13・16組,"

",0,6,6, , ,,"
渡辺竜也
",56,ダ1400,,"


 
", , ,"


 
", , , ,計不,"

 
","


 
", , 
2021/01/07,笠松,曇,3,シャクレマシンガン長,"

",10,7,8,5.0,2,3,"
水野翔
",56,ダ1400,良,"

**

",1:30.9,1.3,"

**

",2-2-2,0.0-39.1,39.8,499(-2),"

 
","


 
",タマモケトル,4.1
2020/12/29,笠松,曇,10,仕事納め特別,"

",9,5,5,22.2,6,3,"
水野翔
",56,ダ1600,良,"

**

",1:44.7,1.2,"

**

",4-2-3,0.0-38.3,39.3,501(+9),"

 
","


 
",ヒルノパルマ,3.0
2020/12/16,笠松,曇,2,サラ系C24組,"

",8,6,6,1.2,1,1,"
水野翔
",56,ダ1400,良,"

**

",1:30.4,0.0,"

**

",7-2-1,0.0-38.8,38.5,492(-2),"

 
","


 
",(ナリノレッドスター),24.0
2020/12/01,笠松,晴,3,サラ系C23組,"

",7,1,1,2.9,2,2,"
水野翔
",56,ダ1400,良,"

**

",1:30.5,0.6,"

**

",4-3-2,0.0-38.3,38.5,494(-5),"

 
","


 
",ベルブション,5.6
2020/11/16,笠松,晴,8,サラ系C23組,"

",11,5,5,28.4,4,2,"
水野翔
",56,ダ1400,良,"

**

",1:30.5,0.0,"

**

",2-2-1,0.0-40.8,40.6,499(-7),"

 
","


 
",ロナウド,5.6
2020/11/02,笠松,雨,8,サラ系C24組,"

",10,7,8,9.4,2,5,"
水野翔
",56,ダ1400,良,"

**

",1:31.6,1.4,"

**

",8-7-7,0.0-39.3,39.2,506(+5),"

 
","


 
",ブルベアエーカー,1.2
2020/09/25,笠松,雨,1,サラ系3歳15組,"

",10,7,7,2.3,1,1,"
水野翔
",56,ダ800,稍,"

**

",0:48.9,-0.7,"

**

",1,0.0-36.2,36.2,501(-7),"

 
","


 
",(プラネットルージュ),29.0
2020/09/11,笠松,晴,2,サラ系3歳9組,"

",9,6,6,7.4,4,7,"
村上弘樹
",56,ダ1400,重,"

**

",1:34.0,4.7,"

**

",5-5-5,0.0-39.5,42.6,508(+10),"

 
","


 
",ディープブルーム, 
2020/08/12,佐賀,曇,6,JRA交流サマーカッ,"

",11,2,2,20.7,7,10,"
小崎綾也
",56,ダ1400,重,"

**

",1:32.3,3.7,"

**

",8-8-9-9,0.0-38.2,40.3,498(-6),"

 
","


 
",ヴィクトリオーソ, 
2020/06/07,3阪神2,晴,4,3歳未勝利,"

",16,3,6,91.2,12,8,"
小崎綾也
",56,ダ1400,良,"

**

",1:28.0,1.8,"

**

",11-10,35.3-38.9,39.0,504(+6),"

","



",グレアミラージュ, 
2020/04/11,2阪神5,晴,2,3歳未勝利,"

",16,8,15,51.9,12,14,"
岩田康誠
",56,ダ1800,良,"

**

",2:01.2,6.8,"

**

",7-6-5-8,36.9-39.6,45.6,498(0),"

","


 
",アンコールプレス, 
