日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/10/10,佐賀,曇,4,C2ー4組,"

",9,3,3,5.2,3,3,"
倉富隆一
",54,ダ1300,良,"

**

",1:25.8,0.6,"

**

",3-3-5-4,0.0-38.6,38.8,408(+5),"

 
","


 
",リンラン,5.1
2021/09/25,佐賀,晴,4,いわし雲賞,"

",9,5,5,24.1,5,4,"
倉富隆一
",54,ダ1400,良,"

**

",1:32.0,0.6,"

**

",4-4-5-4,0.0-39.1,39.2,403(+3),"

 
","


 
",キクノアオラ,2.7
2021/09/05,佐賀,曇,5,令和3年8月佐賀県豪,"

",9,4,4,34.9,7,3,"
倉富隆一
",54,ダ1300,稍,"

**

",1:25.2,0.9,"

**

",8-7-6-5,0.0-38.8,38.7,400(-3),"

 
","


 
",ブックウエスト,5.4
2021/08/21,佐賀,晴,5,うまかつ.net賞,"

",12,6,7,17.4,6,5,"
倉富隆一
",54,ダ1400,重,"

**

",1:32.8,1.5,"

**

",11-11-8-6,0.0-39.8,39.7,403(-6),"

 
","


 
",ブルーオーキッド,2.0
2021/08/14,佐賀,雨,5,うまかつ.net賞,"

",0,7,9, , ,,"
倉富隆一
",54,ダ1400,不,"


 
", , ,"


 
", , , ,計不,"

 
","


 
", , 
2021/07/17,佐賀,曇,5,白南風賞,"

",10,7,7,10.7,5,8,"
倉富隆一
",54,ダ1400,不,"

**

",1:34.7,2.0,"

**

",7-8-8-7,0.0-41.6,42.1,409(+5),"

 
","


 
",キクノキング, 
2021/07/04,佐賀,曇,4,C1ー9組,"

",10,7,7,16.6,5,8,"
倉富隆一
",54,ダ1400,稍,"

**

",1:34.1,2.4,"

**

",10-10-7-9,0.0-39.9,40.7,404(-2),"

 
","


 
",エイシンゴーレム, 
2021/06/19,佐賀,晴,4,C1ー9組,"

",10,7,8,10.2,4,6,"
倉富隆一
",54,ダ1300,不,"

**

",1:26.1,2.0,"

**

",5-5-6-6,0.0-39.2,40.5,406(+3),"

 
","


 
",ゴーンホーム, 
2021/06/05,佐賀,曇,5,C1ー11組,"

",9,8,8,17.9,5,2,"
倉富隆一
",54,ダ1400,不,"

**

",1:31.8,0.6,"

**

",2-2-2-2,0.0-38.5,39.0,403(-3),"

 
","


 
",リッカウィンドウ,10.2
2021/05/23,佐賀,晴,12,SAGAイブニング賞,"

",12,1,1,44.9,9,2,"
倉富隆一
",54,ダ1300,稍,"

**

",1:26.3,0.2,"

**

",4-3-4-4,0.0-39.7,39.5,406(+3),"

 
","


 
",アイルショウユー,10.2
