日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/07/24,3新潟1,晴,12,3歳以上1勝クラス,"

",18,5,10,48.5,12,18,"
菅原明良
",55,芝1000,良,"

**

",0:56.6,2.0,"

**

",13,32.1-32.8,33.9,470(-2),"

","


 
",スイーツマジック, 
2021/07/10,1福島3,曇,12,3歳以上1勝クラス,"

",14,7,11,12.6,7,5,"
菅原明良
",54,芝1200,稍,"

**

",1:10.0,0.5,"

**

",6-6,33.3-36.2,36.1,472(-2),"

","


 
",グロリユーノワール,76.0
2021/04/17,1新潟3,雨,8,4歳以上1勝クラス,"

",15,6,11,145.3,14,12,"
菅原明良
",54,ダ1200,重,"

**

",1:13.0,1.9,"

**

",8-11,35.1-36.0,37.3,474(+2),"

","


 
",サウンドワイズ, 
2021/03/28,2中京6,雨,6,4歳以上1勝クラス,"

",16,6,11,108.2,14,10,"
松若風馬
",55,ダ1200,良,"

**

",1:13.4,1.6,"

**

",6-6,35.2-36.6,37.8,472(-8),"

","


 
",ゴーゴーレイワ, 
2021/03/13,2中山5,雨,8,4歳以上1勝クラス,"

",16,7,14,26.5,7,8,"
団野大成
",55,ダ1200,不,"

**

",1:13.0,1.6,"

**

",3-3,33.3-38.1,39.6,480(+4),"

","


 
",タマモキャペリン, 
2020/12/13,3中京4,晴,3,3歳以上1勝クラス,"

",15,1,1,18.1,10,8,"
菅原明良
",53,ダ1200,良,"

**

",1:13.7,1.3,"

**

",5-3,35.1-37.3,38.1,476(-4),"

","


 
",クリノカサット, 
2020/11/29,5東京9,晴,4,3歳以上1勝クラス,"

",16,1,1,34.1,10,11,"
大野拓弥
",54,ダ1400,良,"

**

",1:26.7,1.7,"

**

",7-8,35.4-37.1,38.2,480(+4),"

","


 
",ファイヴレター, 
2020/09/21,4中山5,晴,12,3歳以上1勝クラス,"

",12,6,8,8.1,2,8,"
大野拓弥
",53,ダ1200,良,"

**

",1:12.9,1.5,"

**

",2-2,34.3-37.1,38.4,476(0),"

","



",ジョーフォレスト, 
2020/09/12,4中山1,雨,6,3歳以上1勝クラス,"

",15,6,10,8.8,5,6,"
大野拓弥
",53,ダ1200,稍,"

**

",1:11.9,0.2,"

**

",4-4,33.8-37.9,37.7,476(-2),"

","


 
",ロマンスマジック, 
2020/08/09,2新潟6,曇,12,3歳以上1勝クラス,"

",18,8,18,31.9,10,16,"
菅原明良
",50,芝1400,不,"

**

",1:23.6,2.1,"

**

",6-6,33.9-36.2,37.8,478(+4),"

","



",アルピニズム, 
2020/05/09,2東京5,晴,4,3歳未勝利,"

",16,1,1,13.3,6,1,"
大野拓弥
",54,ダ1400,良,"

**

",1:26.5,-0.2,"

**

",4-4,36.8-37.3,37.1,474(+4),"

","


 
",(デクスター),510.0
2020/04/18,1福島3,小雨,6,3歳未勝利,"

",16,7,14,7.6,4,16,"
菅原明良
",52,芝1800,稍,"

**

",1:53.3,1.9,"

**

",3-3-3-5,36.2-37.2,38.9,470(+2),"

","


 
",コスモシークレット, 
2020/03/22,2中山9,晴,5,3歳未勝利,"

",16,7,14,3.5,1,7,"
大野拓弥
",54,芝1600,良,"

**

",1:36.7,0.6,"

**

",4-2-2,35.9-35.9,36.3,468(-6),"

","


 
",ロジアイリッシュ, 
2019/12/15,5中山6,晴,4,2歳未勝利,"

",16,5,10,4.5,2,3,"
大野拓弥
",54,芝1600,良,"

**

",1:35.9,0.4,"

**

",2-2-1,35.9-35.8,36.2,474(+2),"

","


 
",シングンバズーカ,130.0
2019/12/01,5中山2,曇,4,2歳未勝利,"

",16,4,7,12.0,5,3,"
大野拓弥
",54,芝1600,良,"

**

",1:34.9,0.1,"

**

",8-6-5,35.1-35.7,35.2,472(-4),"

","


 
",クリノプレミアム,130.0
2019/11/10,5東京4,晴,5,2歳新馬,"

",11,6,6,5.9,3,2,"
大野拓弥
",54,芝1600,良,"

**

",1:36.2,0.6,"

**

",2-2,35.6-34.9,35.5,476(0),"

","


 
",ダイワクンナナ,280.0
