日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/10/30,4東京7,晴,10,紅葉S(3勝クラス),"

",16,7,14,22.7,8,6,"
江田照男
",53,芝1600,良,"

**

",1:33.0,0.3,"

**

",1-1,35.0-34.6,34.9,484(+4),"

","


 
",アオイクレアトール, 
2021/10/02,4中山8,晴,11,秋風S(3勝クラス),"

",13,5,6,15.9,8,3,"
江田照男
",52,芝1600,良,"

**

",1:34.4,0.1,"

**

",1-1-1,36.0-34.6,34.7,480(0),"

","


 
",レッドフラヴィア,367.1
2021/05/22,2東京9,曇,10,高尾特別(2勝クラス),"

",7,7,7,9.9,5,1,"
武藤雅
",55,芝1400,良,"

**

",1:21.5,0.0,"

**

",2-2,35.6-34.3,34.1,480(+12),"

","



",(セイウンパワフル),"1,518.2"
2021/05/09,2新潟2,晴,10,邁進特別(2勝クラス),"

",15,4,7,7.4,3,7,"
藤田菜七
",55,芝1000,良,"

**

",0:57.6,1.5,"

**

",6,32.7-34.1,34.9,468(-6),"

","


 
",オルダージュ, 
2021/04/10,1新潟1,晴,7,4歳以上1勝クラス,"

",15,3,4,4.8,2,1,"
藤田菜七
",53,ダ1200,良,"

**

",1:12.4,-0.2,"

**

",1-1,34.2-38.2,38.2,474(+10),"

","


 
",(ランランウイング),760.0
2020/12/20,3中京6,晴,9,3歳以上1勝クラス,"

",18,3,6,5.7,3,6,"
藤田菜七
",52,芝1200,良,"

**

",1:09.6,0.5,"

**

",2-2,34.2-34.9,35.1,464(0),"

","


 
",ゼツエイ, 
2020/12/05,3中京1,晴,6,3歳以上1勝クラス,"

",18,8,16,13.8,5,3,"
勝浦正樹
",54,芝1400,良,"

**

",1:20.7,0.1,"

**

",3-2,34.2-34.5,34.5,464(+4),"

","


 
",リヴェール,190.0
2020/11/14,3福島5,晴,9,3歳以上1勝クラス,"

",16,7,14,6.2,4,4,"
勝浦正樹
",54,芝1200,良,"

**

",1:09.9,0.1,"

**

",3-4,34.4-35.4,35.3,460(-4),"

","


 
",モエレコネクター,110.0
2020/10/31,3福島1,晴,9,3歳以上1勝クラス,"

",14,4,5,4.6,2,3,"
勝浦正樹
",53,芝1200,良,"

**

",1:08.9,0.1,"

**

",4-5,33.8-35.0,34.8,464(-6),"

","


 
",メイショウユリシス,190.0
2020/10/10,4東京1,雨,8,3歳以上1勝クラス,"

",17,4,7,3.2,1,10,"
武藤雅
",53,芝1400,不,"

**

",1:26.9,1.3,"

**

",4-6,34.9-38.7,38.5,470(0),"

","



",グルアーブ, 
2020/07/18,2函館5,曇,4,3歳未勝利,"

",16,5,9,1.8,1,1,"
横山武史
",54,芝1200,良,"

**

",1:09.1,-0.9,"

**

",1-1,33.9-35.2,35.2,470(0),"

","


 
",(ポーカークイーン),510.0
2020/07/04,2函館1,曇,3,3歳未勝利,"

",15,6,11,3.3,2,2,"
横山武史
",54,芝1200,良,"

**

",1:09.8,0.0,"

**

",6-3,33.7-36.1,35.6,470(+4),"

","


 
",ガリレイ,200.0
2020/06/20,1函館3,曇,1,3歳未勝利,"

",16,3,5,2.7,1,3,"
横山武史
",54,芝1200,良,"

**

",1:09.5,0.3,"

**

",5-5,33.8-35.4,35.3,466(-8),"

","


 
",エールヴィフ,130.0
2020/05/24,1新潟6,晴,1,3歳未勝利,"

",16,1,2,3.3,2,2,"
藤田菜七
",52,芝1200,良,"

**

",1:09.5,0.4,"

**

",13-12,33.9-35.2,34.3,474(+2),"

","



",デトロイトテソーロ,200.0
2020/05/10,1新潟2,曇,5,3歳未勝利,"

",15,5,9,3.4,1,2,"
武藤雅
",54,芝1200,良,"

**

",1:09.8,0.4,"

**

",7-7,34.4-35.0,34.8,472(0),"

","



",クロワドフェール,200.0
2020/04/26,1福島6,晴,5,3歳未勝利,"

",16,3,6,2.4,1,2,"
藤田菜七
",52,芝1200,良,"

**

",1:11.1,0.0,"

**

",8-7,34.7-36.4,35.8,472(+2),"

","



",ボンジョルノ,200.0
2020/02/09,1小倉8,曇,5,3歳未勝利,"

",18,7,13,9.3,5,2,"
藤田菜七
",52,芝1200,良,"

**

",1:09.5,0.3,"

**

",5-5,33.2-36.0,35.6,470(-2),"

","


 
",リインフォース,200.0
2020/01/26,1小倉4,曇,5,3歳新馬,"

",18,4,8,16.4,5,3,"
藤田菜七
",52,芝1200,重,"

**

",1:12.2,1.1,"

**

",10-10,34.8-36.3,36.2,472(0),"

","



",ヴェントヴォーチェ,150.0
