日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/10/23,5新潟5,曇,3,3歳以上1勝クラス,"

",12,5,6,30.7,9,7,"
菊沢一樹
",55,ダ1200,重,"

**

",1:12.2,1.1,"

**

",8-7,34.0-37.1,37.7,486(+4),"

","


 
",アップリバー, 
2021/09/26,4中山7,曇,6,3歳以上1勝クラス,"

",16,3,6,197.6,16,4,"
菊沢一樹
",55,ダ1200,良,"

**

",1:11.7,0.3,"

**

",7-7,33.5-37.9,37.6,482(-2),"

","


 
",ボイラーハウス,110.0
2021/09/11,4中山1,晴,12,3歳以上1勝クラス,"

",16,4,8,195.1,15,9,"
菊沢一樹
",55,ダ1200,良,"

**

",1:12.4,1.0,"

**

",4-4,33.9-37.5,38.3,484(+4),"

","


 
",シャドウヘリテイジ, 
2021/08/15,4新潟2,晴,8,3歳以上1勝クラス,"

",15,3,5,122.2,13,12,"
野中悠太
",55,ダ1200,重,"

**

",1:12.5,1.7,"

**

",10-11,33.7-37.1,37.8,480(+10),"

","



",トリプルシックス, 
2021/04/11,3中山6,晴,12,4歳以上1勝クラス,"

",15,1,2,75.5,12,9,"
野中悠太
",55,ダ1200,良,"

**

",1:12.4,1.0,"

**

",12-12,34.6-36.8,36.2,470(-6),"

","



",シネマトグラフ, 
2021/03/13,2中京1,小雨,8,4歳以上1勝クラス,"

",13,8,13,146.6,11,11,"
菊沢一樹
",55,ダ1200,不,"

**

",1:13.2,2.1,"

**

",8-10,34.2-36.9,38.1,476(-6),"

","


 
",ワールドイズマイン, 
2021/02/13,1東京5,晴,8,4歳以上1勝クラス,"

",16,8,15,224.6,15,13,"
野中悠太
",55,ダ1400,良,"

**

",1:26.5,2.0,"

**

",14-16,35.9-36.9,37.0,482(+12),"

","


 
",ネヴァタップアウト, 
2020/09/19,4中山3,曇,7,3歳以上1勝クラス,"

",16,4,7,24.9,10,11,"
横山和生
",53,ダ1200,良,"

**

",1:12.6,1.3,"

**

",9-9,33.6-37.7,38.3,470(-6),"

","



",ニシノミンクス, 
2020/08/30,3新潟6,晴,12,3歳以上1勝クラス,"

",15,7,12,11.1,6,9,"
菊沢一樹
",51,ダ1200,良,"

**

",1:12.7,1.0,"

**

",7-7,33.6-38.1,38.3,476(+4),"

","


 
",オメガエリタージュ, 
2020/08/09,2新潟6,雨,7,3歳以上1勝クラス,"

",15,7,12,35.3,10,5,"
菊沢一樹
",51,ダ1200,不,"

**

",1:11.3,1.2,"

**

",8-8,33.6-36.5,37.0,472(+2),"

","


 
",メモワールミノル,76.0
2020/04/04,3中山3,晴,1,3歳未勝利,"

",16,5,9,5.0,3,1,"
横山和生
",54,ダ1200,稍,"

**

",1:12.4,-0.1,"

**

",2-2,34.7-37.7,37.5,470(-2),"

","


 
",(トリッチトラッチ),510.0
2020/03/07,2中山3,曇,1,3歳未勝利,"

",16,8,16,4.4,2,3,"
横山和生
",54,ダ1200,良,"

**

",1:13.0,0.6,"

**

",4-5,34.4-38.0,38.2,472(+14),"

","


 
",ノヘア,130.0
2019/10/19,4東京6,曇,1,2歳未勝利,"

",12,5,7,3.0,2,4,"
北村宏司
",54,ダ1400,不,"

**

",1:26.2,0.6,"

**

",6-5,35.2-38.1,38.2,458(+2),"

","



",ハルプモント,75.0
2019/09/28,4中山8,晴,1,2歳未勝利,"

",16,6,12,8.6,2,5,"
北村宏司
",54,ダ1200,良,"

**

",1:13.2,0.2,"

**

",7-7,34.7-38.3,38.1,456(-2),"

","


 
",ロジウインド,50.0
2019/08/11,2新潟6,晴,1,2歳未勝利,"

",16,8,16,28.5,8,6,"
丸山元気
",54,芝1200,良,"

**

",1:11.2,0.4,"

**

",9-9,35.0-35.8,35.4,458(+6),"

","


 
",コスモカッティーボ, 
2019/07/13,2福島5,曇,6,2歳新馬,"

",16,1,2,22.2,6,9,"
丸山元気
",54,芝1200,良,"

**

",1:12.1,1.8,"

**

",14-14,35.2-35.1,35.5,452(0),"

","



",マジックキャッスル, 
