日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/09/20,5中京5,曇,7,3歳以上1勝クラス,"

",10,2,2,3.8,3,9,"
吉田隼人
",57,ダ1800,稍,"

**

",1:54.9,2.2,"

**

",2-2-2-4,38.2-37.9,40.1,492(-6),"

","


 
",セイクリッドゲイズ, 
2021/05/23,2新潟6,曇,8,4歳以上1勝クラス,"

",14,7,12,3.3,2,2,"
坂井瑠星
",57,ダ1800,重,"

**

",1:52.4,0.1,"

**

",2-2-2-2,36.2-39.3,39.3,498(-2),"

","


 
",コスモオリ,300.0
2021/05/09,2新潟2,曇,6,4歳以上1勝クラス,"

",15,3,4,4.3,2,2,"
吉田隼人
",57,ダ1800,良,"

**

",1:53.4,0.2,"

**

",1-1-1-1,38.0-38.2,38.4,500(0),"

","


 
",レッドレビン,300.0
2021/04/17,2阪神7,雨,7,4歳以上1勝クラス,"

",13,7,10,2.3,1,8,"
ルメール
",57,ダ1800,不,"

**

",1:52.9,3.0,"

**

",4-4-4-4,36.3-37.6,38.9,500(-2),"

","


 
",スズカパンサー, 
2021/03/27,2阪神1,晴,8,4歳以上1勝クラス,"

",12,6,8,2.6,1,2,"
ルメール
",57,ダ1800,良,"

**

",1:54.4,0.9,"

**

",2-2-2-2,37.2-39.1,39.9,502(+2),"

","


 
",フェブタイズ,300.0
2020/08/02,1札幌4,晴,9,3歳以上1勝クラス,"

",14,5,7,3.2,1,13,"
武豊
",54,ダ1700,良,"

**

",1:52.6,7.1,"

**

",1-1-2-10,29.4-37.1,44.2,500(+8),"

","


 
",セイユメアカリ, 
2020/05/30,3京都11,晴,2,3歳未勝利,"

",16,4,7,2.2,1,1,"
吉田隼人
",56,ダ1800,良,"

**

",1:53.3,-1.2,"

**

",1-1-1-1,37.6-37.7,37.7,492(+2),"

","


 
",(ルドンカズマ),510.0
2020/03/29,2阪神2,晴,3,3歳未勝利,"

",13,3,3,2.0,1,5,"
岩田望来
",55,ダ1800,不,"

**

",1:53.4,1.1,"

**

",5-6-4-3,36.5-38.4,39.2,490(+4),"

","


 
",プロミストウォリア,51.0
2020/03/08,1阪神4,雨,2,3歳未勝利,"

",13,7,10,5.5,2,2,"
松山弘平
",56,ダ1800,重,"

**

",1:53.5,0.6,"

**

",2-2-2-2,37.0-37.5,37.9,486(-8),"

","



",リトルクレバー,200.0
2020/02/15,2京都5,曇,5,3歳未勝利,"

",12,6,9,34.8,7,6,"
松田大作
",56,芝2000,稍,"

**

",2:04.5,1.4,"

**

",1-1-1-1,36.9-36.7,38.1,494(+4),"

","


 
",アイアンバローズ, 
2020/01/05,1京都1,曇,6,3歳新馬,"

",16,5,9,46.0,7,4,"
松山弘平
",56,芝1800,良,"

**

",1:52.6,0.2,"

**

",1-1,37.0-36.2,36.4,490(0),"

","


 
",ルビーカサブランカ,90.0
