日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/10/23,4阪神5,晴,7,3歳以上1勝クラス,"

",15,4,7,28.0,8,12,"
小牧太
",57,ダ1400,良,"

**

",1:26.3,1.0,"

**

",9-8,34.3-38.8,39.0,468(0),"

","


 
",テーオーダヴィンチ, 
2021/10/03,5中京9,晴,8,3歳以上1勝クラス,"

",15,1,2,105.2,12,6,"
小牧太
",57,ダ1400,良,"

**

",1:25.3,1.0,"

**

",11-11,35.2-37.0,37.2,468(+14),"

","


 
",レディステディゴー, 
2021/06/06,4中京2,晴,12,3歳以上1勝クラス,"

",15,8,15,93.6,14,10,"
小牧太
",57,ダ1400,稍,"

**

",1:25.4,1.5,"

**

",6-5,35.7-35.7,36.8,454(-4),"

","


 
",スカリーワグ, 
2021/05/08,3中京1,曇,8,4歳以上1勝クラス,"

",12,5,5,19.3,6,10,"
西村淳也
",57,ダ1400,稍,"

**

",1:26.2,1.8,"

**

",4-4,34.6-37.9,39.4,458(+4),"

","


 
",スリーコーズクライ, 
2021/03/06,2小倉7,曇,9,4歳以上1勝クラス,"

",16,1,1,55.8,11,7,"
小牧太
",57,ダ1700,不,"

**

",1:45.2,2.4,"

**

",11-11-12-8,29.8-35.9,37.5,454(-8),"

","


 
",ゴールドパラディン, 
2021/02/14,2小倉2,曇,9,4歳以上1勝クラス,"

",15,3,4,40.7,10,5,"
小牧太
",56,ダ1700,良,"

**

",1:47.9,1.9,"

**

",9-7-6-7,30.4-39.2,40.2,462(-2),"

","


 
",フラッグアドミラル,76.0
2021/01/24,1小倉4,曇,8,4歳以上1勝クラス,"

",15,5,8,53.4,11,12,"
西村淳也
",56,ダ1700,不,"

**

",1:45.8,3.0,"

**

",10-10-10-11,29.5-36.5,38.6,464(+10),"

","


 
",タガノウィリアム, 
2020/06/21,3阪神6,晴,8,3歳以上1勝クラス,"

",14,8,13,41.1,11,12,"
北村友一
",54,芝1600,良,"

**

",1:36.0,1.7,"

**

",11-10,36.7-33.7,34.6,454(-2),"

","



",サンライズオネスト, 
2020/06/07,3阪神2,晴,4,3歳未勝利,"

",16,5,10,16.4,9,1,"
吉田隼人
",56,ダ1400,良,"

**

",1:26.2,0.0,"

**

",7-5,35.3-38.9,38.0,456(0),"

","



",(メイショウヘシキリ),510.0
2020/04/19,2阪神8,曇,2,3歳未勝利,"

",16,2,4,15.3,5,9,"
岩田望来
",55,ダ1400,重,"

**

",1:26.0,0.8,"

**

",8-8,34.8-37.9,38.1,456(+2),"

","



",メイショウフォイル, 
2019/12/14,5阪神5,晴,2,2歳未勝利,"

",13,5,6,6.6,4,8,"
松山弘平
",55,ダ1800,良,"

**

",1:56.7,0.5,"

**

",6-6-6-5,37.6-39.4,39.2,454(-2),"

","



",スマートウィザード, 
2019/11/30,5阪神1,曇,6,2歳新馬,"

",8,2,2,15.9,6,3,"
松山弘平
",55,ダ1800,良,"

**

",1:58.8,0.2,"

**

",1-1-1-1,39.5-39.1,39.3,456(0),"

","


 
",フェルカド,180.0
