日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/11/14,5阪神4,晴,8,3歳以上2勝クラス,"

",8,4,4,23.6,6,6,"
横山武史
",57,芝2200,良,"

**

",2:15.6,0.9,"

**

",1-1-1-1,36.4-35.5,36.4,480(+10),"

","


 
",レヴェッツァ, 
2021/10/10,4阪神2,晴,9,三田特別(2勝クラス),"

",9,8,9,20.3,6,8,"
幸英明
",57,芝2200,良,"

**

",2:15.8,3.1,"

**

",2-2-1-1,34.2-36.5,39.6,470(+8),"

","


 
",ヴェローチェオロ, 
2021/08/08,3新潟6,曇,8,3歳以上1勝クラス,"

",15,3,5,27.6,6,1,"
鮫島克駿
",57,芝2200,良,"

**

",2:13.6,-0.2,"

**

",3-3-2-2,34.4-35.9,35.8,462(-10),"

","


 
",(シエラネバダ),760.0
2021/06/27,3阪神4,曇,7,3歳以上1勝クラス,"

",11,2,2,31.2,9,5,"
池添謙一
",57,芝2200,良,"

**

",2:14.0,0.7,"

**

",1-1-2-2,35.0-35.6,36.0,472(+4),"

","


 
",プリュムドール,76.0
2021/05/23,2新潟6,曇,10,二王子特別(1勝クラス),"

",15,7,13,16.2,6,7,"
鮫島克駿
",57,芝1800,稍,"

**

",1:49.8,0.7,"

**

",11-13,35.7-36.5,35.7,468(0),"

","


 
",ウィスパリンホープ, 
2021/04/10,1新潟1,晴,8,4歳以上1勝クラス,"

",13,5,6,6.7,3,9,"
鮫島克駿
",57,ダ1800,良,"

**

",1:55.3,3.0,"

**

",10-10-9-9,36.1-39.3,40.9,468(-6),"

","



",フィアレスハート, 
2021/03/27,2中京5,晴,6,4歳以上1勝クラス,"

",16,3,6,10.5,5,9,"
鮫島克駿
",57,ダ1400,良,"

**

",1:25.9,1.4,"

**

",9-11,34.2-38.5,38.7,474(+2),"

","


 
",モズピンポン, 
2020/11/22,5阪神6,晴,8,3歳以上1勝クラス,"

",16,4,7,10.2,4,10,"
鮫島克駿
",55,ダ1800,良,"

**

",1:54.5,1.6,"

**

",10-10-10-9,37.3-37.6,38.3,472(+6),"

","


 
",リトルクレバー, 
2020/10/31,3福島1,晴,6,3歳以上1勝クラス,"

",12,7,10,5.3,4,2,"
鮫島克駿
",55,ダ1700,良,"

**

",1:47.1,0.0,"

**

",9-9-4-6,30.0-39.6,39.0,466(-2),"

","


 
",アースライザー,300.0
2020/10/18,4京都4,晴,7,3歳以上1勝クラス,"

",11,7,9,7.4,4,6,"
福永祐一
",55,芝2000,稍,"

**

",2:02.6,1.2,"

**

",7-8-6-6,35.5-36.8,37.3,468(+4),"

","


 
",シルヴェリオ, 
2020/09/13,2中京2,曇,7,3歳以上1勝クラス,"

",10,7,7,6.9,5,3,"
鮫島克駿
",54,芝2000,良,"

**

",2:02.9,0.3,"

**

",4-6-4-6,37.7-34.8,34.7,464(+2),"

","


 
",リノキアナ,190.0
2020/08/29,2小倉5,晴,12,3歳以上1勝クラス,"

",13,5,7,18.5,7,5,"
鮫島克駿
",54,芝1800,良,"

**

",1:47.3,0.3,"

**

",7-7-6-6,36.4-35.3,34.5,462(-2),"

","



",ラインオブダンス,76.0
2020/06/28,3阪神8,晴,8,城崎特別(1勝クラス),"

",9,3,3,6.3,4,8,"
松山弘平
",54,芝1800,良,"

**

",1:48.5,1.4,"

**

",2-2,35.8-34.4,35.5,464(-2),"

","


 
",セウラサーリ, 
2020/06/14,3阪神4,晴,8,3歳以上1勝クラス,"

",11,6,6,4.2,2,8,"
松山弘平
",54,芝1800,稍,"

**

",1:49.4,1.6,"

**

",7-7,35.1-35.9,36.9,466(0),"

","


 
",オールイズウェル, 
2020/03/22,2中山9,晴,11,フジTVスプリングS(G2),"

",10,2,2,27.0,7,6,"
横山典弘
",56,芝1800,良,"

**

",1:50.7,0.9,"

**

",2-2-2-2,37.5-34.3,35.1,466(-2),"

","



",ガロアクリーク, 
2020/02/22,2京都7,曇,9,つばき賞(1勝クラス),"

",8,5,5,8.0,5,3,"
岩田康誠
",56,芝1800,重,"

**

",1:52.2,0.3,"

**

",2-2,36.8-36.3,36.6,468(0),"

","


 
",マンオブスピリット,252.6
2019/12/28,5阪神9,晴,3,2歳未勝利,"

",18,6,11,6.6,3,1,"
吉田隼人
",55,芝1800,良,"

**

",1:47.8,-0.4,"

**

",2-2,34.7-36.3,36.3,468(+4),"

","


 
",(ウインローズブーケ),500.0
2019/10/20,4京都7,晴,3,2歳未勝利,"

",8,5,5,5.7,3,6,"
藤岡佑介
",55,芝1600,稍,"

**

",1:37.0,1.3,"

**

",4-6,35.3-36.6,37.4,464(0),"

","



",アリストテレス, 
2019/09/28,4阪神8,曇,4,2歳新馬,"

",18,2,4,6.0,3,3,"
藤岡佑介
",54,芝1800,良,"

**

",1:48.2,0.5,"

**

",4-5,36.7-34.5,34.6,464(0),"

","


 
",ヴィースバーデン,180.0
