日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/10/10,4東京2,晴,10,グリーンチャンネルC(L),"

",15,6,12,12.3,5,3,"
内田博幸
",56,ダ1400,良,"

**

",1:23.2,0.9,"

**

",9-8,34.8-35.8,35.9,478(+4),"

","


 
",ヘリオス,585.2
2021/06/05,3東京1,曇,11,アハルテケS(OP),"

",16,6,12,5.0,2,7,"
ルメール
",57,ダ1600,重,"

**

",1:35.4,0.4,"

**

",13-13,34.7-36.5,35.6,474(0),"

","



",オメガレインボー, 
2021/03/27,メイダン, , ,ゴドルフィンマイル(G2),"

 

",15, ,5, ,7,13,"
デットー
",57,ダ1600,良,"


 
", , ,"


 
", , , ,計不,"

 
","


 
", , 
2021/01/24,1中京8,雨,11,東海テレビ杯東海S(G2),"

",15,7,13,24.9,8,4,"
幸英明
",55,ダ1800,不,"

**

",1:49.6,0.4,"

**

",14-13-13-12,35.4-37.8,36.7,478(-4),"

","


 
",オーヴェルニュ,830.0
2020/12/12,5中山3,曇,11,師走S(L),"

",16,7,13,9.9,5,5,"
大野拓弥
",54,ダ1800,良,"

**

",1:53.0,0.6,"

**

",13-13-14-13,36.3-38.3,37.8,482(0),"

","


 
",タイキフェルヴール,230.0
2020/11/14,5東京3,晴,11,東京中日S杯武蔵野S(G3),"

",16,7,13,7.8,4,14,"
Ｍ．デム
",55,ダ1600,良,"

**

",1:37.3,2.3,"

**

",5-4,34.2-36.4,38.2,482(+10),"

","


 
",サンライズノヴァ, 
2020/08/09,2新潟6,曇,11,レパードS(G3),"

",15,3,4,3.0,1,4,"
川田将雅
",56,ダ1800,不,"

**

",1:50.0,0.8,"

**

",4-3-4-5,35.7-36.6,36.8,472(+2),"

","


 
",ケンシンコウ,600.0
2020/06/21,3東京6,曇,11,ユニコーンS(G3),"

",16,1,1,6.2,3,2,"
Ｍ．デム
",56,ダ1600,稍,"

**

",1:35.7,0.8,"

**

",14-14,34.2-36.5,35.5,470(-4),"

","



",カフェファラオ,"1,416.2"
2020/05/17,2東京8,晴,10,青竜S(OP),"

",15,7,13,7.9,4,1,"
川田将雅
",56,ダ1600,良,"

**

",1:36.2,0.0,"

**

",7-6,34.6-37.0,36.5,474(0),"

","


 
",(ダノンファスト),"1,832.9"
2020/04/18,2阪神7,晴,11,アーリントンC(G3),"

",12,2,2,17.2,7,11,"
三浦皇成
",56,芝1600,稍,"

**

",1:36.3,2.0,"

**

",12-11,34.1-36.7,37.9,474(-2),"

","


 
",タイセイビジョン, 
2019/11/23,5東京7,雨,9,カトレア賞(1勝クラス),"

",16,2,3,2.5,1,1,"
デットー
",55,ダ1600,不,"

**

",1:36.2,-0.1,"

**

",5-5,33.9-37.1,36.6,476(+6),"

","



",(ショウナンマリオ),"1,034.3"
2019/10/26,4東京8,晴,6,2歳新馬,"

",16,8,16,2.1,1,1,"
ルメール
",55,ダ1600,重,"

**

",1:37.0,-0.4,"

**

",3-3,35.4-36.4,36.2,470(0),"

","


 
",(ダノンファラオ),700.0
