日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/12/12,6中京4,曇,9,3歳以上1勝クラス,"

",16,3,5,44.4,13,13,"
小沢大仁
",54,ダ1200,良,"

**

",1:13.6,1.6,"

**

",8-7,34.1-37.9,38.1,456(-4),"

","


 
",ルピナステソーロ, 
2021/11/27,5阪神7,晴,7,3歳以上1勝クラス,"

",12,7,10,21.3,9,12,"
Ｍ．デム
",57,ダ1200,良,"

**

",1:15.6,2.7,"

**

",10-8,35.3-37.6,39.1,460(+4),"

","



",ジェットエンブレム, 
2021/03/14,2中京2,晴,7,4歳以上1勝クラス,"

",14,6,10,5.9,3,10,"
Ｍ．デム
",57,ダ1400,不,"

**

",1:25.5,1.3,"

**

",1-2,34.7-37.6,38.9,456(+14),"

","



",ロッシュローブ, 
2020/11/21,5阪神5,晴,12,3歳以上1勝クラス,"

",16,2,4,11.3,5,8,"
藤岡康太
",56,ダ1200,良,"

**

",1:13.6,1.7,"

**

",13-9,34.7-37.2,37.6,442(0),"

","


 
",サイクロトロン, 
2020/10/25,4新潟6,晴,9,3歳以上1勝クラス,"

",9,7,7,8.1,4,4,"
菱田裕二
",55,ダ1200,重,"

**

",1:11.5,0.3,"

**

",7-7,33.6-37.6,36.9,442(0),"

","


 
",シンゼンマックス,110.0
2020/10/11,4新潟2,晴,9,3歳以上1勝クラス,"

",13,5,7,8.9,5,4,"
西村淳也
",55,ダ1200,良,"

**

",1:12.2,0.4,"

**

",8-8,34.6-37.2,36.6,442(0),"

","


 
",エターナルダイヤ,110.0
2020/08/23,2小倉4,晴,8,3歳以上1勝クラス,"

",16,4,8,22.9,8,12,"
藤岡康太
",54,ダ1700,重,"

**

",1:46.0,2.4,"

**

",5-5-4-5,29.1-37.4,39.4,442(0),"

","


 
",リリーミニスター, 
2020/08/02,2新潟4,晴,8,3歳以上1勝クラス,"

",15,4,6,14.2,5,4,"
岩田望来
",53,ダ1200,良,"

**

",1:11.4,0.5,"

**

",4-4,34.2-36.7,36.8,442(+6),"

","


 
",ファイヤーテーラー,110.0
2020/02/22,1東京7,晴,3,3歳1勝クラス,"

",16,7,13,27.0,9,12,"
石橋脩
",56,ダ1400,良,"

**

",1:26.8,1.5,"

**

",6-3,36.1-36.6,37.7,436(+2),"

","


 
",プロヴィデンス, 
2020/01/19,1京都7,晴,3,3歳未勝利,"

",13,1,1,4.7,2,1,"
藤岡康太
",56,ダ1400,良,"

**

",1:26.0,-0.3,"

**

",3-3,35.4-38.3,37.8,434(-4),"

","


 
",(アメージングラン),510.0
2020/01/06,1京都2,晴,3,3歳未勝利,"

",15,8,15,80.0,11,6,"
吉田隼人
",56,ダ1400,良,"

**

",1:26.6,0.4,"

**

",11-9,35.2-38.5,37.8,438(+10),"

","


 
",ベストジーニスト, 
2019/10/06,4東京2,曇,4,2歳新馬,"

",18,5,10,18.3,6,7,"
シュタル
",55,芝1400,良,"

**

",1:25.0,0.6,"

**

",6-7,36.7-34.7,34.8,428(0),"

","


 
",バトルカグヤ, 
