日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/11/21,5阪神6,晴,8,3歳以上2勝クラス,"

",14,3,5,27.9,8,5,"
幸英明
",55,ダ1800,良,"

**

",1:54.0,0.2,"

**

",13-13-14-12,37.0-38.6,37.5,452(+10),"

","


 
",ベルゼール,110.0
2021/09/20,4中山5,晴,9,鋸山特別(2勝クラス),"

",13,7,11,25.1,8,9,"
戸崎圭太
",55,ダ1800,良,"

**

",1:55.2,1.1,"

**

",7-8-7-9,37.8-38.8,39.3,442(-8),"

","


 
",ペルセウスシチー, 
2021/08/29,4小倉6,晴,10,RKB賞(2勝クラス),"

",16,7,14,15.7,6,7,"
岩田望来
",52,ダ1700,良,"

**

",1:46.3,0.7,"

**

",11-11-13-11,29.4-38.1,37.8,450(+4),"

","


 
",カシノブレンド, 
2021/07/04,3小倉2,曇,10,西部スポニチ賞(2勝クラス),"

",7,3,3,10.9,4,3,"
松山弘平
",55,ダ1700,良,"

**

",1:47.0,0.6,"

**

",4-4-3-4,30.7-36.5,36.8,446(0),"

","


 
",ハンディーズピーク,382.7
2021/06/20,3阪神2,晴,9,鷹取特別(2勝クラス),"

",15,2,2,210.5,15,5,"
松山弘平
",55,ダ2000,稍,"

**

",2:05.1,1.3,"

**

",12-12-12-10,35.4-38.0,37.9,446(+4),"

","


 
",エブリワンブラック,150.0
2021/04/24,2阪神9,晴,12,4歳以上2勝クラス,"

",14,4,5,127.7,12,13,"
池添謙一
",55,ダ1800,良,"

**

",1:55.1,1.9,"

**

",6-6-7-5,36.5-38.4,39.8,442(+6),"

","


 
",ロッキーサンダー, 
2021/04/04,2阪神4,雨,7,4歳以上2勝クラス,"

",15,8,14,27.3,10,10,"
松山弘平
",55,ダ1800,良,"

**

",1:55.5,2.9,"

**

",7-8-7-7,36.6-38.5,40.5,436(+6),"

","


 
",ルコントブルー, 
2021/03/21,2中京4,小雨,6,4歳以上1勝クラス,"

",11,3,3,3.6,1,1,"
松山弘平
",55,ダ1800,不,"

**

",1:53.0,0.0,"

**

",3-3-2-2,37.1-38.2,37.9,430(-14),"

","


 
",(シャーレ),760.0
2020/09/20,2中京4,曇,4,3歳以上1勝クラス,"

",16,1,2,6.3,3,5,"
菱田裕二
",52,ダ1800,良,"

**

",1:53.7,1.5,"

**

",15-15-6-6,38.0-36.2,37.1,444(+6),"

","


 
",リネンファッション,76.0
2020/06/27,3阪神7,曇,7,3歳以上1勝クラス,"

",12,8,12,3.9,2,4,"
幸英明
",52,ダ1800,良,"

**

",1:53.8,1.6,"

**

",7-6-4-2,36.9-37.2,38.5,438(+10),"

","


 
",アルコレーヌ,110.0
2020/06/07,3阪神2,晴,7,3歳以上1勝クラス,"

",13,8,13,4.6,3,2,"
菱田裕二
",52,ダ1800,良,"

**

",1:55.3,0.3,"

**

",11-10-7-2,37.6-38.2,38.1,428(-6),"

","


 
",メモリーコバルト,300.0
2020/05/24,3京都10,晴,10,鳳雛S(L),"

",16,3,5,90.1,14,11,"
川須栄彦
",54,ダ1800,良,"

**

",1:53.1,2.1,"

**

",10-10-10-10,35.4-38.6,39.2,434(+2),"

","


 
",ミヤジコクオウ, 
2020/05/09,3京都5,曇,5,3歳1勝クラス,"

",14,6,10,66.7,11,2,"
幸英明
",54,ダ1800,良,"

**

",1:52.1,0.2,"

**

",13-13-11-6,36.0-37.7,36.7,432(+2),"

","


 
",マドルガーダ,290.0
2020/03/28,2阪神1,曇,6,3歳1勝クラス,"

",13,6,9,171.0,13,9,"
国分恭介
",54,ダ1800,重,"

**

",1:52.5,1.7,"

**

",9-11-10-7,36.7-37.7,37.7,430(-6),"

","


 
",ミステリオーソ, 
2020/03/15,1中京6,晴,10,沈丁花賞(1勝クラス),"

",12,5,5,211.5,12,9,"
亀田温心
",54,ダ1800,良,"

**

",1:55.7,1.7,"

**

",9-9-11-11,37.9-37.9,38.6,436(+8),"

","


 
",マカオンブラン, 
2020/01/19,1京都7,晴,1,3歳未勝利,"

",9,5,5,16.8,4,1,"
幸英明
",54,ダ1800,良,"

**

",1:55.7,-0.2,"

**

",7-7-7-6,37.9-38.8,38.0,428(0),"

","


 
",(ペルルドール),510.0
2020/01/13,1京都5,晴,2,3歳未勝利,"

",16,5,9,38.0,9,8,"
川須栄彦
",54,ダ1800,稍,"

**

",1:57.0,2.3,"

**

",6-6-5-8,36.9-38.9,40.2,428(-4),"

","


 
",アラジンバローズ, 
2019/12/14,5阪神5,晴,2,2歳未勝利,"

",13,7,10,431.9,12,4,"
川須栄彦
",54,ダ1800,良,"

**

",1:56.3,0.1,"

**

",9-8-9-8,37.6-39.4,38.4,432(-6),"

","



",スマートウィザード,75.0
2019/12/08,5阪神4,曇,1,2歳未勝利,"

",13,5,7,45.1,8,10,"
池添謙一
",54,ダ1400,良,"

**

",1:28.6,1.6,"

**

",10-10,35.5-38.8,39.1,438(+4),"

","



",ウインカムトゥルー, 
2019/11/24,5京都8,晴,5,2歳新馬,"

",15,2,3,34.8,10,11,"
池添謙一
",54,芝1800,良,"

**

",1:51.8,3.1,"

**

",12-13,36.1-35.9,37.4,434(0),"

","



",レッドフラヴィア, 
