日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/09/19,5中京4,曇,12,3歳以上2勝クラス,"

",16,1,1,108.4,14,9,"
西谷凜
",52,ダ1400,重,"

**

",1:24.0,1.0,"

**

",3-3,34.7-36.4,37.1,440(-10),"

","


 
",メイショウマサヒメ, 
2021/09/05,2札幌8,晴,9,3歳以上2勝クラス,"

",14,4,6,70.3,12,5,"
西谷凜
",52,ダ1700,稍,"

**

",1:46.3,0.7,"

**

",2-3-3-2,30.3-37.7,38.2,450(0),"

","


 
",スカーレットスカイ,110.0
2021/08/15,2札幌2,曇,12,藻岩山特別(2勝クラス),"

",9,1,1,124.4,8,9,"
水口優也
",55,芝2000,良,"

**

",2:02.6,2.1,"

**

",7-7-6-6,37.2-34.9,36.3,450(-2),"

","



",ソーヴァリアント, 
2021/07/31,1函館9,晴,10,美利河特別(2勝クラス),"

",15,2,3,116.7,14,11,"
水口優也
",55,芝1200,良,"

**

",1:09.3,0.9,"

**

",13-14,33.2-35.2,34.6,452(0),"

","



",ナイントゥファイブ, 
2021/07/25,1函館8,晴,10,立待岬特別(2勝クラス),"

",13,1,1,68.8,11,7,"
水口優也
",55,芝1200,良,"

**

",1:09.3,0.6,"

**

",4-4,34.0-34.7,34.8,452(+8),"

","


 
",ノクターンノーツ, 
2021/07/11,1函館4,曇,12,函館道新スポーツ杯(2勝クラス),"

",13,8,12,161.2,13,8,"
水口優也
",55,芝1200,稍,"

**

",1:10.2,0.9,"

**

",13-13,34.0-35.3,34.6,444(-8),"

","


 
",ゴールドチャリス, 
2021/07/04,1函館2,曇,12,HTB杯(2勝クラス),"

",9,1,1,24.2,7,9,"
武豊
",55,芝1200,良,"

**

",1:10.3,1.7,"

**

",5-6,33.9-34.7,35.8,452(+20),"

","


 
",ジャズエチュード, 
2021/04/03,2阪神3,晴,10,ラジオ関西賞仲春特別(2勝クラス),"

",9,8,8,48.5,8,9,"
幸英明
",55,芝1400,良,"

**

",1:23.1,2.1,"

**

",3-3,35.1-34.4,36.2,432(-6),"

","


 
",リアンティサージュ, 
2021/03/21,2中京4,小雨,12,豊橋特別(2勝クラス),"

",15,5,9,49.6,10,10,"
幸英明
",55,芝1400,不,"

**

",1:25.3,2.0,"

**

",14-15,34.5-37.1,37.8,438(-4),"

","



",ビオグラフィー, 
2021/01/23,1中京7,雨,9,賢島特別(2勝クラス),"

",9,1,1,15.6,7,9,"
幸英明
",54,芝1400,重,"

**

",1:24.1,1.5,"

**

",1-1,34.7-36.3,37.8,442(-6),"

","



",ビップウインク, 
2020/12/27,6阪神8,晴,9,春待月賞(2勝クラス),"

",13,7,11,11.6,5,9,"
団野大成
",54,芝1600,良,"

**

",1:34.8,0.6,"

**

",5-3,34.4-36.6,34.7,448(+8),"

","


 
",キャッチミーアップ, 
2020/08/30,2札幌6,小雨,12,支笏湖特別(2勝クラス),"

",11,5,5,5.3,4,5,"
団野大成
",52,芝1800,重,"

**

",1:53.6,1.0,"

**

",1-1-1-1,37.8-37.5,38.5,440(-6),"

","


 
",アラスカ,150.0
2020/08/15,2札幌1,晴,12,羊ヶ丘特別(2勝クラス),"

",12,6,7,6.0,3,2,"
団野大成
",52,芝1500,稍,"

**

",1:29.2,0.1,"

**

",5-5-2,29.6-35.6,35.2,446(-6),"

","



",オースミカテドラル,608.4
2020/08/09,1札幌6,晴,9,ライラック賞(2勝クラス),"

",12,5,7,17.3,5,3,"
国分恭介
",52,芝1800,良,"

**

",1:48.3,0.5,"

**

",5-5-6-4,36.5-34.8,34.7,452(+12),"

","


 
",レースガーデン,384.1
2020/04/12,2阪神6,雨,9,忘れな草賞(L),"

",10,6,6,82.4,9,9,"
幸英明
",54,芝2000,稍,"

**

",2:05.2,1.6,"

**

",1-1-1-1,37.4-35.2,36.8,440(-6),"

","


 
",ウインマイティー, 
2020/03/15,1阪神6,晴,11,フィリーズレビュー(G2),"

",18,6,12,100.1,15,16,"
幸英明
",54,芝1400,稍,"

**

",1:23.3,2.3,"

**

",14-14,33.4-36.0,36.9,446(+8),"

","


 
",エーポス, 
2019/12/08,5阪神4,曇,11,阪神ジュベナイルF(G1),"

",16,6,11,161.3,9,16,"
池添謙一
",54,芝1600,良,"

**

",1:37.8,5.1,"

**

",10-12,33.7-35.2,39.5,438(+4),"

","


 
",レシステンシア, 
2019/10/26,4東京8,晴,11,アルテミスS(G3),"

",9,3,3,16.0,4,6,"
池添謙一
",54,芝1600,良,"

**

",1:35.0,0.7,"

**

",5-5,36.3-33.7,33.9,434(+2),"

","



",リアアメリア, 
2019/08/10,1札幌5,曇,10,コスモス賞(OP),"

",11,8,11,2.4,1,1,"
池添謙一
",54,芝1800,稍,"

**

",1:50.5,0.0,"

**

",5-5-5-3,37.6-35.7,35.3,432(+6),"

","


 
",(エヴァーガーデン),"1,624.5"
2019/06/09,3阪神4,晴,5,2歳新馬,"

",9,1,1,5.3,3,1,"
池添謙一
",54,芝1600,良,"

**

",1:38.4,-0.3,"

**

",3-3,38.3-34.6,34.3,426(0),"

","


 
",(ヒシタイザン),700.0
